t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.0296,0.0058,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0,sobe,0.0296,0.0058,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0,sobe,0.0296,0.0058,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0,sobe,0.0296,0.0058,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0,sobe,0.0304,0.0047,0.0169,0.0,0.0,0.0173,0.0284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0,sobe,0.0304,0.0047,0.0169,0.0,0.0,0.0138,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0,sobe,0.0304,0.0047,0.0169,0.0,0.0,0.0115,0.0189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0,sobe,0.0304,0.0047,0.0169,0.0,0.0,0.0099,0.0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0,sobe,0.0304,0.0047,0.0169,0.0,0.0,0.0086,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0,sobe,0.0304,0.0047,0.0169,0.0,0.0,0.0077,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0,sobe,0.0274,0.0048,0.0155,0.0,0.0,0.0121,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0,sobe,0.0274,0.0048,0.0155,0.0,0.0,0.011,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0,sobe,0.0274,0.0048,0.0155,0.0,0.0,0.0101,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0,sobe,0.0274,0.0048,0.0155,0.0,0.0,0.0093,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0,sobe,0.0282,0.0065,0.0131,0.0,0.0,0.0056,-0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0,sobe,0.0282,0.0065,0.0131,0.0,0.0,0.0052,-0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,0,sobe,0.0282,0.0065,0.0131,0.0,0.0,0.0049,-0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,0,sobe,0.0282,0.0065,0.0131,0.0,0.0,0.0046,-0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,0,sobe,0.0282,0.0065,0.0131,0.0,0.0,0.0043,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0,sobe,0.0282,0.0065,0.0131,0.0,0.0,0.0041,-0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0,sobe,0.0281,0.0094,0.0145,0.0,0.0,0.0097,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0,sobe,0.0281,0.0094,0.0145,0.0,0.0,0.0093,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0,sobe,0.0281,0.0094,0.0145,0.0,0.0,0.0088,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0,sobe,0.0281,0.0094,0.0145,0.0,0.0,0.0085,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0,sobe,0.0327,0.0134,0.0156,0.0,0.0,0.017,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0,sobe,0.0327,0.0134,0.0156,0.0,0.0,0.0164,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0,sobe,0.0327,0.0134,0.0156,0.0,0.0,0.0164,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0,sobe,0.0327,0.0134,0.0156,0.0,0.0,0.017,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0,sobe,0.0327,0.0134,0.0156,0.0,0.0,0.0164,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0,sobe,0.033,0.0158,0.0142,0.0,0.0,0.0229,-0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0,sobe,0.033,0.0158,0.0142,0.0,0.0,0.0229,-0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0,sobe,0.033,0.0158,0.0142,0.0,0.0,0.0238,-0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0,sobe,0.033,0.0158,0.0142,0.0,0.0,0.0229,-0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
