t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.0108,-0.0106,0.009,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.0108,-0.0106,0.009,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.0108,-0.0106,0.009,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.0108,-0.0106,0.009,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.0108,-0.0106,0.009,0.0,0.0,0.0,0.0,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.1,0,sobe,0.0126,-0.0146,0.0081,0.0,0.0,0.0442,-0.0088,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.12,0,sobe,0.0126,-0.0146,0.0081,0.0,0.0,0.037,-0.0074,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.14,0,sobe,0.0126,-0.0146,0.0081,0.0,0.0,0.0317,-0.0063,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.16,0,sobe,0.0126,-0.0146,0.0081,0.0,0.0,0.0277,-0.0055,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.18,0,sobe,0.0117,-0.0146,0.0105,0.0,0.0,0.0229,0.0081,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.2,0,sobe,0.0117,-0.0146,0.0105,0.0,0.0,0.0206,0.0073,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.22,0,sobe,0.0117,-0.0146,0.0105,0.0,0.0,0.0188,0.0067,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.24,0,sobe,0.0117,-0.0146,0.0105,0.0,0.0,0.0172,0.0061,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.26,0,sobe,0.0117,-0.0146,0.0105,0.0,0.0,0.0159,0.0056,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.28,0,sobe,0.0117,-0.0146,0.0105,0.0,0.0,0.0147,0.0052,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.3,0,sobe,0.0117,-0.0146,0.0105,0.0,0.0,0.0138,0.0049,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.32,0,sobe,0.0126,-0.0176,0.0112,0.0,0.0,0.0226,0.0069,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.34,0,sobe,0.0126,-0.0176,0.0112,0.0,0.0,0.0213,0.0065,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.36,0,sobe,0.0126,-0.0176,0.0112,0.0,0.0,0.0201,0.0062,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.38,0,sobe,0.0138,-0.0191,0.0093,0.0,0.0,0.0238,0.0006,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.4,0,sobe,0.0138,-0.0191,0.0093,0.0,0.0,0.0226,0.0006,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.42,0,sobe,0.0138,-0.0191,0.0093,0.0,0.0,0.0215,0.0006,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.44,0,sobe,0.0138,-0.0191,0.0093,0.0,0.0,0.0205,0.0005,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.46,0,sobe,0.0138,-0.0191,0.0093,0.0,0.0,0.0196,0.0005,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.48,0,sobe,0.0138,-0.0191,0.0093,0.0,0.0,0.0188,0.0005,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.5,0,sobe,0.0138,-0.0191,0.0093,0.0,0.0,0.0188,0.0005,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.52,0,sobe,0.0139,-0.0193,0.0083,0.0,0.0,0.0193,-0.0015,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.54,0,sobe,0.0139,-0.0193,0.0083,0.0,0.0,0.0185,-0.0014,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.56,0,sobe,0.0139,-0.0193,0.0083,0.0,0.0,0.0185,-0.0014,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.901,0,sobe,0.0122,-0.0192,0.0085,0.0,0.0,0.0032,-0.0015,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.92,0,sobe,0.014,-0.0181,0.0095,0.0,0.0,0.0021,0.0004,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.94,0,sobe,0.014,-0.0181,0.0095,0.0,0.0,0.0021,0.0004,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
0.96,0,sobe,0.014,-0.0181,0.0095,0.0,0.0,0.0021,0.0004,0.0,0.0,1.1251,0.0,0.0,0.0,0.0
