t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.0137,-0.0219,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.02,0,sobe,0.0119,-0.0227,0.0469,0.0,0.0,0.0971,-0.1195,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.04,0,sobe,0.0119,-0.0227,0.0469,0.0,0.0,0.0485,-0.0597,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.06,0,sobe,0.0119,-0.0227,0.0469,0.0,0.0,0.0323,-0.0398,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.08,0,sobe,0.0119,-0.0227,0.0469,0.0,0.0,0.0242,-0.0298,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.1,0,sobe,0.0119,-0.0227,0.0469,0.0,0.0,0.0194,-0.0238,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.12,0,sobe,0.0114,-0.0233,0.0487,0.0,0.0,0.0216,-0.0047,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.14,0,sobe,0.0114,-0.0233,0.0487,0.0,0.0,0.0185,-0.004,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.16,0,sobe,0.0114,-0.0233,0.0487,0.0,0.0,0.0162,-0.0035,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.18,0,sobe,0.0114,-0.0233,0.0487,0.0,0.0,0.0144,-0.0031,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.2,0,sobe,0.0114,-0.0233,0.0487,0.0,0.0,0.0129,-0.0028,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.22,0,sobe,0.0132,-0.0233,0.0492,0.0,0.0,0.0065,-0.0001,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.24,0,sobe,0.0132,-0.0233,0.0492,0.0,0.0,0.006,-0.0001,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.26,0,sobe,0.0132,-0.0233,0.0492,0.0,0.0,0.0055,-0.0001,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.28,0,sobe,0.0132,-0.0233,0.0492,0.0,0.0,0.0051,-0.0001,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.3,0,sobe,0.0132,-0.0233,0.0492,0.0,0.0,0.0048,-0.0001,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.32,0,sobe,0.0105,-0.0233,0.0484,0.0,0.0,0.0107,-0.0026,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.34,0,sobe,0.0105,-0.0233,0.0484,0.0,0.0,0.01,-0.0025,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.36,0,sobe,0.0105,-0.0233,0.0484,0.0,0.0,0.0095,-0.0023,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.38,0,sobe,0.0105,-0.0233,0.0484,0.0,0.0,0.009,-0.0022,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.4,0,sobe,0.0105,-0.0233,0.0484,0.0,0.0,0.0085,-0.0021,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.42,0,sobe,0.0093,-0.0264,0.0473,0.0,0.0,0.0148,-0.0048,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.44,0,sobe,0.0093,-0.0264,0.0473,0.0,0.0,0.0141,-0.0045,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.46,0,sobe,0.0093,-0.0264,0.0473,0.0,0.0,0.0135,-0.0043,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.48,0,sobe,0.0093,-0.0264,0.0473,0.0,0.0,0.0129,-0.0042,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.5,0,sobe,0.0093,-0.0264,0.0473,0.0,0.0,0.0094,0.0008,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.52,0,sobe,0.0093,-0.0264,0.0473,0.0,0.0,0.0094,0.0008,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.54,0,sobe,0.0113,-0.0243,0.0513,0.0,0.0,0.0036,0.0092,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.56,0,sobe,0.0113,-0.0243,0.0513,0.0,0.0,0.0036,0.0092,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.58,0,sobe,0.0113,-0.0243,0.0513,0.0,0.0,0.0036,0.0092,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.6,0,sobe,0.0113,-0.0243,0.0513,0.0,0.0,0.0021,0.0055,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.62,0,sobe,0.0122,-0.0206,0.051,0.0,0.0,0.0055,0.0045,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.64,0,sobe,0.0122,-0.0206,0.051,0.0,0.0,0.0057,0.0047,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.66,0,sobe,0.0122,-0.0206,0.051,0.0,0.0,0.0057,0.0047,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.68,0,sobe,0.0122,-0.0206,0.051,0.0,0.0,0.0057,0.0047,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.7,0,sobe,0.0122,-0.0206,0.051,0.0,0.0,0.0059,0.0036,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.72,0,sobe,0.0122,-0.0206,0.051,0.0,0.0,0.0059,0.0036,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.74,0,sobe,0.0107,-0.018,0.0508,0.0,0.0,0.0122,0.0032,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.76,0,sobe,0.0107,-0.018,0.0508,0.0,0.0,0.0122,0.0032,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.78,0,sobe,0.0107,-0.018,0.0508,0.0,0.0,0.0122,0.0032,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.8,0,sobe,0.0107,-0.018,0.0508,0.0,0.0,0.0118,0.0031,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.82,0,sobe,0.0131,-0.0165,0.0526,0.0,0.0,0.0151,0.0086,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.84,0,sobe,0.0131,-0.0165,0.0526,0.0,0.0,0.0151,0.0086,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.86,0,sobe,0.0131,-0.0165,0.0526,0.0,0.0,0.0151,0.0086,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.88,0,sobe,0.0131,-0.0165,0.0526,0.0,0.0,0.0151,0.0086,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.9,0,sobe,0.0131,-0.0165,0.0526,0.0,0.0,0.0145,0.0083,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.92,0,sobe,0.0121,-0.0178,0.0479,0.0,0.0,0.0182,0.0012,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.94,0,sobe,0.0121,-0.0178,0.0479,0.0,0.0,0.0182,0.0012,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.96,0,sobe,0.0121,-0.0178,0.0479,0.0,0.0,0.0182,0.0012,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
0.98,0,sobe,0.0121,-0.0178,0.0479,0.0,0.0,0.0182,0.0012,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.0,0,sobe,0.0121,-0.0178,0.0479,0.0,0.0,0.0182,0.0012,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.02,0,sobe,0.0129,-0.0189,0.0489,0.0,0.0,0.0167,0.0033,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.04,0,sobe,0.0129,-0.0189,0.0489,0.0,0.0,0.0113,-0.0049,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.06,0,sobe,0.0129,-0.0189,0.0489,0.0,0.0,0.0113,-0.0049,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.08,0,sobe,0.0129,-0.0189,0.0489,0.0,0.0,0.0113,-0.0049,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.1,0,sobe,0.0129,-0.0189,0.0489,0.0,0.0,0.004,-0.0043,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.12,0,sobe,0.0106,-0.02,0.0473,0.0,0.0,0.0034,-0.0076,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.14,0,sobe,0.0106,-0.02,0.0473,0.0,0.0,0.0033,-0.0073,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.16,0,sobe,0.0106,-0.02,0.0473,0.0,0.0,0.0034,-0.0076,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.18,0,sobe,0.0106,-0.02,0.0473,0.0,0.0,0.0033,-0.0073,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.2,0,sobe,0.0106,-0.02,0.0473,0.0,0.0,0.0033,-0.0073,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.22,0,sobe,0.0121,-0.0191,0.051,0.0,0.0,0.003,0.0001,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.24,0,sobe,0.0121,-0.0191,0.051,0.0,0.0,0.0037,0.0005,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.26,0,sobe,0.0121,-0.0191,0.051,0.0,0.0,0.0039,0.0005,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.28,0,sobe,0.0121,-0.0191,0.051,0.0,0.0,0.0039,0.0005,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.3,0,sobe,0.0121,-0.0191,0.051,0.0,0.0,0.0058,-0.0032,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.32,0,sobe,0.0092,-0.0226,0.0491,0.0,0.0,0.0149,-0.0071,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.34,0,sobe,0.0092,-0.0226,0.0491,0.0,0.0,0.0149,-0.0071,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.36,0,sobe,0.0092,-0.0226,0.0491,0.0,0.0,0.0149,-0.0071,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.38,0,sobe,0.0092,-0.0226,0.0491,0.0,0.0,0.0149,-0.0071,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.4,0,sobe,0.0092,-0.0226,0.0491,0.0,0.0,0.0143,-0.0069,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.42,0,sobe,0.0074,-0.0254,0.0487,0.0,0.0,0.0179,0.0016,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.44,0,sobe,0.0074,-0.0254,0.0487,0.0,0.0,0.0187,0.0017,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.46,0,sobe,0.0074,-0.0254,0.0487,0.0,0.0,0.0187,0.0017,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.48,0,sobe,0.0074,-0.0254,0.0487,0.0,0.0,0.0179,0.0016,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.5,0,sobe,0.0074,-0.0254,0.0487,0.0,0.0,0.0179,0.0016,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.52,0,sobe,0.0037,-0.0283,0.0486,0.0,0.0,0.0263,-0.0006,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.54,0,sobe,0.0037,-0.0283,0.0486,0.0,0.0,0.0263,-0.0006,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.56,0,sobe,0.0037,-0.0283,0.0486,0.0,0.0,0.0263,-0.0006,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.58,0,sobe,0.0037,-0.0283,0.0486,0.0,0.0,0.0263,-0.0006,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.6,0,sobe,0.0037,-0.0283,0.0486,0.0,0.0,0.0263,-0.0006,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.62,0,sobe,0.0028,-0.0264,0.0482,0.0,0.0,0.0202,0.0018,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.64,0,sobe,0.0028,-0.0264,0.0482,0.0,0.0,0.0202,0.0018,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.66,0,sobe,0.0028,-0.0264,0.0482,0.0,0.0,0.0202,0.0018,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.68,0,sobe,0.0028,-0.0264,0.0482,0.0,0.0,0.0202,0.0018,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.7,0,sobe,0.0028,-0.0264,0.0482,0.0,0.0,0.0202,0.0018,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.72,0,sobe,0.002,-0.0271,0.0482,0.0,0.0,0.0269,-0.0059,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.74,0,sobe,0.002,-0.0271,0.0482,0.0,0.0,0.0258,-0.0057,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.76,0,sobe,0.002,-0.0271,0.0482,0.0,0.0,0.0269,-0.0059,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.78,0,sobe,0.002,-0.0271,0.0482,0.0,0.0,0.0258,-0.0057,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.8,0,sobe,0.002,-0.0271,0.0482,0.0,0.0,0.0178,-0.002,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.82,0,sobe,0.0044,-0.0234,0.0471,0.0,0.0,0.0098,-0.004,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.84,0,sobe,0.0044,-0.0234,0.0471,0.0,0.0,0.0102,-0.0042,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.86,0,sobe,0.0044,-0.0234,0.0471,0.0,0.0,0.0098,-0.004,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.88,0,sobe,0.0044,-0.0234,0.0471,0.0,0.0,0.0098,-0.004,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.9,0,sobe,0.0044,-0.0234,0.0471,0.0,0.0,0.0076,-0.0033,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.92,0,sobe,0.0054,-0.0287,0.0489,0.0,0.0,0.0081,0.0005,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.94,0,sobe,0.0054,-0.0287,0.0489,0.0,0.0,0.0078,0.0004,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.96,0,sobe,0.0054,-0.0287,0.0489,0.0,0.0,0.0077,0.0004,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
1.98,0,sobe,0.0054,-0.0287,0.0489,0.0,0.0,0.0081,0.0005,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
2.0,0,sobe,0.0054,-0.0287,0.0489,0.0,0.0,0.0037,0.0007,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
2.02,0,sobe,0.0061,-0.0248,0.0493,0.25,0.0,0.0084,0.0014,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
2.04,0,sobe,0.0061,-0.0248,0.0493,0.25,0.0,0.0084,0.0014,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
2.06,0,sobe,0.0061,-0.0248,0.0493,0.25,0.0,0.0087,0.0014,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
2.08,0,sobe,0.0061,-0.0248,0.0493,0.25,0.0,0.0084,0.0014,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
2.1,0,sobe,0.0061,-0.0248,0.0493,0.25,0.0,0.0076,0.0023,0.0,0.0,2.2505,0.0,0.0,0.0,0.0
2.12,0,sobe,0.0065,-0.0211,0.0522,0.25,0.0,0.0135,0.0083,0.0,0.0,2.2755,0.0,0.0,0.0521,0.0
