t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.1402,-0.1018,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.02,0,sobe,0.1402,-0.1018,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.04,0,sobe,0.141,-0.1025,0.0052,0.0,0.0,0.027,-0.0408,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.06,0,sobe,0.141,-0.1025,0.0052,0.0,0.0,0.018,-0.0272,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.08,0,sobe,0.141,-0.1025,0.0052,0.0,0.0,0.0135,-0.0204,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.1,0,sobe,0.141,-0.1025,0.0052,0.0,0.0,0.0108,-0.0163,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.12,0,sobe,0.141,-0.1025,0.0052,0.0,0.0,0.009,-0.0136,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.14,0,sobe,0.1392,-0.1025,0.0047,0.0,0.0,0.0086,-0.0153,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.16,0,sobe,0.1392,-0.1025,0.0047,0.0,0.0,0.0075,-0.0134,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.18,0,sobe,0.1392,-0.1025,0.0047,0.0,0.0,0.0067,-0.0119,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.2,0,sobe,0.1392,-0.1025,0.0047,0.0,0.0,0.006,-0.0107,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.22,0,sobe,0.1392,-0.1025,0.0047,0.0,0.0,0.0055,-0.0098,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.24,0,sobe,0.1434,-0.1084,0.001,0.0,0.0,0.0304,-0.0244,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.26,0,sobe,0.1434,-0.1084,0.001,0.0,0.0,0.028,-0.0225,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.28,0,sobe,0.1434,-0.1084,0.001,0.0,0.0,0.026,-0.0209,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.3,0,sobe,0.1434,-0.1084,0.001,0.0,0.0,0.0243,-0.0195,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.32,0,sobe,0.1434,-0.1084,0.001,0.0,0.0,0.0228,-0.0183,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.34,0,sobe,0.1464,-0.1081,0.0068,0.0,0.0,0.026,-0.0002,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.36,0,sobe,0.1464,-0.1081,0.0068,0.0,0.0,0.0246,-0.0002,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.38,0,sobe,0.1464,-0.1081,0.0068,0.0,0.0,0.0233,-0.0001,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.4,0,sobe,0.1464,-0.1081,0.0068,0.0,0.0,0.0221,-0.0001,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.42,0,sobe,0.1464,-0.1081,0.0068,0.0,0.0,0.0211,-0.0001,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.44,0,sobe,0.1424,-0.1094,0.0027,0.0,0.0,0.0179,-0.0094,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.46,0,sobe,0.1424,-0.1094,0.0027,0.0,0.0,0.0171,-0.009,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.48,0,sobe,0.1424,-0.1094,0.0027,0.0,0.0,0.0164,-0.0086,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.5,0,sobe,0.1424,-0.1094,0.0027,0.0,0.0,0.0158,-0.0083,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.52,0,sobe,0.1424,-0.1094,0.0027,0.0,0.0,0.0158,-0.0083,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.54,0,sobe,0.1382,-0.1081,0.008,0.0,0.0,0.0124,0.0056,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.56,0,sobe,0.1382,-0.1081,0.008,0.0,0.0,0.0124,0.0056,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.58,0,sobe,0.1382,-0.1081,0.008,0.0,0.0,0.013,0.0059,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.6,0,sobe,0.1382,-0.1081,0.008,0.0,0.0,0.013,0.0059,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.62,0,sobe,0.1382,-0.1081,0.008,0.0,0.0,0.0118,0.0069,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.64,0,sobe,0.1382,-0.1081,0.008,0.0,0.0,0.0118,0.0069,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.66,0,sobe,0.1339,-0.1085,-0.0013,0.0,0.0,0.0167,-0.0126,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.68,0,sobe,0.1339,-0.1085,-0.0013,0.0,0.0,0.0167,-0.0126,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.7,0,sobe,0.1339,-0.1085,-0.0013,0.0,0.0,0.0167,-0.0126,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.72,0,sobe,0.1339,-0.1085,-0.0013,0.0,0.0,0.0198,-0.0049,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.74,0,sobe,0.1332,-0.1051,0.0071,0.0,0.0,0.0223,0.0127,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.76,0,sobe,0.1332,-0.1051,0.0071,0.0,0.0,0.0223,0.0127,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.78,0,sobe,0.1332,-0.1051,0.0071,0.0,0.0,0.0223,0.0127,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.8,0,sobe,0.1332,-0.1051,0.0071,0.0,0.0,0.0223,0.0127,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.82,0,sobe,0.1332,-0.1051,0.0071,0.0,0.0,0.0283,0.0006,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.84,0,sobe,0.1294,-0.1059,0.0038,0.0,0.0,0.0358,-0.0062,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.86,0,sobe,0.1294,-0.1059,0.0038,0.0,0.0,0.0358,-0.0062,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.88,0,sobe,0.1294,-0.1059,0.0038,0.0,0.0,0.0358,-0.0062,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.9,0,sobe,0.1294,-0.1059,0.0038,0.0,0.0,0.0358,-0.0062,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.92,0,sobe,0.1294,-0.1059,0.0038,0.0,0.0,0.0281,0.0024,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.94,0,sobe,0.1294,-0.1059,0.0038,0.0,0.0,0.0281,0.0024,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.96,0,sobe,0.1303,-0.1056,0.0043,0.0,0.0,0.0264,0.0033,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
0.98,0,sobe,0.1303,-0.1056,0.0043,0.0,0.0,0.0264,0.0033,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
1.0,0,sobe,0.1303,-0.1056,0.0043,0.0,0.0,0.0264,0.0033,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
1.02,0,sobe,0.1303,-0.1056,0.0043,0.0,0.0,0.0173,-0.0078,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
1.04,0,sobe,0.1303,-0.1056,0.0043,0.0,0.0,0.0173,-0.0078,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
1.06,0,sobe,0.1313,-0.1083,0.0057,0.0,0.0,0.0139,-0.0046,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
1.08,0,sobe,0.1313,-0.1083,0.0057,0.0,0.0,0.0139,-0.0046,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
1.1,0,sobe,0.1313,-0.1083,0.0057,0.0,0.0,0.0139,-0.0047,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
1.12,0,sobe,0.1313,-0.1083,0.0057,0.0,0.0,0.0139,-0.0047,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
1.14,0,sobe,0.1319,-0.1088,0.0058,0.0,0.0,0.0127,-0.0046,0.0,0.0,-1.5386,1.8853,-2.1281,0.0,0.0
