t,dente,fase,x,y,yaw,cmd_v,cmd_wz,v_pose,wz_pose,v_twist,wz_twist,x_roda,y_roda,yaw_roda,v_roda,wz_roda
0.0,0,sobe,0.1327,-0.0885,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.02,0,sobe,0.1327,-0.0885,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.04,0,sobe,0.1327,-0.0885,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.06,0,sobe,0.1327,-0.0885,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.08,0,sobe,0.1327,-0.0885,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.1,0,sobe,0.1327,-0.0885,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
0.12,0,sobe,0.1284,-0.091,0.0108,0.0,0.0,0.0412,0.0201,0.0,0.0,,,,0.0,0.0
0.14,0,sobe,0.1284,-0.091,0.0108,0.0,0.0,0.0353,0.0172,0.0,0.0,,,,0.0,0.0
0.16,0,sobe,0.1284,-0.091,0.0108,0.0,0.0,0.0309,0.0151,0.0,0.0,,,,0.0,0.0
0.18,0,sobe,0.1284,-0.091,0.0108,0.0,0.0,0.0275,0.0134,0.0,0.0,,,,0.0,0.0
0.2,0,sobe,0.1271,-0.0921,0.0087,0.0,0.0,0.0335,0.0013,0.0,0.0,,,,0.0,0.0
0.22,0,sobe,0.1271,-0.0921,0.0087,0.0,0.0,0.0305,0.0012,0.0,0.0,,,,0.0,0.0
0.24,0,sobe,0.1271,-0.0921,0.0087,0.0,0.0,0.0279,0.0011,0.0,0.0,,,,0.0,0.0
0.26,0,sobe,0.1271,-0.0921,0.0087,0.0,0.0,0.0258,0.001,0.0,0.0,,,,0.0,0.0
0.28,0,sobe,0.1235,-0.0893,0.012,0.0,0.0,0.0328,0.0129,0.0,0.0,,,,0.0,0.0
0.3,0,sobe,0.1235,-0.0893,0.012,0.0,0.0,0.0307,0.012,0.0,0.0,,,,0.0,0.0
0.32,0,sobe,0.1235,-0.0893,0.012,0.0,0.0,0.0288,0.0113,0.0,0.0,,,,0.0,0.0
0.34,0,sobe,0.1235,-0.0893,0.012,0.0,0.0,0.0271,0.0106,0.0,0.0,,,,0.0,0.0
0.36,0,sobe,0.1235,-0.0893,0.012,0.0,0.0,0.0255,0.01,0.0,0.0,,,,0.0,0.0
0.38,0,sobe,0.1235,-0.0893,0.012,0.0,0.0,0.0242,0.0095,0.0,0.0,,,,0.0,0.0
0.4,0,sobe,0.1235,-0.0893,0.012,0.0,0.0,0.023,0.009,0.0,0.0,,,,0.0,0.0
0.42,0,sobe,0.1235,-0.0946,0.0119,0.0,0.0,0.0263,0.0083,0.0,0.0,,,,0.0,0.0
0.44,0,sobe,0.1235,-0.0946,0.0119,0.0,0.0,0.0251,0.008,0.0,0.0,,,,0.0,0.0
0.46,0,sobe,0.1235,-0.0946,0.0119,0.0,0.0,0.024,0.0076,0.0,0.0,,,,0.0,0.0
0.48,0,sobe,0.1201,-0.0924,0.0085,0.0,0.0,0.0274,0.0002,0.0,0.0,,,,0.0,0.0
0.5,0,sobe,0.1201,-0.0924,0.0085,0.0,0.0,0.0263,0.0002,0.0,0.0,,,,0.0,0.0
0.52,0,sobe,0.1201,-0.0924,0.0085,0.0,0.0,0.0263,0.0002,0.0,0.0,,,,0.0,0.0
0.54,0,sobe,0.1201,-0.0924,0.0085,0.0,0.0,0.0274,0.0002,0.0,0.0,,,,0.0,0.0
0.56,0,sobe,0.1201,-0.0924,0.0085,0.0,0.0,0.0274,0.0002,0.0,0.0,,,,0.0,0.0
0.58,0,sobe,0.1201,-0.0924,0.0085,0.0,0.0,0.0274,0.0002,0.0,0.0,,,,0.0,0.0
0.6,0,sobe,0.1201,-0.0924,0.0085,0.0,0.0,0.0263,0.0002,0.0,0.0,,,,0.0,0.0
0.62,0,sobe,0.1242,-0.0961,0.0097,0.0,0.0,0.0139,-0.0023,0.0,0.0,,,,0.0,0.0
0.64,0,sobe,0.1242,-0.0961,0.0097,0.0,0.0,0.0139,-0.0023,0.0,0.0,,,,0.0,0.0
0.66,0,sobe,0.1242,-0.0961,0.0097,0.0,0.0,0.0139,-0.0023,0.0,0.0,,,,0.0,0.0
0.68,0,sobe,0.1242,-0.0961,0.0097,0.0,0.0,0.0103,0.0021,0.0,0.0,,,,0.0,0.0
0.7,0,sobe,0.1293,-0.0929,0.0106,0.0,0.0,0.0048,0.0039,0.0,0.0,,,,0.0,0.0
0.72,0,sobe,0.1293,-0.0929,0.0106,0.0,0.0,0.0048,0.0039,0.0,0.0,,,,0.0,0.0
0.74,0,sobe,0.1293,-0.0929,0.0106,0.0,0.0,0.0048,0.0039,0.0,0.0,,,,0.0,0.0
0.76,0,sobe,0.1293,-0.0929,0.0106,0.0,0.0,0.0143,-0.0029,0.0,0.0,,,,0.0,0.0
0.78,0,sobe,0.1293,-0.0929,0.0106,0.0,0.0,0.0137,-0.0028,0.0,0.0,,,,0.0,0.0
0.8,0,sobe,0.1299,-0.0966,0.0111,0.0,0.0,0.0201,-0.002,0.0,0.0,,,,0.0,0.0
0.82,0,sobe,0.1299,-0.0966,0.0111,0.0,0.0,0.0202,-0.002,0.0,0.0,,,,0.0,0.0
0.84,0,sobe,0.1299,-0.0966,0.0111,0.0,0.0,0.0193,-0.0019,0.0,0.0,,,,0.0,0.0
0.86,0,sobe,0.1299,-0.0966,0.0111,0.0,0.0,0.0194,-0.0019,0.0,0.0,,,,0.0,0.0
0.88,0,sobe,0.1299,-0.0966,0.0111,0.0,0.0,0.0194,-0.0019,0.0,0.0,,,,0.0,0.0
0.9,0,sobe,0.132,-0.0937,0.0143,0.0,0.0,0.0192,0.0046,0.0,0.0,,,,0.0,0.0
0.92,0,sobe,0.132,-0.0937,0.0143,0.0,0.0,0.0172,0.0048,0.0,0.0,,,,0.0,0.0
0.94,0,sobe,0.132,-0.0937,0.0143,0.0,0.0,0.0172,0.0048,0.0,0.0,,,,0.0,0.0
0.96,0,sobe,0.132,-0.0937,0.0143,0.0,0.0,0.025,0.0121,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
0.98,0,sobe,0.132,-0.0937,0.0143,0.0,0.0,0.0239,0.0116,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.0,0,sobe,0.1355,-0.0953,0.0116,0.0,0.0,0.0325,0.0063,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.02,0,sobe,0.1355,-0.0953,0.0116,0.0,0.0,0.0325,0.0063,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.04,0,sobe,0.1355,-0.0953,0.0116,0.0,0.0,0.0312,0.0061,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.06,0,sobe,0.1355,-0.0953,0.0116,0.0,0.0,0.0312,0.0061,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.08,0,sobe,0.1355,-0.0953,0.0116,0.0,0.0,0.0312,0.0061,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.1,0,sobe,0.1344,-0.0912,0.0104,0.0,0.0,0.0285,0.0037,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.12,0,sobe,0.1344,-0.0912,0.0104,0.0,0.0,0.0225,0.0013,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.14,0,sobe,0.1344,-0.0912,0.0104,0.0,0.0,0.0235,0.0013,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.16,0,sobe,0.1344,-0.0912,0.0104,0.0,0.0,0.0235,0.0013,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.18,0,sobe,0.1344,-0.0912,0.0104,0.0,0.0,0.0111,-0.0006,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.2,0,sobe,0.1366,-0.0903,0.0108,0.0,0.0,0.0161,0.0003,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.22,0,sobe,0.1366,-0.0903,0.0108,0.0,0.0,0.0161,0.0003,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.24,0,sobe,0.1366,-0.0903,0.0108,0.0,0.0,0.0161,0.0003,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
1.26,0,sobe,0.1366,-0.0903,0.0108,0.0,0.0,0.0154,0.0003,0.0,0.0,-0.8115,-0.1356,-0.4074,0.0,0.0
