t,fonte,key,mux,roda
0.0,mux,0.0,0.0,0.0
0.0394,mux,0.0,0.0,0.0
0.0892,mux,0.0,0.0,0.0
0.1393,mux,0.0,0.0,0.0
0.1542,key,0.0,0.0,0.0
0.1546,key,0.0,0.0,0.0
0.1549,key,0.0,0.0,0.0
0.1551,key,0.0,0.0,0.0
0.1891,key,0.0,0.0,0.0
0.1894,mux,0.0,0.0,0.0
0.2391,key,0.0,0.0,0.0
0.2395,mux,0.0,0.0,0.0
0.2891,key,0.0,0.0,0.0
0.2893,mux,0.0,0.0,0.0
0.3392,key,0.0,0.0,0.0
0.3396,mux,0.0,0.0,0.0
0.3892,key,0.0,0.0,0.0
0.7094,key,0.0,0.0,0.0
0.7096,mux,0.0,0.0,0.0
0.7098,key,0.0,0.0,0.0
0.7099,mux,0.0,0.0,0.0
0.7102,key,0.0,0.0,0.0
0.7103,mux,0.0,0.0,0.0
0.7105,key,0.0,0.0,0.0
0.7106,mux,0.0,0.0,0.0
0.7108,key,0.0,0.0,0.0
0.7109,mux,0.0,0.0,0.0
0.7111,key,0.0,0.0,0.0
0.7111,mux,0.0,0.0,0.0
0.7114,mux,0.0,0.0,0.0
0.7391,key,0.0,0.0,0.0
0.7394,mux,0.0,0.0,0.0
0.7892,key,0.0,0.0,0.0
0.7897,mux,0.0,0.0,0.0
0.839,key,0.0,0.0,0.0
0.8393,mux,0.0,0.0,0.0
0.8891,key,0.0,0.0,0.0
0.8895,mux,0.0,0.0,0.0
0.9391,key,0.0,0.0,0.0
0.9395,mux,0.0,0.0,0.0
0.989,key,0.0,0.0,0.0
0.9893,mux,0.0,0.0,0.0
1.0391,key,0.0,0.0,0.0
1.0394,mux,0.0,0.0,0.0
1.0891,key,0.0,0.0,0.0
1.0895,mux,0.0,0.0,0.0
1.1391,key,0.0,0.0,0.0
1.1394,mux,0.0,0.0,0.0
1.1892,key,0.0,0.0,0.0
1.1895,mux,0.0,0.0,0.0
1.2392,key,0.0,0.0,0.0
1.2395,mux,0.0,0.0,0.0
1.2892,key,0.0,0.0,0.0
1.2895,mux,0.0,0.0,0.0
1.3391,key,0.0,0.0,0.0
1.3394,mux,0.0,0.0,0.0
1.3892,key,0.0,0.0,0.0
1.3895,mux,0.0,0.0,0.0
1.4392,key,0.0,0.0,0.0
1.4396,mux,0.0,0.0,0.0
1.4891,key,0.0,0.0,0.0
1.4893,mux,0.0,0.0,0.0
1.5392,key,0.0,0.0,0.0
1.5395,mux,0.0,0.0,0.0
1.5891,key,0.0,0.0,0.0
1.5894,mux,0.0,0.0,0.0
1.6392,key,0.0,0.0,0.0
1.6396,mux,0.0,0.0,0.0
1.6893,key,0.0,0.0,0.0
1.6897,mux,0.0,0.0,0.0
1.7391,key,0.0,0.0,0.0
1.7395,mux,0.0,0.0,0.0
1.7892,key,0.0,0.0,0.0
1.7895,mux,0.0,0.0,0.0
1.8391,key,0.0,0.0,0.0
1.8395,mux,0.0,0.0,0.0
1.8891,key,0.0,0.0,0.0
1.8893,mux,0.0,0.0,0.0
1.9392,key,0.0,0.0,0.0
1.9397,mux,0.0,0.0,0.0
1.9892,key,0.0,0.0,0.0
1.9896,mux,0.0,0.0,0.0
2.0392,key,0.0,0.0,0.0
2.0396,mux,0.0,0.0,0.0
2.0892,key,0.0,0.0,0.0
2.0896,mux,0.0,0.0,0.0
2.139,key,0.0,0.0,0.0
2.1394,mux,0.0,0.0,0.0
2.1893,key,0.0,0.0,0.0
2.1896,mux,0.0,0.0,0.0
2.2393,key,0.0,0.0,0.0
2.2397,mux,0.0,0.0,0.0
2.2893,key,0.0,0.0,0.0
2.2896,mux,0.0,0.0,0.0
2.3391,key,0.0,0.0,0.0
2.3395,mux,0.0,0.0,0.0
2.3891,key,0.0,0.0,0.0
2.3894,mux,0.0,0.0,0.0
2.4391,key,0.0,0.0,0.0
2.4394,mux,0.0,0.0,0.0
2.489,key,0.0,0.0,0.0
2.4893,mux,0.0,0.0,0.0
2.5392,key,0.0,0.0,0.0
2.5396,mux,0.0,0.0,0.0
2.5892,key,0.0,0.0,0.0
2.5895,mux,0.0,0.0,0.0
2.6392,key,0.0,0.0,0.0
2.6397,mux,0.0,0.0,0.0
2.6894,key,0.0,0.0,0.0
2.6897,mux,0.0,0.0,0.0
2.7392,key,0.0,0.0,0.0
2.7395,mux,0.0,0.0,0.0
2.7892,key,0.0,0.0,0.0
2.7896,mux,0.0,0.0,0.0
2.8392,key,0.0,0.0,0.0
2.8398,mux,0.0,0.0,0.0
2.8892,key,0.0,0.0,0.0
2.8896,mux,0.0,0.0,0.0
2.891,roda,0.0,0.0,0.0
2.9391,key,0.0,0.0,0.0
2.9395,mux,0.0,0.0,0.0
2.9808,roda,0.0,0.0,0.0
2.9892,key,0.0,0.0,0.0
2.9897,mux,0.0,0.0,0.0
3.0392,key,0.0,0.0,0.0
3.0398,mux,0.0,0.0,0.0
3.0807,roda,0.0,0.0,0.0
3.0891,key,0.0,0.0,0.0
3.0893,mux,0.0,0.0,0.0
