t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.0398,-0.0247,0.0169,2.04,42,0.8471,0.8302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.039,-0.025,0.0175,2.0392,42,0.8491,0.8317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.039,-0.025,0.0175,2.0392,42,0.8491,0.8317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-0.0411,-0.0219,0.0163,2.0412,42,0.8401,0.8238,0.0,0.0,0.3374,0.4075,0.3374,0.4075,0.0
0.2,-0.0411,-0.0219,0.0163,2.0412,42,0.8401,0.8238,0.0,0.0,0.3374,0.4075,0.3374,0.4075,0.0
0.25,-0.0442,-0.022,0.0171,2.0443,42,0.8345,0.8174,0.0,0.0,0.3368,0.4078,0.3368,0.4078,0.0
0.3,-0.0442,-0.022,0.0171,2.0443,42,0.8345,0.8174,0.0,0.0,0.3368,0.4078,0.3368,0.4078,0.0
0.35,-0.0423,-0.0227,0.0181,2.0424,42,0.8392,0.8212,0.0,0.0,0.3397,0.4059,0.3397,0.4059,0.0
0.4,-0.0423,-0.0227,0.0181,2.0424,42,0.8392,0.8212,0.0,0.0,0.3397,0.4059,0.3397,0.4059,0.0
0.45,-0.0388,-0.0209,0.0247,2.0389,42,0.8392,0.8146,0.0,0.0,0.3397,0.4059,0.3397,0.4059,0.0
0.5,-0.0388,-0.0209,0.0247,2.0389,42,0.8392,0.8146,0.0,0.0,0.3397,0.4059,0.3397,0.4059,0.0
0.55,-0.0388,-0.0209,0.0247,2.0389,42,0.8392,0.8146,0.0,0.0,0.3397,0.4059,0.3397,0.4059,0.0
0.6,-0.0388,-0.0209,0.0247,2.0389,42,0.8392,0.8146,0.0,0.0,0.3397,0.4059,0.3397,0.4059,0.0
0.65,-0.0388,-0.0209,0.0247,2.0389,42,0.8392,0.8146,0.0,0.0,0.3397,0.4059,0.3397,0.4059,0.0
0.7,-0.0388,-0.0209,0.0247,2.0389,42,0.8392,0.8146,0.0,0.0,0.3397,0.4059,0.3397,0.4059,0.0
0.75,-0.0388,-0.0209,0.0247,2.0389,42,0.8392,0.8146,0.0,0.0,0.3397,0.4059,0.3397,0.4059,0.0
0.8,0.0146,-0.0283,0.1262,1.9856,42,0.9642,0.8379,0.226,0.4094,0.2796,0.4052,0.2796,0.4052,0.0
0.85,0.0387,-0.0275,0.168,1.9615,42,0.9803,0.8123,0.2582,0.4031,0.2553,0.4051,0.2553,0.4051,0.0
