t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.0432,-0.0343,-0.0132,2.0434,34,-0.0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.05,-0.0346,-0.0131,2.0503,34,0.0222,0.0353,0.4997,0.0842,0.0,0.0,0.0,0.0,0.0
0.1,-0.05,-0.0346,-0.0131,2.0503,34,0.0225,0.0356,0.4997,0.0844,0.0,0.0,0.0,0.0,0.0
0.15,-0.0509,-0.0344,-0.0141,2.0512,34,0.0225,0.0366,0.4997,0.0844,0.0,0.0,0.0,0.0,0.0
0.2,-0.0509,-0.0344,-0.0141,2.0512,34,0.0221,0.0363,0.4997,0.0852,0.4997,0.0842,0.4997,0.0842,0.0
0.25,-0.0562,-0.0345,-0.0118,2.0565,34,0.0221,0.0339,0.4997,0.0852,0.4997,0.0842,0.4997,0.0842,0.0
0.3,-0.0562,-0.0345,-0.0118,2.0565,34,0.0221,0.0339,0.4997,0.0823,0.4997,0.0844,0.4997,0.0844,0.0
0.35,-0.0536,-0.0341,-0.0099,2.0538,34,0.0221,0.032,0.4997,0.0823,0.4997,0.0844,0.4997,0.0844,0.0
0.4,-0.0536,-0.0341,-0.0099,2.0538,34,0.0212,0.0311,0.4998,0.0789,0.4997,0.0852,0.4997,0.0852,0.0
0.45,-0.0509,-0.0345,-0.0095,2.0512,34,0.0212,0.0307,0.4998,0.0789,0.4997,0.0823,0.4997,0.0823,0.0
0.5,-0.0509,-0.0345,-0.0095,2.0512,34,0.0224,0.0319,0.4997,0.0798,0.4997,0.0823,0.4997,0.0823,0.0
0.55,-0.0361,-0.0351,-0.0032,2.0364,34,0.0224,0.0256,0.4997,0.0798,0.4998,0.0789,0.4998,0.0789,0.0
0.6,-0.0361,-0.0351,-0.0032,2.0364,34,0.0245,0.0277,0.4993,0.0745,0.4998,0.0789,0.4998,0.0789,0.0
0.65,-0.0093,-0.0358,0.0021,2.0097,34,0.0245,0.0224,0.4993,0.0745,0.4997,0.0798,0.4997,0.0798,0.0
0.7,-0.0093,-0.0358,0.0021,2.0097,34,0.0282,0.0261,0.4991,0.0723,0.4997,0.0798,0.4997,0.0798,0.0
0.75,0.0191,-0.0386,0.0044,1.9813,34,0.0282,0.0238,0.4991,0.0723,0.4993,0.0745,0.4993,0.0745,0.0
0.8,0.0191,-0.0386,0.0044,1.9813,34,0.0336,0.0292,0.4979,0.0764,0.4993,0.0745,0.4993,0.0745,0.0
0.85,0.0456,-0.0415,0.0073,1.9548,34,0.0336,0.0263,0.4979,0.0764,0.4993,0.0745,0.4993,0.0745,0.0
0.9,0.0456,-0.0415,0.0073,1.9548,34,0.0434,0.0361,0.4947,0.085,0.4991,0.0723,0.4991,0.0723,0.0
