t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.0337,-0.0247,-0.0172,2.0338,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0337,-0.0247,-0.0172,2.0338,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.0373,-0.0221,-0.017,2.0374,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-0.0373,-0.0221,-0.017,2.0374,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.0372,-0.0257,-0.0166,2.0374,42,,,0.0,0.0,0.4996,0.1568,0.4996,0.1568,0.0
0.25,-0.0372,-0.0257,-0.0166,2.0374,42,,,0.0,0.0,0.4996,0.1568,0.4996,0.1568,0.0
0.3,-0.04,-0.022,-0.0164,2.0401,42,,,0.4995,0.16,0.4997,0.143,0.4997,0.143,0.0
0.35,-0.04,-0.022,-0.0164,2.0401,42,,,0.4997,0.1411,0.4997,0.143,0.4997,0.143,0.0
0.4,-0.0403,-0.0221,-0.0154,2.0404,42,,,0.4997,0.1411,0.4995,0.16,0.4995,0.16,0.0
0.45,-0.0403,-0.0221,-0.0154,2.0404,42,,,0.4997,0.1389,0.4995,0.16,0.4995,0.16,0.0
0.5,-0.033,-0.0228,-0.0092,2.0331,42,0.0171,0.0263,0.4997,0.1396,0.4997,0.1411,0.4997,0.1411,0.0
0.55,-0.033,-0.0228,-0.0092,2.0331,42,0.0191,0.0283,0.4998,0.1303,0.4997,0.1411,0.4997,0.1411,0.0
0.6,-0.022,-0.0225,0.0058,2.0221,42,0.0191,0.0133,0.4998,0.1303,0.4997,0.1396,0.4997,0.1396,0.0
0.65,-0.022,-0.0225,0.0058,2.0221,42,0.019,0.0132,0.5,0.0,0.4997,0.1396,0.4997,0.1396,0.0
0.7,0.0028,-0.023,0.028,1.9974,42,0.019,-0.0091,0.5,0.0,0.4998,0.1303,0.4998,0.1303,0.0
0.75,0.0028,-0.023,0.028,1.9974,42,0.0219,-0.0061,0.5,0.0,0.4998,0.1303,0.4998,0.1303,0.0
0.8,0.0328,-0.0275,0.0452,1.9674,42,0.0219,-0.0233,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.85,0.0328,-0.0275,0.0452,1.9674,42,0.0352,-0.01,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.9,0.0618,-0.03,0.0584,1.9385,42,0.0352,-0.0232,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.95,0.0618,-0.03,0.0584,1.9385,42,0.0424,-0.016,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.0,0.088,-0.0275,0.071,1.9122,42,0.0424,-0.0286,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.05,0.088,-0.0275,0.071,1.9122,40,0.0386,-0.0324,0.4997,-0.1393,0.5,0.0,0.5,0.0,0.0
1.1,0.115,-0.0261,0.0799,1.8852,40,0.0335,-0.0464,0.4996,-0.1499,0.5,0.0,0.5,0.0,0.0
1.15,0.115,-0.0261,0.0799,1.8852,40,0.0317,-0.0482,0.4994,-0.1701,0.5,0.0,0.5,0.0,0.0
