t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,0.012,-0.0163,-0.0061,1.9881,41,0.0008,0.0069,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.012,-0.0163,-0.0061,1.9881,41,0.0038,0.0099,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0104,-0.0169,-0.0089,1.9896,41,0.0038,0.0126,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.15,0.0104,-0.0169,-0.0089,1.9896,41,0.0052,0.0141,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.2,0.0105,-0.0178,-0.0075,1.9896,41,0.0052,0.0127,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.25,0.0105,-0.0178,-0.0075,1.9896,41,0.0074,0.0149,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.3,0.0114,-0.0186,-0.009,1.9887,41,0.0074,0.0164,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.35,0.0114,-0.0186,-0.009,1.9887,41,0.0094,0.0184,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.4,0.0126,-0.0172,-0.0057,1.9874,41,0.0094,0.0152,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.45,0.0126,-0.0172,-0.0057,1.9874,41,0.006,0.0118,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.5,0.0185,-0.0172,-0.0069,1.9816,41,0.006,0.0129,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.55,0.0185,-0.0172,-0.0069,1.9816,41,0.006,0.0129,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.6,0.0358,-0.0167,-0.0114,1.9643,41,0.006,0.0174,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.65,0.0358,-0.0167,-0.0114,1.9643,41,0.0049,0.0163,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.7,0.0579,-0.0162,-0.0186,1.9421,41,0.0049,0.0235,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.75,0.0579,-0.0162,-0.0186,1.9421,41,0.0066,0.0252,0.4998,0.1229,0.5,0.0,0.5,0.0,0.0
0.8,0.0865,-0.0168,-0.0274,1.9136,41,0.0066,0.034,0.4998,0.1229,0.5,0.0,0.5,0.0,0.0
0.85,0.0865,-0.0168,-0.0274,1.9136,41,0.0087,0.0362,0.4997,0.1473,0.5,0.0,0.5,0.0,0.0
0.9,0.1151,-0.0144,-0.0384,1.8849,41,0.0087,0.0471,0.4997,0.1473,0.4998,0.1229,0.4998,0.1229,0.0
0.95,0.1151,-0.0144,-0.0384,1.8849,41,0.0055,0.0439,0.4995,0.1622,0.4998,0.1229,0.4998,0.1229,0.0
1.0,0.1413,-0.013,-0.054,1.8588,39,0.0055,0.0595,0.4995,0.1622,0.4997,0.1473,0.4997,0.1473,0.0
1.05,0.1413,-0.013,-0.054,1.8588,39,-0.003,0.051,0.4993,0.1749,0.4997,0.1473,0.4997,0.1473,0.0
1.1,0.1703,-0.0135,-0.0653,1.8297,39,-0.003,0.0623,0.4993,0.1749,0.4995,0.1622,0.4995,0.1622,0.0
1.15,0.1703,-0.0135,-0.0653,1.8297,39,0.0016,0.0669,0.4989,0.2003,0.4995,0.1622,0.4995,0.1622,0.0
1.2,0.197,-0.0138,-0.0768,1.803,39,0.0016,0.0783,0.4989,0.2003,0.4993,0.1749,0.4993,0.1749,0.0
1.25,0.197,-0.0138,-0.0768,1.803,39,0.0026,0.0793,0.4984,0.2181,0.4993,0.1749,0.4993,0.1749,0.0
1.3,0.2238,-0.0172,-0.0854,1.7763,39,0.0026,0.088,0.4984,0.2181,0.4989,0.2003,0.4989,0.2003,0.0
1.35,0.2238,-0.0172,-0.0854,1.7763,39,0.0142,0.0996,0.4975,0.2445,0.4989,0.2003,0.4989,0.2003,0.0
1.4,0.2501,-0.0227,-0.0966,1.75,39,0.0142,0.1108,0.4975,0.2445,0.4984,0.2181,0.4984,0.2181,0.0
1.45,0.2501,-0.0227,-0.0966,1.75,39,0.0295,0.1261,0.4948,0.275,0.4984,0.2181,0.4984,0.2181,0.0
1.5,0.2766,-0.0302,-0.1081,1.7236,39,0.0295,0.1376,0.4948,0.275,0.4975,0.2445,0.4975,0.2445,0.0
1.55,0.2766,-0.0302,-0.1081,1.7236,39,0.0504,0.1584,0.4788,0.3083,0.4975,0.2445,0.4975,0.2445,0.0
1.6,0.3035,-0.0343,-0.1137,1.6969,39,0.0504,0.1641,0.4788,0.3083,0.4948,0.275,0.4948,0.275,0.0
1.65,0.3035,-0.0343,-0.1137,1.6969,39,0.0606,0.1743,0.4812,0.3234,0.4948,0.275,0.4948,0.275,0.0
1.7,0.3275,-0.0397,-0.1178,1.673,39,0.0606,0.1783,0.4812,0.3234,0.4788,0.3083,0.4788,0.3083,0.0
1.75,0.3275,-0.0397,-0.1178,1.673,39,0.0776,0.1953,0.4786,0.3423,0.4788,0.3083,0.4788,0.3083,0.0
1.8,0.3528,-0.0433,-0.1227,1.6477,39,0.0776,0.2003,0.4786,0.3423,0.4812,0.3234,0.4812,0.3234,0.0
1.85,0.3528,-0.0433,-0.1227,1.6477,39,0.0849,0.2076,0.4825,0.3529,0.4812,0.3234,0.4812,0.3234,0.0
1.9,0.3813,-0.048,-0.1226,1.6194,39,0.0849,0.2075,0.4825,0.3529,0.4786,0.3423,0.4786,0.3423,0.0
1.95,0.3813,-0.048,-0.1226,1.6194,39,0.1028,0.2254,0.481,0.3678,0.4786,0.3423,0.4786,0.3423,0.0
2.0,0.4085,-0.0493,-0.1209,1.5923,39,0.1028,0.2237,0.481,0.3678,0.4825,0.3529,0.4825,0.3529,0.0
2.05,0.4085,-0.0493,-0.1209,1.5923,28,0.1034,0.2242,0.4875,0.3668,0.4825,0.3529,0.4825,0.3529,0.0
2.1,0.4339,-0.0531,-0.1189,1.567,28,0.1764,0.2954,0.4781,0.4224,0.481,0.3678,0.481,0.3678,0.0
2.15,0.4339,-0.0531,-0.1189,1.567,28,0.1971,0.316,0.4751,0.4354,0.481,0.3678,0.481,0.3678,0.0
2.2,0.4595,-0.0554,-0.1171,1.5415,28,0.1971,0.3142,0.4751,0.4354,0.4781,0.4224,0.4781,0.4224,0.0
2.25,0.4595,-0.0554,-0.1171,1.5415,28,0.1911,0.3082,0.4764,0.4301,0.4781,0.4224,0.4781,0.4224,0.0
2.3,0.4837,-0.0592,-0.1075,1.5175,28,0.1911,0.2986,0.4764,0.4301,0.4751,0.4354,0.4751,0.4354,0.0
2.35,0.4837,-0.0592,-0.1075,1.5175,28,0.2119,0.3194,0.4708,0.4378,0.4751,0.4354,0.4751,0.4354,0.0
2.4,0.5081,-0.0563,-0.1058,1.493,28,0.2119,0.3177,0.4708,0.4378,0.4764,0.4301,0.4764,0.4301,0.0
2.45,0.5081,-0.0563,-0.1058,1.493,28,0.1927,0.2985,0.4779,0.4232,0.4764,0.4301,0.4764,0.4301,0.0
2.5,0.5301,-0.0598,-0.0943,1.4711,28,0.1927,0.287,0.4779,0.4232,0.4708,0.4378,0.4708,0.4378,0.0
2.55,0.5301,-0.0598,-0.0943,1.4711,28,0.2116,0.3059,0.4768,0.4284,0.4708,0.4378,0.4708,0.4378,0.0
2.6,0.5533,-0.0598,-0.0881,1.448,28,0.2116,0.2997,0.4768,0.4284,0.4779,0.4232,0.4779,0.4232,0.0
2.65,0.5533,-0.0598,-0.0881,1.448,28,0.1985,0.2866,0.4796,0.4147,0.4779,0.4232,0.4779,0.4232,0.0
2.7,0.5752,-0.0615,-0.0772,1.4261,28,0.1985,0.2757,0.4796,0.4147,0.4768,0.4284,0.4768,0.4284,0.0
2.75,0.5752,-0.0615,-0.0772,1.4261,28,0.213,0.2902,0.4791,0.4173,0.4768,0.4284,0.4768,0.4284,0.0
