t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,0.0377,-0.0785,0.0366,1.9639,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.036,-0.0794,0.0366,1.9656,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0385,-0.0824,0.0391,1.9632,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0385,-0.0824,0.0391,1.9632,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0385,-0.0824,0.0391,1.9632,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0403,-0.082,0.0401,1.9614,0,,,0.4867,0.3725,0.0,0.0,0.4876,0.366,0.0
0.3,0.0403,-0.082,0.0401,1.9614,0,,,0.4867,0.3725,0.0,0.0,0.4876,0.366,0.0
0.35,0.0378,-0.0862,0.0398,1.9641,0,,,0.4857,0.3795,0.4866,0.3731,0.4866,0.3731,0.0
0.4,0.0421,-0.0847,0.0428,1.9597,0,0.2798,0.237,0.486,0.3771,0.4866,0.3731,0.4866,0.3731,0.0
0.45,0.0421,-0.0847,0.0428,1.9597,0,0.2789,0.2361,0.4861,0.3764,0.4867,0.3725,0.4867,0.3725,0.0
0.5,0.0471,-0.0849,0.0521,1.9547,0,0.2789,0.2268,0.4872,0.3689,0.4867,0.3725,0.4867,0.3725,0.0
0.55,0.0471,-0.0849,0.0521,1.9547,0,0.283,0.2309,0.4867,0.3722,0.486,0.3771,0.486,0.3771,0.0
0.6,0.0471,-0.0849,0.0521,1.9547,0,0.283,0.2309,0.4867,0.3722,0.486,0.3771,0.486,0.3771,0.0
0.65,0.0592,-0.0846,0.071,1.9426,0,0.2578,0.1868,0.4913,0.3348,0.4872,0.3689,0.4872,0.3689,0.0
0.7,0.0791,-0.0865,0.0981,1.9228,0,0.2578,0.1597,0.4767,0.3095,0.4867,0.3722,0.4867,0.3722,0.0
0.75,0.0791,-0.0865,0.0981,1.9228,0,0.2745,0.1764,0.4741,0.3253,0.4867,0.3722,0.4867,0.3722,0.0
0.8,0.1002,-0.0901,0.1243,1.902,0,0.2745,0.1502,0.4659,0.3002,0.4913,0.3348,0.4913,0.3348,0.0
0.85,0.1002,-0.0901,0.1243,1.902,0,0.2978,0.1736,0.4615,0.3227,0.4913,0.3348,0.4913,0.3348,0.0
0.9,0.1194,-0.0947,0.1553,1.883,0,0.2978,0.1425,0.4473,0.2924,0.4741,0.3253,0.4741,0.3253,0.0
0.95,0.1194,-0.0947,0.1553,1.883,0,0.2869,0.1316,0.4497,0.281,0.4741,0.3253,0.4741,0.3253,0.0
1.0,0.1402,-0.0923,0.1853,1.862,0,0.2869,0.1016,0.464,0.2469,0.4473,0.2924,0.4473,0.2924,0.0
1.05,0.1402,-0.0923,0.1853,1.862,33,0.2959,0.1106,0.4623,0.2576,0.4473,0.2924,0.4473,0.2924,0.0
1.1,0.1586,-0.0852,0.2132,1.8434,33,0.2959,0.0827,0.4887,0.2228,0.4473,0.2924,0.4473,0.2924,0.0
1.15,0.1586,-0.0852,0.2132,1.8434,33,0.2587,0.0455,0.4923,0.1653,0.464,0.2469,0.464,0.2469,0.0
1.2,0.1586,-0.0852,0.2132,1.8434,33,0.2587,0.0455,0.4923,0.1653,0.464,0.2469,0.464,0.2469,0.0
1.25,0.1835,-0.0797,0.2395,1.8183,33,0.2612,0.0217,0.4999,0.114,0.4887,0.2228,0.4887,0.2228,0.0
1.3,0.2057,-0.0748,0.2596,1.7959,33,0.2612,0.0016,0.5,0.0,0.4887,0.2228,0.4887,0.2228,0.0
1.35,0.2057,-0.0748,0.2596,1.7959,33,0.2337,-0.0259,0.4998,-0.1246,0.4923,0.1653,0.4923,0.1653,0.0
1.4,0.2253,-0.0723,0.2812,1.7762,33,0.2337,-0.0474,0.4994,-0.1687,0.5,0.0,0.5,0.0,0.0
1.45,0.2253,-0.0723,0.2812,1.7762,33,0.2388,-0.0424,0.4994,-0.1594,0.5,0.0,0.5,0.0,0.0
1.5,0.2477,-0.0708,0.3029,1.7537,33,0.2388,-0.0641,0.4974,-0.1961,0.0,0.0,0.0,0.0,0.0
1.55,0.2477,-0.0708,0.3029,1.7537,33,0.2486,-0.0543,0.4969,-0.1805,0.0,0.0,0.0,0.0,0.0
1.6,0.2699,-0.0666,0.3163,1.7313,33,0.2486,-0.0677,0.4963,-0.2015,0.4994,-0.1594,0.4994,-0.1594,0.0
1.65,0.2699,-0.0666,0.3163,1.7313,33,0.2224,-0.0939,0.4977,-0.2373,0.4994,-0.1594,0.4994,-0.1594,0.0
1.7,0.2972,-0.0585,0.3306,1.7038,33,0.2224,-0.1082,0.4971,-0.2548,0.4969,-0.1805,0.4969,-0.1805,0.0
1.75,0.2972,-0.0585,0.3306,1.7038,33,0.2176,-0.113,0.4968,-0.2604,0.4969,-0.1805,0.4969,-0.1805,0.0
1.8,0.3263,-0.0485,0.3395,1.6744,33,0.2176,-0.1219,0.4963,-0.2704,0.0,0.0,0.4969,-0.1805,0.0
1.85,0.3263,-0.0485,0.3395,1.6744,33,0.1822,-0.1573,0.4938,-0.3072,0.0,0.0,0.0,0.0,0.0
1.9,0.3542,-0.0408,0.3449,1.6463,33,0.1822,-0.1627,0.4934,-0.3125,0.0,0.0,0.0,0.0,0.0
1.95,0.3542,-0.0408,0.3449,1.6463,33,0.1551,-0.1898,0.491,-0.3375,0.4963,-0.2704,0.4963,-0.2704,0.0
2.0,0.3819,-0.0305,0.3386,1.6184,33,0.1551,-0.1835,0.4916,-0.3318,0.4963,-0.2704,0.4963,-0.2704,0.0
2.05,0.3819,-0.0305,0.3386,1.6184,34,0.1403,-0.1983,0.4902,-0.345,0.4934,-0.3125,0.4934,-0.3125,0.0
2.1,0.3819,-0.0305,0.3386,1.6184,34,0.0458,-0.2928,0.4787,-0.4192,0.4934,-0.3125,0.4934,-0.3125,0.0
2.15,0.4127,-0.0179,0.3341,1.5874,34,0.0168,-0.3173,0.4684,-0.4363,0.4916,-0.3318,0.4916,-0.3318,0.0
2.2,0.4127,-0.0179,0.3341,1.5874,34,0.0168,-0.3173,0.4684,-0.4363,0.4916,-0.3318,0.4916,-0.3318,0.0
2.25,0.4438,-0.0095,0.3246,1.5562,34,-0.0039,-0.3285,0.4727,-0.444,0.4787,-0.4192,0.4787,-0.4192,0.0
2.3,0.4711,0.0005,0.3098,1.5289,34,-0.0039,-0.3137,0.4717,-0.4338,0.4684,-0.4363,0.4684,-0.4363,0.0
2.35,0.4711,0.0005,0.3098,1.5289,34,-0.0244,-0.3342,0.4682,-0.4478,0.4684,-0.4363,0.4684,-0.4363,0.0
2.4,0.4995,0.0092,0.2923,1.5005,34,-0.0244,-0.3167,0.4735,-0.4359,0.4727,-0.444,0.4727,-0.444,0.0
2.45,0.4995,0.0092,0.2923,1.5005,34,-0.0401,-0.3324,0.471,-0.4466,0.4727,-0.444,0.4727,-0.444,0.0
2.5,0.5275,0.0175,0.2705,1.4726,34,-0.0401,-0.3106,0.4694,-0.4317,0.0,0.0,0.0,0.0,0.0
2.55,0.5275,0.0175,0.2705,1.4726,34,-0.0637,-0.3342,0.4652,-0.4478,0.0,0.0,0.0,0.0,0.0
2.6,0.5275,0.0175,0.2705,1.4726,34,-0.0637,-0.3342,0.4652,-0.4478,0.0,0.0,0.0,0.0,0.0
2.65,0.5553,0.0267,0.2464,1.4449,34,-0.0784,-0.3247,0.4641,-0.4414,0.4694,-0.4317,0.4694,-0.4317,0.0
2.7,0.5553,0.0267,0.2464,1.4449,34,-0.0784,-0.3247,0.4641,-0.4414,0.4694,-0.4317,0.4694,-0.4317,0.0
2.75,0.5824,0.031,0.2215,1.4179,34,-0.0947,-0.3162,0.4721,-0.4356,0.4652,-0.4478,0.4652,-0.4478,0.0
2.8,0.6107,0.0363,0.1959,1.3898,34,-0.0947,-0.2906,0.479,-0.4176,0.4652,-0.4478,0.4652,-0.4478,0.0
2.85,0.6107,0.0363,0.1959,1.3898,34,-0.0988,-0.2947,0.4784,-0.4205,0.4641,-0.4414,0.4641,-0.4414,0.0
2.9,0.6413,0.0359,0.162,1.3592,34,-0.0988,-0.2608,0.4831,-0.3956,0.4641,-0.4414,0.4641,-0.4414,0.0
2.95,0.6413,0.0359,0.162,1.3592,34,-0.1054,-0.2674,0.4822,-0.4005,0.479,-0.4176,0.479,-0.4176,0.0
3.0,0.6717,0.0468,0.1378,1.3291,34,-0.1054,-0.2432,0.4805,-0.382,0.479,-0.4176,0.479,-0.4176,0.0
3.05,0.6717,0.0468,0.1378,1.3291,34,-0.1232,-0.261,0.478,-0.3957,0.4831,-0.3956,0.4831,-0.3956,0.0
3.1,0.7025,0.0554,0.1039,1.2987,22,-0.1232,-0.2271,0.454,-0.3691,0.0,0.0,0.0,0.0,0.0
3.15,0.7025,0.0554,0.1039,1.2987,22,-0.0719,-0.1758,0.4642,-0.3247,0.0,0.0,0.0,0.0,0.0
3.2,0.7025,0.0554,0.1039,1.2987,22,-0.0719,-0.1758,0.4642,-0.3247,0.0,0.0,0.0,0.0,0.0
3.25,0.7331,0.0657,0.0666,1.2686,22,-0.1036,-0.1701,0.4599,-0.3195,0.478,-0.3957,0.478,-0.3957,0.0
3.3,0.7587,0.0694,0.028,1.2433,22,-0.1036,-0.1316,0.4683,-0.281,0.4642,-0.3247,0.4642,-0.3247,0.0
3.35,0.7587,0.0694,0.028,1.2433,22,-0.1062,-0.1342,0.4678,-0.2838,0.4642,-0.3247,0.4642,-0.3247,0.0
3.4,0.7869,0.0679,-0.0062,1.215,22,-0.1062,-0.1,0.484,-0.245,0.4683,-0.281,0.4683,-0.281,0.0
3.45,0.7869,0.0679,-0.0062,1.215,22,-0.1102,-0.104,0.4835,-0.2498,0.4683,-0.281,0.4683,-0.281,0.0
3.5,0.7869,0.0679,-0.0062,1.215,22,-0.1102,-0.104,0.4835,-0.2498,0.4683,-0.281,0.4683,-0.281,0.0
3.55,0.8187,0.0653,-0.0355,1.1831,22,-0.0988,-0.0633,0.4978,-0.1948,0.0,0.0,0.0,0.0,0.0
3.6,0.8572,0.0641,-0.0678,1.1446,22,-0.0988,-0.031,0.4978,-0.1948,0.0,0.0,0.0,0.0,0.0
3.65,0.8572,0.0641,-0.0678,1.1446,22,-0.1059,-0.038,0.4993,-0.1511,0.4835,-0.2498,0.4835,-0.2498,0.0
3.7,0.8874,0.0644,-0.1111,1.1145,22,-0.1059,0.0052,0.5,0.0,0.4835,-0.2498,0.4835,-0.2498,0.0
3.75,0.8874,0.0644,-0.1111,1.1145,22,-0.0897,0.0214,0.4985,0.1133,0.0,0.0,0.0,0.0,0.0
3.8,0.9223,0.0629,-0.1478,1.0796,22,-0.0897,0.0581,0.4989,0.1867,0.0,0.0,0.0,0.0,0.0
3.85,0.9223,0.0629,-0.1478,1.0796,22,-0.0938,0.054,0.4987,0.18,0.5,0.0,0.5,0.0,0.0
3.9,0.9472,0.0534,-0.1827,1.0542,22,-0.0938,0.0889,0.498,0.231,0.4989,0.1867,0.4989,0.1867,0.0
3.95,0.9472,0.0534,-0.1827,1.0542,22,-0.075,0.1078,0.4971,0.2543,0.4989,0.1867,0.4989,0.1867,0.0
4.0,0.9778,0.0494,-0.2177,1.0234,22,-0.075,0.1427,0.4949,0.2926,0.4987,0.18,0.4987,0.18,0.0
4.05,0.9778,0.0494,-0.2177,1.0234,22,-0.0544,0.1633,0.4934,0.313,0.4987,0.18,0.4987,0.18,0.0
4.1,1.008,0.0394,-0.2522,0.9928,22,-0.0544,0.1978,0.4887,0.3445,0.4971,0.2543,0.4971,0.2543,0.0
4.15,1.008,0.0394,-0.2522,0.9928,19,-0.0345,0.2177,0.4865,0.3614,0.4971,0.2543,0.4971,0.2543,0.0
4.2,1.0336,0.0265,-0.2879,0.9667,19,-0.0345,0.2534,0.4823,0.3899,0.4934,0.313,0.4934,0.313,0.0
4.25,1.0336,0.0265,-0.2879,0.9667,19,-0.0039,0.2841,0.478,0.4128,0.4934,0.313,0.4934,0.313,0.0
4.3,1.0606,0.0175,-0.3183,0.9396,19,-0.0039,0.3145,0.4624,0.4344,0.4823,0.3899,0.4934,0.313,0.0
4.35,1.0606,0.0175,-0.3183,0.9396,19,0.0181,0.3364,0.4581,0.4493,0.4823,0.3899,0.4823,0.3899,0.0
4.4,1.0847,0.0151,-0.3445,0.9154,19,0.0181,0.3626,0.4675,0.4664,0.4823,0.3899,0.4823,0.3899,0.0
