t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.04,-0.0085,0.0221,2.04,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0442,-0.0061,0.023,2.0442,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.0442,-0.0061,0.023,2.0442,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-0.0463,-0.0064,0.0239,2.0463,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.0463,-0.0064,0.0239,2.0463,42,,,0.0,0.0,0.4998,-0.1213,0.4998,-0.1213,0.0
0.25,-0.0471,-0.0056,0.0203,2.0471,42,,,0.0,0.0,0.4998,-0.1213,0.4998,-0.1213,0.0
0.3,-0.0471,-0.0056,0.0203,2.0471,42,,,0.4998,-0.1284,0.4998,-0.1326,0.4998,-0.1326,0.0
0.35,-0.0453,-0.0048,0.0221,2.0453,42,-0.0072,-0.0292,0.4998,-0.1284,0.4998,-0.1326,0.4998,-0.1326,0.0
0.4,-0.0453,-0.0048,0.0221,2.0453,42,-0.0084,-0.0305,0.4998,-0.1353,0.4998,-0.1333,0.4998,-0.1333,0.0
0.45,-0.037,0.0002,0.0094,2.037,42,-0.0084,-0.0179,0.4998,-0.1353,0.4998,-0.1284,0.4998,-0.1284,0.0
0.5,-0.037,0.0002,0.0094,2.037,42,-0.0167,-0.0261,0.4998,-0.1252,0.4998,-0.1284,0.4998,-0.1284,0.0
0.55,-0.0183,-0.0025,-0.0107,2.0183,42,-0.0167,-0.006,0.4998,-0.1252,0.4998,-0.1353,0.4998,-0.1353,0.0
0.6,-0.0183,-0.0025,-0.0107,2.0183,42,-0.0127,-0.002,0.5,0.0,0.4998,-0.1353,0.4998,-0.1353,0.0
0.651,0.0024,-0.0003,-0.0316,1.9976,42,-0.0127,0.019,0.5,0.0,0.4998,-0.1252,0.4998,-0.1353,0.0
0.7,0.0024,-0.0003,-0.0316,1.9976,42,-0.0136,0.018,0.5,0.0,0.4998,-0.1252,0.4998,-0.1252,0.0
0.75,0.0323,0.0012,-0.0604,1.9677,42,-0.0136,0.0468,0.5,0.0,0.4998,-0.1252,0.4998,-0.1252,0.0
0.8,0.0323,0.0012,-0.0604,1.9677,42,-0.0167,0.0436,0.498,0.1618,0.5,0.0,0.5,0.0,0.0
0.85,0.0639,-0.0025,-0.0877,1.9361,42,-0.0167,0.071,0.498,0.1618,0.5,0.0,0.5,0.0,0.0
0.9,0.0639,-0.0025,-0.0877,1.9361,42,-0.0083,0.0795,0.4984,0.2183,0.5,0.0,0.5,0.0,0.0
0.95,0.094,-0.0068,-0.1088,1.906,42,-0.0083,0.1006,0.4984,0.2183,0.5,0.0,0.5,0.0,0.0
1.0,0.094,-0.0068,-0.1088,1.906,42,-0.0012,0.1076,0.496,0.2541,0.498,0.1618,0.498,0.1618,0.0
1.05,0.1224,-0.0114,-0.1356,1.8776,39,-0.0032,0.1324,0.4961,0.2518,0.498,0.1618,0.498,0.1618,0.0
1.1,0.1224,-0.0114,-0.1356,1.8776,39,0.0044,0.14,0.4949,0.2898,0.4984,0.2183,0.4984,0.2183,0.0
1.15,0.1542,-0.0188,-0.1548,1.8459,39,0.0044,0.1592,0.4949,0.2898,0.4984,0.2183,0.4984,0.2183,0.0
1.2,0.1542,-0.0188,-0.1548,1.8459,39,0.0182,0.173,0.4886,0.3222,0.4961,0.2518,0.4961,0.2518,0.0
1.25,0.1835,-0.0252,-0.1832,1.8166,39,0.0182,0.2014,0.4886,0.3222,0.4949,0.2898,0.4949,0.2898,0.0
1.3,0.1835,-0.0252,-0.1832,1.8166,39,0.03,0.2132,0.4865,0.3577,0.4949,0.2898,0.4949,0.2898,0.0
1.35,0.2121,-0.0382,-0.2025,1.7884,39,0.03,0.2326,0.4865,0.3577,0.4886,0.3222,0.4886,0.3222,0.0
1.4,0.2121,-0.0382,-0.2025,1.7884,39,0.0524,0.2549,0.4649,0.3911,0.4886,0.3222,0.4886,0.3222,0.0
1.45,0.237,-0.0474,-0.2239,1.7637,39,0.0524,0.2763,0.4649,0.3911,0.4886,0.3222,0.4886,0.3222,0.0
1.5,0.237,-0.0474,-0.2239,1.7637,39,0.0702,0.2941,0.4599,0.42,0.4865,0.3577,0.4865,0.3577,0.0
1.55,0.2571,-0.0557,-0.244,1.7437,39,0.0702,0.3142,0.4599,0.42,0.4865,0.3577,0.4865,0.3577,0.0
1.6,0.2571,-0.0557,-0.244,1.7437,39,0.0824,0.3264,0.4496,0.4425,0.4649,0.3911,0.4649,0.3911,0.0
1.65,0.2815,-0.0604,-0.2622,1.7196,39,0.0824,0.3446,0.4496,0.4425,0.4649,0.3911,0.4649,0.3911,0.0
1.7,0.2815,-0.0604,-0.2622,1.7196,39,0.0936,0.3558,0.4646,0.462,0.4599,0.42,0.4599,0.42,0.0
1.75,0.3036,-0.0633,-0.273,1.6976,39,0.0936,0.3666,0.4646,0.462,0.4599,0.42,0.4599,0.42,0.0
1.8,0.3036,-0.0633,-0.273,1.6976,39,0.0962,0.3692,0.4663,0.4706,0.4496,0.4425,0.4496,0.4425,0.0
1.85,0.3243,-0.0684,-0.2833,1.6771,39,0.0962,0.3795,0.4663,0.4706,0.4496,0.4425,0.4496,0.4425,0.0
1.9,0.3243,-0.0684,-0.2833,1.6771,39,0.1078,0.3911,0.4622,0.4844,0.4646,0.462,0.4646,0.462,0.0
1.95,0.3455,-0.081,-0.2884,1.6565,39,0.1078,0.3962,0.4622,0.4844,0.4646,0.462,0.4646,0.462,0.0
2.0,0.3455,-0.081,-0.2884,1.6565,39,0.1331,0.4215,0.4516,0.5029,0.4663,0.4706,0.4663,0.4706,0.0
2.05,0.3687,-0.0901,-0.2926,1.6338,28,0.1331,0.4258,0.4516,0.5029,0.4622,0.4844,0.4622,0.4844,0.0
2.1,0.3687,-0.0901,-0.2926,1.6338,28,0.1876,0.4802,0.4189,0.5368,0.4622,0.4844,0.4622,0.4844,0.0
2.15,0.3927,-0.1007,-0.289,1.6104,28,0.1876,0.4766,0.4189,0.5368,0.4516,0.5029,0.4516,0.5029,0.0
2.2,0.3927,-0.1007,-0.289,1.6104,28,0.2127,0.5017,0.3965,0.5486,0.4516,0.5029,0.4516,0.5029,0.0
2.25,0.4179,-0.1129,-0.2868,1.5861,28,0.2127,0.4994,0.3965,0.5486,0.4516,0.5029,0.4516,0.5029,0.0
2.3,0.4179,-0.1129,-0.2868,1.5861,28,0.2234,0.5101,0.4014,0.5532,0.4189,0.5368,0.4189,0.5368,0.0
2.35,0.4404,-0.1212,-0.283,1.5643,28,0.2234,0.5064,0.4014,0.5532,0.4189,0.5368,0.4189,0.5368,0.0
2.4,0.4404,-0.1212,-0.283,1.5643,28,0.245,0.5281,0.3967,0.5629,0.3965,0.5486,0.3965,0.5486,0.0
2.45,0.4611,-0.1262,-0.2738,1.5441,28,0.245,0.5188,0.3967,0.5629,0.3965,0.5486,0.3965,0.5486,0.0
2.5,0.4611,-0.1262,-0.2738,1.5441,28,0.2619,0.5357,0.4236,0.5669,0.4014,0.5532,0.4014,0.5532,0.0
2.55,0.4881,-0.1263,-0.2626,1.5171,28,0.2619,0.5245,0.4236,0.5669,0.4014,0.5532,0.4014,0.5532,0.0
2.6,0.4881,-0.1263,-0.2626,1.5171,28,0.2524,0.5149,0.4352,0.5558,0.3967,0.5629,0.3967,0.5629,0.0
2.65,0.5158,-0.1324,-0.2519,1.4901,28,0.2524,0.5043,0.4352,0.5558,0.3967,0.5629,0.3967,0.5629,0.0
2.7,0.5158,-0.1324,-0.2519,1.4901,28,0.2743,0.5263,0.4323,0.5619,0.4236,0.5669,0.4236,0.5669,0.0
2.75,0.5448,-0.1339,-0.2346,1.4614,28,0.2743,0.5089,0.4323,0.5619,0.4236,0.5669,0.4236,0.5669,0.0
2.8,0.5448,-0.1339,-0.2346,1.4614,28,0.247,0.4816,0.4431,0.5375,0.4352,0.5558,0.4352,0.5558,0.0
2.85,0.5686,-0.1414,-0.2134,1.4383,28,0.247,0.4604,0.4431,0.5375,0.4323,0.5619,0.4323,0.5619,0.0
2.9,0.5686,-0.1414,-0.2134,1.4383,28,0.2678,0.4813,0.4432,0.5374,0.4323,0.5619,0.4323,0.5619,0.0
2.95,0.5937,-0.1521,-0.1898,1.4145,28,0.2678,0.4576,0.4432,0.5374,0.4323,0.5619,0.4323,0.5619,0.0
3.0,0.5937,-0.1521,-0.1898,1.4145,28,0.2958,0.4856,0.4279,0.5398,0.4431,0.5375,0.4431,0.5375,0.0
3.05,0.6141,-0.1574,-0.1671,1.3948,28,0.2958,0.4629,0.4279,0.5398,0.4431,0.5375,0.4431,0.5375,0.0
3.1,0.6141,-0.1574,-0.1671,1.3948,24,0.3145,0.4816,0.397,0.5375,0.4432,0.5374,0.4432,0.5374,0.0
3.15,0.6354,-0.1633,-0.1394,1.3744,24,0.2902,0.4296,0.4043,0.5238,0.4432,0.5374,0.4432,0.5374,0.0
3.2,0.6354,-0.1633,-0.1394,1.3744,24,0.3091,0.4485,0.4206,0.5187,0.4279,0.5398,0.4279,0.5398,0.0
3.25,0.6554,-0.1688,-0.1144,1.3552,24,0.3091,0.4235,0.4206,0.5187,0.4279,0.5398,0.4279,0.5398,0.0
3.3,0.6554,-0.1688,-0.1144,1.3552,24,0.3031,0.4175,0.4206,0.5005,0.4043,0.5238,0.4043,0.5238,0.0
3.35,0.6719,-0.1714,-0.0835,1.3391,24,0.3031,0.3866,0.4206,0.5005,0.4043,0.5238,0.4043,0.5238,0.0
3.4,0.6719,-0.1714,-0.0835,1.3391,24,0.3148,0.3982,0.4307,0.4888,0.4206,0.5187,0.4206,0.5187,0.0
3.45,0.6958,-0.1735,-0.0515,1.3157,24,0.3148,0.3663,0.4307,0.4888,0.4206,0.5005,0.4206,0.5005,0.0
