t,x,y,yaw,dist,plano_n,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,0.064,-0.7645,-0.65,13.0421,286,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
0.05,0.0669,-0.7634,-0.6822,13.0436,286,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
0.1,0.0717,-0.7615,-0.738,13.046,286,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
0.15,0.0749,-0.7604,-0.7753,13.0476,286,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
0.2,0.0803,-0.7586,-0.8388,13.0501,287,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
0.25,0.084,-0.7575,-0.8812,13.0516,287,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
0.3,0.0901,-0.7559,-0.9525,13.054,287,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
0.35,0.0942,-0.755,-1.0001,13.0554,287,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
0.4,0.1009,-0.7539,-1.0792,13.0574,287,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
0.45,0.1055,-0.7534,-1.1319,13.0585,287,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
0.5,0.1129,-0.7528,-1.2187,13.06,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.1179,-0.7529,-1.2766,13.0606,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.126,-0.7533,-1.3709,13.0612,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.1313,-0.754,-1.4339,13.0612,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.1398,-0.7557,-1.5361,13.0607,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.1454,-0.7573,-1.6045,13.0599,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.1541,-0.7604,-1.7144,13.0579,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.1597,-0.763,-1.7878,13.0561,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.1682,-0.7679,-1.9054,13.0524,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.1736,-0.7717,-1.9839,13.0493,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.1812,-0.7777,-2.0983,13.0445,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.05,0.1857,-0.7819,-2.1729,13.0409,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.1923,-0.7881,-2.2819,13.0357,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.15,0.1964,-0.792,-2.3509,13.0324,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.2019,-0.7981,-2.4515,13.0271,287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.205,-0.8025,-2.5173,13.0232,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0
