t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.15,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.2,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.25,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.3,2.0,5.0,0.0,2.2,45,1.6374,1.6374,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.35,2.0,5.0,0.0,2.2,45,1.6374,1.6374,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.4,2.0,5.0,0.0,2.2,45,1.6374,1.6374,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.45,1.9993,4.9998,0.0023,2.2002,45,1.6374,1.6351,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.5,1.9969,4.9992,0.0102,2.2008,45,1.6332,1.623,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.55,1.9953,4.9985,0.0177,2.2015,45,1.6289,1.6112,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.6,1.9929,4.9972,0.0331,2.2028,45,1.6225,1.5893,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.65,1.9914,4.9961,0.0458,2.2039,45,1.6182,1.5724,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.7,1.9891,4.9941,0.0689,2.2059,45,1.6118,1.543,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.75,1.9876,4.9925,0.0867,2.2075,45,1.6077,1.521,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.8,1.9854,4.9898,0.1175,2.2103,45,1.6017,1.4842,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.85,1.9841,4.9877,0.1405,2.2123,45,1.5979,1.4574,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.9,1.9822,4.9842,0.1791,2.2158,45,1.5926,1.4135,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.95,1.9811,4.9817,0.2072,2.2184,45,1.5893,1.3821,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,1.9796,4.9775,0.2535,2.2226,45,1.5849,1.3314,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.05,1.9788,4.9744,0.2867,2.2257,45,1.5824,1.2956,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.1,1.9779,4.9695,0.3407,2.2306,45,1.5794,1.2386,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.15,1.9774,4.966,0.3792,2.2341,45,1.5778,1.1987,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.2,1.9773,4.9623,0.4202,2.2378,45,1.5765,1.1563,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.25,1.9774,4.9566,0.4843,2.2435,45,1.5762,1.0919,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.3,1.9778,4.9525,0.5306,2.2476,45,1.5769,1.0463,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.35,1.9789,4.9463,0.6025,2.2538,45,1.5781,0.9756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.401,1.9808,4.9398,0.6796,2.2603,45,1.5812,0.9016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.45,1.9824,4.9354,0.7335,2.2646,45,1.584,0.8505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1.9844,4.931,0.79,2.2691,45,1.5897,0.7997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.551,1.988,4.9244,0.8772,2.2756,45,1.5943,0.7171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.601,1.9926,4.918,0.9696,2.282,45,1.6028,0.6331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.65,1.9961,4.9138,1.0337,2.2862,45,1.6092,0.5755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,2.0022,4.9079,1.134,2.2921,45,1.6206,0.4865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,2.0068,4.9043,1.2033,2.2957,45,1.6289,0.4257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,2.0119,4.9011,1.2753,2.299,45,1.6433,0.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.85,2.0199,4.8969,1.3829,2.3032,45,1.6537,0.2708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,2.0253,4.8946,1.4524,2.3055,45,1.6697,0.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.95,2.0334,4.8921,1.5541,2.3081,45,1.6804,0.1263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0388,4.8909,1.6195,2.3094,45,1.6965,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
