t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.45,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.5,1.9977,4.9994,0.0076,2.2006,45,1.6374,1.6297,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.55,1.9961,4.9989,0.0128,2.2011,45,1.6289,1.6162,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.6,1.9937,4.9976,0.028,2.2024,45,1.6225,1.5945,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.651,1.9921,4.9968,0.0383,2.2033,45,1.6182,1.5799,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.7,1.9898,4.9948,0.0612,2.2053,45,1.6118,1.5506,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.75,1.9883,4.9934,0.0767,2.2066,45,1.6077,1.531,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.8,1.9861,4.9907,0.1074,2.2093,45,1.6017,1.4944,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.85,1.9848,4.9888,0.1279,2.2112,45,1.5979,1.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.9,1.9835,4.9866,0.1534,2.2135,45,1.5926,1.4391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,1.9822,4.9842,0.1791,2.2158,45,1.5926,1.4135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.9816,4.9811,0.2152,2.219,45,1.5893,1.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.05,1.9818,4.9794,0.2364,2.2207,45,1.5874,1.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,1.9824,4.9771,0.2653,2.223,45,1.5881,1.3228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.15,1.9828,4.9759,0.2809,2.2242,45,1.5895,1.3085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,1.9828,4.9759,0.2809,2.2242,45,1.5895,1.3085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,1.9828,4.9759,0.2809,2.2242,45,1.5895,1.3085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,1.9828,4.9759,0.2809,2.2242,45,1.5895,1.3085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.35,1.9828,4.9759,0.2809,2.2242,45,1.5895,1.3085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,1.9828,4.9759,0.2809,2.2242,45,1.5895,1.3085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.45,1.9828,4.9759,0.2809,2.2242,45,1.5895,1.3085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1.9824,4.9615,0.4434,2.2385,45,1.589,1.1455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.55,1.9836,4.9579,0.49,2.2422,45,1.5897,1.0997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,1.9847,4.9554,0.5231,2.2446,45,1.5914,1.0683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.65,1.9861,4.9529,0.558,2.2471,45,1.5955,1.0374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,1.9881,4.9492,0.6098,2.2508,45,1.5986,0.9888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,1.9892,4.9468,0.6414,2.2532,45,1.6028,0.9614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,1.9908,4.9436,0.6841,2.2564,45,1.605,0.9209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.85,1.992,4.9421,0.7069,2.2579,45,1.6087,0.9018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,1.9936,4.9403,0.7359,2.2597,45,1.6113,0.8753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.95,1.9945,4.9393,0.7517,2.2607,45,1.6146,0.8629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.9957,4.9381,0.7719,2.2619,45,1.6165,0.8446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.05,1.9963,4.9376,0.7815,2.2624,46,1.625,0.8435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
