t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.15,2.0,5.0,0.0,2.2,45,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.2,2.0,5.0,0.0,2.2,45,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.25,2.0,5.0,0.0,2.2,45,1.6374,1.6374,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.3,2.0,5.0,0.0,2.2,45,1.6374,1.6374,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.35,2.0,5.0,0.0,2.2,45,1.6374,1.6374,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.4,2.0,5.0,0.0,2.2,45,1.6374,1.6374,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.45,2.0,5.0,0.0,2.2,45,1.6374,1.6374,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.5,1.9977,4.9994,0.0076,2.2006,45,1.6332,1.6256,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.55,1.9961,4.9989,0.0128,2.2011,45,1.6289,1.6162,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.6,1.9945,4.9981,0.0229,2.2019,45,1.6225,1.5996,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.65,1.9921,4.9967,0.0384,2.2033,45,1.6182,1.5798,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.7,1.9906,4.9954,0.0537,2.2046,45,1.6118,1.5581,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.75,1.9883,4.9934,0.0769,2.2066,45,1.6077,1.5308,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.8,1.9869,4.9916,0.0973,2.2084,45,1.6017,1.5044,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.85,1.9848,4.9888,0.1282,2.2112,45,1.5979,1.4697,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.9,1.9835,4.9865,0.1537,2.2135,45,1.5926,1.4388,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.95,1.9816,4.983,0.1923,2.217,45,1.5893,1.397,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,1.9806,4.9803,0.223,2.2198,45,1.5849,1.3619,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.05,1.9792,4.976,0.2694,2.2241,45,1.5824,1.313,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.1,1.9785,4.9727,0.3053,2.2274,45,1.5794,1.2741,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.15,1.9776,4.9678,0.3594,2.2323,45,1.5779,1.2185,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.2,1.9774,4.9641,0.4004,2.236,45,1.5766,1.1761,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.25,1.9773,4.9585,0.4622,2.2416,45,1.5763,1.1141,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.3,1.9776,4.9545,0.5084,2.2457,45,1.577,1.0686,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.35,1.9785,4.9484,0.5779,2.2517,45,1.5782,1.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,1.9795,4.944,0.6293,2.2561,45,1.5813,0.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.45,1.9815,4.9376,0.7065,2.2625,45,1.5842,0.8777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1.9834,4.9331,0.763,2.267,45,1.5899,0.8269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.551,1.9868,4.9266,0.8479,2.2735,45,1.5899,0.7419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,1.9896,4.9221,0.9095,2.2779,45,1.5945,0.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.65,1.9927,4.9179,0.9712,2.2821,45,1.603,0.6317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,1.9982,4.9117,1.0689,2.2883,45,1.6095,0.5406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,2.0023,4.9078,1.1358,2.2922,45,1.6208,0.4851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,2.0094,4.9026,1.2402,2.2974,45,1.6293,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.85,2.0146,4.8997,1.3113,2.3004,45,1.6435,0.3323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,2.0226,4.8959,1.4165,2.3042,45,1.6539,0.2374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.95,2.0279,4.8939,1.4844,2.3063,45,1.6697,0.1853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0359,4.8918,1.5835,2.3085,45,1.6803,0.0967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
