t,x,y,yaw,erro_trajeto,rumo_plano,folga,raw_v,raw_wz,saida_v,saida_wz,desencalhe,planos,objetivo_ativo,dist_alvo
0.006,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.037,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.068,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.1,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.13,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.0,0.0,0.0,1,1,7.159
0.161,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.192,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.223,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.254,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.285,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.315,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.346,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.377,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.407,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.438,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.469,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.499,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.53,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.561,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.592,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.622,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.653,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.683,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.714,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.159
0.744,0.0059,0.0007,-0.0088,0.0197,0.0,0.7,0.499,-0.198,0.499,-0.198,0.0,1,1,7.154
