t,x,y,yaw,erro_trajeto,rumo_plano,folga,raw_v,raw_wz,saida_v,saida_wz,desencalhe,planos,objetivo_ativo,dist_alvo
0.004,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.035,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.066,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.097,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.0,0.0,0.0,1,1,7.159
0.129,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.0,0.0,0.0,1,1,7.159
0.159,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.0,0.0,0.0,1,1,7.159
0.19,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.221,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.252,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.283,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.314,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.344,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.375,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.408,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.438,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.471,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.501,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.532,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.563,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.594,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.624,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.655,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.159
0.686,0.0028,0.0003,-0.0037,0.0193,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.157
0.717,0.0028,0.0003,-0.0037,0.0193,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.157
0.748,0.0028,0.0003,-0.0037,0.0193,0.0,0.7,0.499,-0.178,0.499,-0.178,0.0,1,1,7.157
0.779,0.0136,0.0015,-0.0203,0.0205,0.0,0.75,0.499,-0.178,0.499,-0.178,0.0,1,1,7.147
0.81,0.0136,0.0015,-0.0203,0.0205,0.0,0.75,0.499,-0.173,0.499,-0.178,0.0,1,1,7.147
0.84,0.0136,0.0015,-0.0203,0.0205,0.0,0.75,0.499,-0.173,0.499,-0.178,0.0,1,1,7.147
0.871,0.0275,0.0029,-0.0423,0.0219,0.0,0.75,0.499,-0.173,0.499,-0.178,0.0,1,1,7.134
0.902,0.0275,0.0029,-0.0423,0.0219,0.0,0.75,0.5,-0.164,0.499,-0.178,0.0,1,1,7.134
0.932,0.0275,0.0029,-0.0423,0.0219,0.0,0.75,0.5,-0.164,0.499,-0.173,0.0,1,1,7.134
0.963,0.0527,0.0045,-0.0821,0.0235,0.0,0.75,0.5,-0.164,0.499,-0.173,0.0,1,1,7.111
0.994,0.0527,0.0045,-0.0821,0.0235,0.0,0.75,0.5,-0.144,0.499,-0.173,0.0,1,1,7.111
1.025,0.0527,0.0045,-0.0821,0.0235,0.0,0.75,0.5,-0.144,0.5,-0.164,0.0,1,1,7.111
1.055,0.0775,0.0049,-0.1176,0.0239,0.0,0.8,0.5,-0.144,0.5,-0.164,0.0,1,1,7.09
1.092,0.0775,0.0049,-0.1176,0.0632,-0.025,0.8,0.5,-0.144,0.5,-0.164,0.0,2,1,7.09
1.122,0.0775,0.0049,-0.1176,0.0632,-0.025,0.8,0.493,-0.119,0.5,-0.164,0.0,2,1,7.09
1.152,0.0775,0.0049,-0.1176,0.0632,-0.025,0.8,0.493,-0.119,0.493,-0.119,0.0,2,1,7.09
