t,x,y,yaw,erro_trajeto,rumo_plano,folga,raw_v,raw_wz,saida_v,saida_wz,desencalhe,planos,objetivo_ativo,dist_alvo
0.001,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.031,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.063,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.093,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.0,0.0,0.0,1,1,7.159
0.124,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.155,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.185,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.217,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.248,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.278,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.309,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.34,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.37,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.4,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.431,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.462,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.492,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.524,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.554,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.585,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.616,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.646,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.677,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.159
0.708,0.0011,0.0001,-0.0011,0.0191,0.0,0.7,0.499,-0.194,0.499,-0.194,0.0,1,1,7.158
