t,x,y,yaw,erro_trajeto,rumo_plano,folga,raw_v,raw_wz,saida_v,saida_wz,desencalhe,planos,objetivo_ativo,dist_alvo
0.01,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.041,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.072,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.102,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.133,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.164,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.195,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.225,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.256,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.286,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.318,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.348,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.379,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.41,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.441,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.472,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.503,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.533,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.564,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.595,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.626,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.656,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.687,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.718,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.75,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
0.78,7.4414,-0.8816,-0.6345,nan,nan,0.5,0.0,0.0,0.0,0.0,0.0,0,1,7.493
