t,x,y,yaw,erro_trajeto,rumo_plano,folga,raw_v,raw_wz,saida_v,saida_wz,desencalhe,planos,objetivo_ativo,dist_alvo
0.006,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,0.0,0.0,0.0,0.0,1,1,7.459
0.037,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,0.0,0.0,0.0,0.0,1,1,7.459
0.068,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,0.0,0.0,0.0,0.0,1,1,7.459
0.099,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,0.0,0.0,0.0,0.0,1,1,7.459
0.129,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,0.0,0.0,1,1,7.459
0.16,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.191,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.221,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.252,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.283,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.313,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.344,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.375,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.406,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.436,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.469,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.5,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.53,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.561,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.592,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.622,6.2802,4.0245,1.9518,0.0937,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.654,6.2812,4.0232,1.9572,0.0924,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.685,6.2812,4.0232,1.9572,0.0924,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.716,6.2812,4.0232,1.9572,0.0924,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.459
0.747,6.2834,4.0207,1.97,0.0897,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.46
0.778,6.2834,4.0207,1.97,0.0897,-2.0344,0.8,0.0,1.0,0.0,1.0,0.0,1,1,7.46
