i,angulo,alcance,x,y,ate_parede
0,-3.1416,1.269,-1.257,0.075,0.0
1,-3.1241,1.268,-1.258,0.053,0.0
2,-3.1067,1.397,-1.388,0.036,0.05
3,-3.0892,1.271,-1.263,0.009,0.0
4,-3.0718,1.275,-1.267,-0.013,0.0
5,-3.0543,1.278,-1.27,-0.036,0.0
6,-3.0369,1.284,-1.276,-0.058,0.0
7,-3.0194,1.402,-1.393,-0.086,0.05
8,-3.002,1.408,-1.397,-0.11,0.05
9,-2.9845,1.298,-1.286,-0.126,0.0
10,-2.9671,1.418,-1.404,-0.16,0.05
11,-2.9496,1.309,-1.292,-0.173,0.0
12,-2.9322,1.273,-1.254,-0.191,0.0
13,-2.9147,1.256,-1.234,-0.21,0.0
14,-2.8972,1.262,-1.237,-0.233,0.0
15,-2.8798,1.231,-1.203,-0.249,0.0
16,-2.8623,1.229,-1.197,-0.269,0.0
17,-2.8449,1.199,-1.162,-0.284,0.0
18,-2.8274,1.206,-1.165,-0.306,0.0
19,-2.81,1.178,-1.133,-0.319,0.0
20,-2.7925,1.166,-1.115,-0.336,0.0
21,-2.7751,1.167,-1.111,-0.356,0.0
22,-2.7576,1.173,-1.111,-0.377,0.0
23,-2.7402,1.159,-1.091,-0.392,0.0
24,-2.7227,1.152,-1.078,-0.409,0.0
25,-2.7053,1.151,-1.07,-0.427,0.05
26,-2.6878,1.041,-0.96,-0.406,0.0
27,-2.6704,1.022,-0.936,-0.415,0.0
28,-2.6529,0.99,-0.9,-0.419,0.0
29,-2.6354,0.98,-0.884,-0.431,0.0
30,-2.618,0.982,-0.878,-0.447,0.0
31,-2.6005,0.984,-0.873,-0.463,0.0
32,-2.5831,1.0,-0.879,-0.486,0.0
33,-2.5656,0.99,-0.862,-0.497,0.0
34,-2.5482,0.97,-0.836,-0.502,0.0
35,-2.5307,0.98,-0.836,-0.521,0.0
36,-2.5133,0.963,-0.813,-0.527,0.0
37,-2.4958,0.956,-0.798,-0.538,0.0
38,-2.4784,0.986,-0.814,-0.569,0.0
39,-2.4609,0.981,-0.8,-0.58,0.0
40,-2.4435,1.199,-0.968,-0.72,0.158
41,-2.426,1.19,-0.948,-0.732,0.112
42,-2.4086,1.118,-0.879,-0.705,0.1
43,-2.3911,1.105,-0.857,-0.712,0.05
44,-2.3736,1.098,-0.839,-0.722,0.05
45,-2.3562,1.16,-0.874,-0.777,0.05
46,-2.3387,1.198,-0.889,-0.818,0.05
47,-2.3213,1.202,-0.878,-0.836,0.05
48,-2.3038,1.218,-0.875,-0.863,0.05
49,-2.2864,1.22,-0.862,-0.879,0.0
50,-2.2689,2.055,-1.432,-1.491,0.1
51,-2.2515,2.02,-1.382,-1.49,0.071
52,-2.234,2.442,-1.641,-1.825,0.0
53,-2.2166,2.044,-1.346,-1.555,0.0
