i,angulo,alcance,x,y,ate_parede
0,-3.1416,1.318,-0.966,0.713,0.2
1,-3.1241,1.28,-0.934,0.683,0.25
2,-3.1067,1.278,-0.937,0.661,0.25
3,-3.0892,1.278,-0.94,0.639,0.25
4,-3.0718,1.313,-0.978,0.622,0.2
5,-3.0543,1.28,-0.949,0.595,0.25
6,-3.0369,1.282,-0.954,0.573,0.25
7,-3.0194,1.28,-0.954,0.551,0.25
8,-3.002,1.308,-0.984,0.531,0.2
9,-2.9845,1.284,-0.962,0.506,0.25
10,-2.9671,1.284,-0.963,0.484,0.25
11,-2.9496,1.291,-0.971,0.462,0.2
12,-2.9322,1.279,-0.96,0.439,0.25
13,-2.9147,1.269,-0.95,0.417,0.25
14,-2.8972,1.246,-0.926,0.395,0.25
15,-2.8798,1.24,-0.919,0.374,0.25
16,-2.8623,1.227,-0.906,0.353,0.3
17,-2.8449,1.214,-0.891,0.332,0.3
18,-2.8274,1.206,-0.882,0.312,0.3
19,-2.81,1.195,-0.868,0.292,0.3
20,-2.7925,1.183,-0.854,0.273,0.35
21,-2.7751,1.175,-0.844,0.254,0.35
22,-2.7576,1.165,-0.83,0.235,0.35
23,-2.7402,1.153,-0.815,0.217,0.35
24,-2.7227,1.156,-0.814,0.197,0.35
25,-2.7053,1.137,-0.791,0.181,0.4
26,-2.6878,1.031,-0.684,0.186,0.5
27,-2.6704,1.025,-0.674,0.17,0.5
28,-2.6529,0.982,-0.628,0.164,
29,-2.6354,0.982,-0.623,0.148,
30,-2.618,0.982,-0.618,0.131,
31,-2.6005,0.982,-0.613,0.115,
32,-2.5831,1.004,-0.629,0.091,
33,-2.5656,0.987,-0.607,0.081,
34,-2.5482,0.985,-0.598,0.066,
35,-2.5307,0.97,-0.578,0.055,
36,-2.5133,0.962,-0.564,0.043,
37,-2.4958,0.957,-0.553,0.03,
38,-2.4784,1.004,-0.588,-0.006,0.5
39,-2.4609,0.983,-0.562,-0.012,
40,-2.4435,1.017,-0.584,-0.043,0.461
41,-2.426,1.084,-0.636,-0.091,0.391
42,-2.4086,1.105,-0.644,-0.117,0.391
43,-2.3911,1.108,-0.637,-0.136,0.354
44,-2.3736,1.097,-0.618,-0.147,0.354
45,-2.3562,1.13,-0.636,-0.18,0.32
46,-2.3387,1.17,-0.659,-0.219,0.32
47,-2.3213,1.198,-0.67,-0.251,0.25
48,-2.3038,1.193,-0.655,-0.266,0.283
49,-2.2864,1.232,-0.674,-0.306,0.212
50,-2.2689,1.961,-1.241,-0.765,0.32
51,-2.2515,1.989,-1.242,-0.809,0.292
52,-2.234,2.486,-1.605,-1.151,0.269
53,-2.2166,2.06,-1.252,-0.909,0.206
54,-2.1991,2.211,-1.342,-1.036,0.112
55,-2.1817,2.347,-1.417,-1.156,0.141
56,-2.1642,2.309,-1.362,-1.16,0.05
57,-2.1468,2.33,-1.349,-1.204,0.05
58,-2.1293,2.331,-1.321,-1.233,0.0
59,-2.1118,2.482,-1.396,-1.371,0.05
60,-2.0944,2.495,-1.374,-1.41,0.05
61,-2.0769,2.512,-1.352,-1.452,0.0
62,-2.0595,2.597,-1.375,-1.545,0.05
63,-2.042,2.676,-1.391,-1.635,0.05
64,-2.0246,2.728,-1.387,-1.705,0.05
65,-2.0071,2.725,-1.347,-1.732,0.0
66,-1.9897,2.741,-1.319,-1.774,0.0
67,-1.9722,2.89,-1.368,-1.923,0.0
68,-1.9548,2.769,-1.258,-1.853,0.071
69,-1.9373,2.766,-1.216,-1.878,0.05
70,-1.9199,2.758,-1.171,-1.897,0.1
71,-1.9024,2.845,-1.177,-1.997,0.1
72,-1.885,2.749,-1.085,-1.94,0.15
73,-1.8675,2.74,-1.039,-1.956,0.15
74,-1.85,2.735,-0.995,-1.976,0.1
75,-1.8326,2.892,-1.026,-2.137,0.05
76,-1.8151,2.719,-0.903,-2.006,0.1
77,-1.7977,2.704,-0.854,-2.013,0.1
78,-1.7802,2.434,-0.698,-1.788,0.3
79,-1.7628,2.711,-0.771,-2.059,0.05
80,-1.7453,2.466,-0.633,-1.852,0.25
81,-1.7279,2.683,-0.674,-2.07,0.0
82,-1.7104,2.679,-0.628,-2.083,0.0
83,-1.693,2.669,-0.581,-2.089,0.0
84,-1.6755,2.669,-0.537,-2.105,0.0
85,-1.6581,2.651,-0.487,-2.102,0.0
86,-1.6406,2.655,-0.444,-2.119,0.0
87,-1.6232,2.623,-0.391,-2.102,0.0
88,-1.6057,2.835,-0.401,-2.318,0.0
89,-1.5882,2.617,-0.301,-2.12,0.0
90,-1.5708,2.63,-0.26,-2.142,0.0
91,-1.5533,2.622,-0.213,-2.144,0.0
92,-1.5359,2.839,-0.209,-2.367,0.0
93,-1.5184,2.61,-0.121,-2.149,0.0
94,-1.501,2.327,-0.033,-1.877,0.2
95,-1.4835,2.331,0.006,-1.887,0.2
96,-1.4661,2.578,0.018,-2.137,0.0
97,-1.4486,2.397,0.081,-1.962,0.15
98,-1.4312,2.136,0.144,-1.706,0.403
99,-1.4137,2.148,0.18,-1.72,0.354
100,-1.3963,2.183,0.216,-1.758,0.35
101,-1.3788,2.191,0.254,-1.767,0.354
102,-1.3614,2.429,0.289,-2.005,0.141
103,-1.3439,2.421,0.331,-1.998,0.141
104,-1.3265,2.347,0.372,-1.923,0.18
105,-1.309,2.107,0.403,-1.682,0.361
