i,angulo,alcance,x,y,ate_parede
0,-3.1416,1.273,-1.401,0.099,0.1
1,-3.1241,1.27,-1.398,0.077,0.05
2,-3.1067,1.266,-1.392,0.055,0.05
3,-3.0892,1.426,-1.549,0.017,0.071
4,-3.0718,1.268,-1.39,0.011,0.0
5,-3.0543,1.276,-1.394,-0.012,0.0
6,-3.0369,1.276,-1.391,-0.034,0.05
7,-3.0194,1.617,-1.724,-0.113,0.0
8,-3.002,1.277,-1.385,-0.078,0.05
9,-2.9845,1.376,-1.478,-0.12,0.0
10,-2.9671,1.294,-1.392,-0.126,0.05
11,-2.9496,1.276,-1.37,-0.144,0.05
12,-2.9322,1.242,-1.332,-0.157,0.0
13,-2.9147,1.22,-1.305,-0.172,0.0
14,-2.8972,1.208,-1.287,-0.189,0.0
15,-2.8798,1.191,-1.265,-0.203,0.0
16,-2.8623,1.184,-1.252,-0.221,0.0
17,-2.8449,1.167,-1.229,-0.235,0.0
18,-2.8274,1.153,-1.209,-0.249,0.0
19,-2.81,1.123,-1.174,-0.257,0.0
20,-2.7925,1.114,-1.158,-0.272,0.0
21,-2.7751,1.094,-1.132,-0.281,0.0
22,-2.7576,1.09,-1.121,-0.297,0.0
23,-2.7402,1.1,-1.122,-0.319,0.0
24,-2.7227,1.0,-1.024,-0.291,0.05
25,-2.7053,0.984,-1.002,-0.299,0.05
26,-2.6878,0.953,-0.966,-0.3,0.05
27,-2.6704,0.947,-0.953,-0.311,0.071
28,-2.6529,0.932,-0.932,-0.318,0.071
29,-2.6354,0.943,-0.933,-0.338,0.05
30,-2.618,0.965,-0.942,-0.363,0.05
31,-2.6005,0.965,-0.934,-0.378,0.0
32,-2.5831,0.958,-0.918,-0.388,0.0
33,-2.5656,0.955,-0.907,-0.4,0.0
34,-2.5482,0.944,-0.888,-0.406,0.0
35,-2.5307,0.943,-0.877,-0.419,0.0
36,-2.5133,0.947,-0.87,-0.434,0.0
37,-2.4958,0.987,-0.89,-0.473,0.0
38,-2.4784,0.953,-0.853,-0.464,0.0
39,-2.4609,1.056,-0.919,-0.544,0.0
40,-2.4435,1.09,-0.932,-0.581,0.05
41,-2.426,1.094,-0.922,-0.598,0.05
42,-2.4086,1.096,-0.91,-0.613,0.05
43,-2.3911,1.162,-0.943,-0.674,0.141
44,-2.3736,1.136,-0.91,-0.669,0.071
45,-2.3562,1.208,-0.945,-0.736,0.112
46,-2.3387,1.217,-0.935,-0.757,0.112
47,-2.3213,1.867,-1.34,-1.266,0.0
48,-2.3038,1.918,-1.347,-1.326,0.0
49,-2.2864,1.935,-1.331,-1.36,0.0
50,-2.2689,1.995,-1.341,-1.428,0.0
51,-2.2515,2.133,-1.396,-1.56,0.05
52,-2.234,2.357,-1.495,-1.765,0.0
53,-2.2166,2.388,-1.479,-1.814,0.0
54,-2.1991,2.325,-1.409,-1.784,0.0
55,-2.1817,2.282,-1.353,-1.77,0.0
56,-2.1642,2.325,-1.341,-1.828,0.0
57,-2.1468,2.411,-1.35,-1.923,0.0
58,-2.1293,2.506,-1.36,-2.027,0.0
59,-2.1118,2.493,-1.316,-2.037,0.0
60,-2.0944,2.525,-1.292,-2.085,0.0
61,-2.0769,2.422,-1.207,-2.013,0.1
62,-2.0595,2.723,-1.298,-2.303,0.0
63,-2.042,2.364,-1.106,-1.996,0.1
64,-2.0246,2.334,-1.057,-1.985,0.1
65,-2.0071,2.32,-1.014,-1.988,0.1
66,-1.9897,2.761,-1.137,-2.414,0.05
67,-1.9722,2.287,-0.927,-1.987,0.1
68,-1.9548,2.274,-0.885,-1.989,0.1
69,-1.9373,2.261,-0.843,-1.989,0.1
70,-1.9199,2.25,-0.803,-1.99,0.1
71,-1.9024,2.226,-0.758,-1.979,0.1
72,-1.885,2.212,-0.717,-1.976,0.1
73,-1.8675,2.2,-0.677,-1.974,0.1
74,-1.85,2.198,-0.639,-1.981,0.1
75,-1.8326,2.187,-0.599,-1.979,0.1
76,-1.8151,2.173,-0.559,-1.974,0.1
77,-1.7977,2.167,-0.521,-1.975,0.1
78,-1.7802,2.153,-0.482,-1.968,0.15
79,-1.7628,2.15,-0.444,-1.97,0.1
80,-1.7453,2.147,-0.406,-1.973,0.1
81,-1.7279,2.14,-0.368,-1.97,0.1
82,-1.7104,2.134,-0.331,-1.968,0.15
83,-1.693,2.132,-0.293,-1.969,0.15
84,-1.6755,2.168,-0.258,-2.008,0.1
85,-1.6581,2.137,-0.219,-1.979,0.1
86,-1.6406,2.124,-0.182,-1.967,0.15
87,-1.6232,2.142,-0.145,-1.986,0.1
88,-1.6057,2.119,-0.108,-1.962,0.15
89,-1.5882,2.122,-0.071,-1.965,0.15
90,-1.5708,2.12,-0.034,-1.962,0.15
91,-1.5533,2.204,0.009,-2.043,0.05
92,-1.5359,2.125,0.041,-1.961,0.15
93,-1.5184,2.149,0.08,-1.982,0.1
94,-1.501,2.125,0.114,-1.954,0.158
95,-1.4835,2.13,0.152,-1.955,0.158
96,-1.4661,2.13,0.189,-1.95,0.15
97,-1.4486,2.128,0.225,-1.942,0.15
98,-1.4312,2.181,0.271,-1.988,0.112
99,-1.4137,2.185,0.31,-1.984,0.141
100,-1.3963,2.191,0.348,-1.982,0.141
101,-1.3788,2.195,0.386,-1.977,0.112
102,-1.3614,2.219,0.43,-1.991,0.112
103,-1.3439,2.153,0.449,-1.918,0.158
104,-1.3265,2.105,0.472,-1.861,0.206
105,-1.309,2.094,0.503,-1.839,0.18
106,-1.2915,2.087,0.536,-1.821,0.18
107,-1.2741,2.073,0.566,-1.796,0.206
108,-1.2566,2.089,0.605,-1.799,0.2
109,-1.2392,2.084,0.637,-1.781,0.2
110,-1.2217,2.101,0.678,-1.783,0.2
111,-1.2043,2.294,0.789,-1.946,0.1
112,-1.1868,2.447,0.889,-2.069,0.071
113,-1.1694,2.455,0.931,-2.057,0.071
114,-1.1519,2.433,0.96,-2.019,0.071
115,-1.1345,2.315,0.943,-1.895,0.158
116,-1.117,2.281,0.962,-1.846,0.206
117,-1.0996,2.279,0.996,-1.825,0.18
118,-1.0821,2.281,1.031,-1.807,0.224
