t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,0.0605,-0.0613,-0.0136,1.9697,41,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0634,-0.0631,-0.0121,1.9668,41,0.0722,0.0843,0.4982,0.1299,0.0,0.0,0.0,0.0,0.0
0.1,0.0596,-0.0617,-0.0143,1.9706,41,0.0769,0.0912,0.498,0.1335,0.0,0.0,0.0,0.0,0.0
0.15,0.0596,-0.0617,-0.0143,1.9706,41,0.086,0.1003,0.4975,0.1416,0.0,0.0,0.0,0.0,0.0
0.2,0.0583,-0.0672,-0.015,1.9718,41,0.086,0.101,0.4975,0.1416,0.0,0.0,0.0,0.0,0.0
0.25,0.0583,-0.0672,-0.015,1.9718,41,0.1001,0.1151,0.4967,0.1517,0.498,0.1335,0.498,0.1335,0.0
0.3,0.0586,-0.0695,-0.0158,1.9715,41,0.1001,0.1158,0.4967,0.1517,0.498,0.1335,0.498,0.1335,0.0
0.35,0.0586,-0.0695,-0.0158,1.9715,41,0.1062,0.1219,0.4963,0.1562,0.4975,0.1416,0.4975,0.1416,0.0
0.4,0.0568,-0.0688,-0.0095,1.9734,41,0.1062,0.1156,0.4963,0.1562,0.4975,0.1416,0.4975,0.1416,0.0
0.45,0.0568,-0.0688,-0.0095,1.9734,41,0.1039,0.1133,0.4968,0.1506,0.4967,0.1517,0.4967,0.1517,0.0
0.5,0.0607,-0.0704,-0.0014,1.9694,41,0.1039,0.1053,0.4968,0.1506,0.4967,0.1517,0.4967,0.1517,0.0
0.55,0.0607,-0.0704,-0.0014,1.9694,41,0.0936,0.095,0.4977,0.1378,0.4963,0.1562,0.4963,0.1562,0.0
0.6,0.071,-0.0667,0.012,1.9592,41,0.0936,0.0817,0.4977,0.1378,0.4963,0.1562,0.4963,0.1562,0.0
0.65,0.071,-0.0667,0.012,1.9592,41,0.0871,0.0751,0.4986,0.1226,0.4968,0.1506,0.4968,0.1506,0.0
0.7,0.0924,-0.065,0.0294,1.9378,41,0.0871,0.0577,0.4986,0.1226,0.4968,0.1506,0.4968,0.1506,0.0
0.75,0.0924,-0.065,0.0294,1.9378,41,0.0875,0.0581,0.4992,0.1078,0.4977,0.1378,0.4977,0.1378,0.0
0.801,0.121,-0.0643,0.0374,1.9091,41,0.0875,0.05,0.4994,0.1,0.4986,0.1226,0.4977,0.1378,0.0
0.85,0.121,-0.0643,0.0374,1.9091,41,0.0781,0.0406,0.4996,0.0901,0.4986,0.1226,0.4986,0.1226,0.0
0.9,0.1544,-0.0664,0.0441,1.8757,41,0.0781,0.034,0.4996,0.0901,0.4986,0.1226,0.4986,0.1226,0.0
0.95,0.1544,-0.0664,0.0441,1.8757,41,0.0904,0.0463,0.4969,0.0962,0.4994,0.1,0.4994,0.1,0.0
1.0,0.1544,-0.0664,0.0441,1.8757,41,0.0904,0.0463,0.4969,0.0962,0.4994,0.1,0.4994,0.1,0.0
1.05,0.1822,-0.0673,0.0538,1.8479,39,0.0956,0.0418,0.4947,0.0914,0.4996,0.0901,0.4996,0.0901,0.0
1.1,0.2114,-0.0707,0.06,1.8187,39,0.0894,0.0293,0.4952,0.0843,0.4996,0.0901,0.4996,0.0901,0.0
1.15,0.2114,-0.0707,0.06,1.8187,39,0.0896,0.0296,0.4932,0.0769,0.4969,0.0962,0.4969,0.0962,0.0
1.2,0.2388,-0.0713,0.0604,1.7913,39,0.0896,0.0293,0.4932,0.0769,0.4969,0.0962,0.4969,0.0962,0.0
1.25,0.2388,-0.0713,0.0604,1.7913,39,0.0975,0.0371,0.4939,0.0861,0.4952,0.0843,0.4952,0.0843,0.0
1.3,0.2607,-0.0691,0.0658,1.7694,39,0.0975,0.0317,0.4939,0.0861,0.4952,0.0843,0.4952,0.0843,0.0
