t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.4247,-0.0231,-0.1356,2.462,51,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.4247,-0.0231,-0.1356,2.462,51,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.4247,-0.0231,-0.1356,2.462,51,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-0.4247,-0.0231,-0.1356,2.462,51,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-0.4247,-0.0231,-0.1356,2.462,51,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.4247,-0.0231,-0.1356,2.462,51,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-0.4247,-0.0231,-0.1356,2.462,51,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35,-0.4247,-0.0231,-0.1356,2.462,51,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,-0.4237,-0.0397,-0.1325,2.4582,51,,,0.2814,-0.1857,0.4914,-0.1927,0.4914,-0.1927,0.0
0.45,-0.4237,-0.0397,-0.1325,2.4582,51,,,0.4925,-0.1863,0.4914,-0.1927,0.4914,-0.1927,0.0
0.5,-0.4237,-0.0397,-0.1325,2.4582,51,,,0.4927,-0.1848,0.4914,-0.1927,0.4914,-0.1927,0.0
0.55,-0.4213,-0.039,-0.1519,2.4559,51,,,0.4943,-0.174,0.2814,-0.1857,0.2814,-0.1857,0.0
0.6,-0.4213,-0.039,-0.1519,2.4559,51,,,0.494,-0.1762,0.2814,-0.1857,0.2814,-0.1857,0.0
0.65,-0.4213,-0.039,-0.1519,2.4559,51,,,0.494,-0.1762,0.2814,-0.1857,0.2814,-0.1857,0.0
0.7,-0.4213,-0.039,-0.1519,2.4559,51,,,0.494,-0.1762,0.2814,-0.1857,0.2814,-0.1857,0.0
0.75,-0.4213,-0.039,-0.1519,2.4559,51,,,0.494,-0.1762,0.2814,-0.1857,0.2814,-0.1857,0.0
0.8,-0.4213,-0.039,-0.1519,2.4559,51,,,0.494,-0.1762,0.2814,-0.1857,0.2814,-0.1857,0.0
0.85,-0.4213,-0.039,-0.1519,2.4559,51,,,0.494,-0.1762,0.2814,-0.1857,0.2814,-0.1857,0.0
0.9,-0.4065,-0.0383,-0.1732,2.4415,51,,,0.4955,-0.1636,0.4927,-0.1848,0.4927,-0.1848,0.0
0.95,-0.3435,-0.0492,-0.2806,2.3775,51,-0.3458,-0.0652,0.493,-0.1092,0.4835,-0.1592,0.4835,-0.1592,0.0
1.0,-0.3129,-0.0527,-0.3223,2.3468,51,-0.3458,-0.0235,0.4925,-0.1142,0.4835,-0.1592,0.4835,-0.1592,0.0
1.05,-0.3129,-0.0527,-0.3223,2.3468,48,-0.3352,-0.0129,0.4904,-0.0686,0.4872,-0.1417,0.4872,-0.1417,0.0
1.1,-0.281,-0.0642,-0.3654,2.3134,48,-0.3352,0.0302,0.5,0.0,0.4872,-0.1417,0.4872,-0.1417,0.0
1.15,-0.281,-0.0642,-0.3654,2.3134,48,-0.3341,0.0312,0.4975,0.0777,0.4925,-0.1142,0.4925,-0.1142,0.0
1.2,-0.2508,-0.0776,-0.3991,2.2814,48,-0.3341,0.065,0.4975,0.079,0.4925,-0.1142,0.4925,-0.1142,0.0
1.25,-0.2508,-0.0776,-0.3991,2.2814,48,-0.3438,0.0554,0.4989,0.114,0.5,0.0,0.5,0.0,0.0
1.3,-0.2199,-0.0953,-0.4412,2.2481,48,-0.3438,0.0974,0.4992,0.1052,0.5,0.0,0.5,0.0,0.0
1.35,-0.2199,-0.0953,-0.4412,2.2481,48,-0.343,0.0982,0.496,0.1396,0.4975,0.079,0.4975,0.079,0.0
