i,angulo,alcance,x,y,ate_parede
0,-3.1416,0.787,-1.075,0.048,0.1
1,-3.1241,0.802,-1.091,0.035,0.1
2,-3.1067,0.789,-1.078,0.021,0.1
3,-3.0892,0.783,-1.073,0.007,0.1
4,-3.0718,0.778,-1.067,-0.007,0.1
5,-3.0543,0.81,-1.099,-0.021,0.112
6,-3.0369,0.783,-1.072,-0.034,0.112
7,-3.0194,0.788,-1.076,-0.048,0.112
8,-3.002,0.784,-1.071,-0.062,0.112
9,-2.9845,0.784,-1.07,-0.075,0.071
10,-2.9671,0.854,-1.137,-0.097,0.05
11,-2.9496,0.788,-1.071,-0.103,0.071
12,-2.9322,0.788,-1.069,-0.117,0.071
13,-2.9147,0.791,-1.07,-0.131,0.05
14,-2.8972,0.843,-1.119,-0.154,0.0
15,-2.8798,0.784,-1.058,-0.156,0.1
16,-2.8623,0.793,-1.064,-0.172,0.071
17,-2.8449,0.784,-1.052,-0.183,0.071
18,-2.8274,0.835,-1.098,-0.209,0.05
19,-2.81,0.794,-1.054,-0.212,0.071
20,-2.7925,0.793,-1.05,-0.225,0.05
21,-2.7751,0.804,-1.057,-0.242,0.05
22,-2.7576,0.827,-1.074,-0.263,0.0
23,-2.7402,0.813,-1.056,-0.272,0.05
24,-2.7227,0.816,-1.054,-0.286,0.05
25,-2.7053,0.818,-1.051,-0.3,0.05
26,-2.6878,0.826,-1.052,-0.316,0.05
27,-2.6704,0.83,-1.051,-0.331,0.0
28,-2.6529,0.835,-1.049,-0.346,0.0
29,-2.6354,0.837,-1.045,-0.36,0.0
30,-2.618,0.849,-1.05,-0.379,0.0
31,-2.6005,0.822,-1.019,-0.38,0.0
32,-2.5831,0.798,-0.991,-0.381,0.0
33,-2.5656,0.787,-0.975,-0.388,0.0
34,-2.5482,0.771,-0.954,-0.391,0.0
35,-2.5307,0.768,-0.945,-0.402,0.0
36,-2.5133,0.754,-0.926,-0.405,0.0
37,-2.4958,0.743,-0.91,-0.41,0.0
38,-2.4784,0.741,-0.901,-0.42,0.0
39,-2.4609,0.739,-0.891,-0.429,0.0
40,-2.4435,0.73,-0.877,-0.435,0.0
41,-2.426,0.718,-0.859,-0.437,0.0
42,-2.4086,0.72,-0.854,-0.449,0.0
43,-2.3911,0.711,-0.838,-0.452,0.0
44,-2.3736,0.712,-0.831,-0.463,0.0
45,-2.3562,0.713,-0.824,-0.473,0.0
46,-2.3387,0.704,-0.809,-0.476,0.0
47,-2.3213,0.693,-0.793,-0.477,0.0
48,-2.3038,0.704,-0.792,-0.494,0.0
49,-2.2864,0.696,-0.777,-0.496,0.0
50,-2.2689,0.689,-0.764,-0.5,0.0
51,-2.2515,0.692,-0.757,-0.511,0.05
52,-2.234,0.68,-0.74,-0.509,0.05
53,-2.2166,0.651,-0.712,-0.495,0.1
54,-2.1991,0.661,-0.711,-0.511,0.1
55,-2.1817,0.628,-0.681,-0.492,0.1
56,-2.1642,0.631,-0.674,-0.501,0.1
57,-2.1468,0.641,-0.671,-0.516,0.1
58,-2.1293,0.624,-0.652,-0.508,0.141
59,-2.1118,0.631,-0.647,-0.521,0.112
60,-2.0944,0.639,-0.643,-0.533,0.112
61,-2.0769,0.639,-0.633,-0.54,0.112
62,-2.0595,0.633,-0.621,-0.54,0.112
63,-2.042,0.659,-0.624,-0.568,0.112
64,-2.0246,0.677,-0.623,-0.59,0.1
65,-2.0071,0.654,-0.602,-0.576,0.15
66,-1.9897,0.646,-0.588,-0.573,0.15
67,-1.9722,0.679,-0.593,-0.608,0.15
68,-1.9548,0.669,-0.578,-0.605,0.15
69,-1.9373,0.664,-0.565,-0.605,0.15
70,-1.9199,0.66,-0.553,-0.606,0.2
71,-1.9024,0.653,-0.54,-0.604,0.2
72,-1.885,0.659,-0.531,-0.614,0.2
73,-1.8675,0.709,-0.538,-0.664,0.2
74,-1.85,0.868,-0.58,-0.819,0.15
75,-1.8326,0.98,-0.601,-0.93,0.2
76,-1.8151,0.974,-0.583,-0.929,0.2
77,-1.7977,2.389,-0.97,-2.291,0.05
78,-1.7802,2.513,-0.963,-2.422,0.071
79,-1.7628,2.651,-0.955,-2.567,0.05
80,-1.7453,2.812,-0.948,-2.735,0.071
81,-1.7279,2.734,-0.883,-2.669,0.05
82,-1.7104,2.738,-0.838,-2.683,0.071
83,-1.693,2.737,-0.791,-2.692,0.05
84,-1.6755,2.924,-0.775,-2.885,0.224
85,-1.6581,2.927,-0.724,-2.895,0.255
86,-1.6406,2.692,-0.643,-2.669,0.0
87,-1.6232,2.668,-0.594,-2.652,0.0
88,-1.6057,2.662,-0.547,-2.651,0.05
89,-1.5882,2.708,-0.504,-2.7,0.1
90,-1.5708,2.656,-0.454,-2.652,0.05
91,-1.5533,2.637,-0.407,-2.635,0.0
92,-1.5359,2.643,-0.361,-2.643,0.05
