i,angulo,alcance,x,y,ate_parede
0,-3.1416,1.398,-1.526,0.093,0.071
1,-3.1241,1.378,-1.506,0.07,0.0
2,-3.1067,1.376,-1.501,0.046,0.0
3,-3.0892,1.438,-1.561,0.016,0.071
4,-3.0718,1.361,-1.482,0.0,0.05
5,-3.0543,1.36,-1.478,-0.023,0.05
6,-3.0369,1.34,-1.454,-0.044,0.0
7,-3.0194,1.342,-1.453,-0.067,0.0
8,-3.002,1.47,-1.574,-0.114,0.071
9,-2.9845,1.327,-1.429,-0.11,0.0
10,-2.9671,1.322,-1.42,-0.132,0.05
11,-2.9496,1.314,-1.407,-0.152,0.05
12,-2.9322,1.256,-1.345,-0.16,0.0
13,-2.9147,1.224,-1.309,-0.173,0.0
14,-2.8972,1.232,-1.311,-0.195,0.0
15,-2.8798,1.213,-1.286,-0.21,0.0
16,-2.8623,1.19,-1.258,-0.223,0.0
17,-2.8449,1.178,-1.24,-0.239,0.0
18,-2.8274,1.174,-1.228,-0.256,0.0
19,-2.81,1.16,-1.208,-0.271,0.0
20,-2.7925,1.152,-1.193,-0.286,0.0
21,-2.7751,1.141,-1.175,-0.3,0.0
22,-2.7576,1.135,-1.162,-0.316,0.0
23,-2.7402,1.13,-1.149,-0.332,0.0
24,-2.7227,1.12,-1.131,-0.345,0.0
25,-2.7053,1.039,-1.051,-0.325,0.0
26,-2.6878,1.013,-1.019,-0.328,0.0
27,-2.6704,0.973,-0.976,-0.324,0.0
28,-2.6529,0.979,-0.972,-0.342,0.0
29,-2.6354,0.966,-0.952,-0.35,0.05
30,-2.618,0.962,-0.94,-0.362,0.05
31,-2.6005,0.977,-0.943,-0.384,0.0
32,-2.5831,1.001,-0.954,-0.412,0.0
33,-2.5656,0.986,-0.932,-0.418,0.0
34,-2.5482,1.007,-0.938,-0.444,0.0
35,-2.5307,0.987,-0.912,-0.446,0.0
36,-2.5133,0.979,-0.895,-0.454,0.0
37,-2.4958,0.979,-0.884,-0.467,0.0
38,-2.4784,0.98,-0.874,-0.481,0.0
39,-2.4609,0.994,-0.873,-0.503,0.0
40,-2.4435,1.051,-0.904,-0.555,0.0
41,-2.426,1.135,-0.952,-0.626,0.1
42,-2.4086,1.14,-0.941,-0.644,0.1
43,-2.3911,1.136,-0.925,-0.655,0.1
44,-2.3736,1.219,-0.967,-0.729,0.158
45,-2.3562,1.25,-0.973,-0.767,0.158
46,-2.3387,1.263,-0.965,-0.791,0.141
47,-2.3213,1.865,-1.339,-1.264,0.0
48,-2.3038,1.902,-1.337,-1.313,0.0
49,-2.2864,1.958,-1.346,-1.378,0.0
50,-2.2689,2.369,-1.569,-1.725,0.05
51,-2.2515,2.032,-1.335,-1.479,0.05
52,-2.234,2.172,-1.388,-1.614,0.05
53,-2.2166,2.377,-1.473,-1.804,0.0
54,-2.1991,2.338,-1.417,-1.795,0.0
55,-2.1817,2.312,-1.369,-1.796,0.0
56,-2.1642,2.327,-1.342,-1.83,0.0
57,-2.1468,2.435,-1.362,-1.944,0.0
58,-2.1293,2.495,-1.355,-2.017,0.0
59,-2.1118,2.503,-1.32,-2.045,0.0
60,-2.0944,2.475,-1.269,-2.041,0.05
61,-2.0769,2.414,-1.203,-2.006,0.1
62,-2.0595,2.723,-1.298,-2.303,0.0
63,-2.042,2.371,-1.109,-2.002,0.1
