i,angulo,alcance,x,y,ate_parede
0,-3.1416,1.479,4.366,2.008,0.05
1,-3.1241,1.564,4.277,2.007,0.05
2,-3.1067,1.666,4.171,2.008,0.05
3,-3.0892,1.784,4.05,2.009,0.05
4,-3.0718,1.903,3.927,2.006,0.05
5,-3.0543,3.011,2.836,2.213,0.071
6,-3.0369,2.326,3.497,2.026,0.05
7,-3.0194,2.435,3.382,2.006,0.05
8,-3.002,2.335,3.474,1.947,0.0
9,-2.9845,2.325,3.477,1.905,0.0
10,-2.9671,2.324,3.473,1.865,0.0
11,-2.9496,2.54,3.253,1.849,0.1
12,-2.9322,2.385,3.403,1.79,0.0
13,-2.9147,2.404,3.38,1.75,0.0
14,-2.8972,2.446,3.336,1.711,0.05
15,-2.8798,2.536,3.244,1.672,0.05
16,-2.8623,2.412,3.366,1.625,0.0
17,-2.8449,2.409,3.368,1.583,0.0
18,-2.8274,2.407,3.37,1.541,0.0
19,-2.81,2.399,3.379,1.499,0.0
20,-2.7925,2.399,3.381,1.457,0.0
21,-2.7751,2.389,3.393,1.416,0.0
22,-2.7576,2.419,3.366,1.372,0.0
23,-2.7402,2.563,3.226,1.316,0.05
24,-2.7227,2.555,3.239,1.272,0.0
25,-2.7053,2.629,3.172,1.218,0.05
26,-2.6878,2.594,3.212,1.178,0.0
27,-2.6704,2.446,3.365,1.158,0.0
28,-2.6529,2.832,2.993,1.045,0.05
29,-2.6354,2.825,3.009,0.998,0.0
30,-2.618,2.818,3.026,0.951,0.0
31,-2.6005,7.163,-1.186,-0.115,0.0
32,-2.5831,7.126,-1.12,-0.227,0.0
33,-2.5656,6.985,-0.951,-0.309,0.071
34,-2.5482,6.829,-0.768,-0.382,0.071
35,-2.5307,6.709,-0.619,-0.46,0.158
36,-2.5133,6.72,-0.593,-0.575,0.15
37,-2.4958,6.85,-0.678,-0.729,0.05
38,-2.4784,6.919,-0.701,-0.866,0.071
39,-2.4609,7.602,-1.293,-1.229,0.0
40,-2.4435,7.743,-1.374,-1.407,0.05
41,-2.426,7.803,-1.375,-1.555,0.05
42,-2.4086,7.919,-1.425,-1.727,0.05
43,-2.3911,1.171,4.721,1.059,0.071
44,-2.3736,1.099,4.794,1.073,0.05
45,-2.3562,1.098,4.804,1.056,0.05
46,-2.3387,1.116,4.797,1.031,0.0
47,-2.3213,1.136,4.789,1.004,0.0
48,-2.3038,1.159,4.779,0.975,0.0
49,-2.2864,1.17,4.78,0.952,0.0
50,-2.2689,1.192,4.773,0.923,0.0
51,-2.2515,1.205,4.773,0.898,0.0
52,-2.234,1.227,4.767,0.868,0.0
53,-2.2166,1.244,4.765,0.841,0.0
54,-2.1991,1.263,4.763,0.812,0.0
55,-2.1817,1.273,4.768,0.788,0.0
56,-2.1642,1.293,4.766,0.758,0.0
57,-2.1468,1.315,4.763,0.727,0.0
58,-2.1293,1.335,4.763,0.696,0.0
59,-2.1118,1.362,4.758,0.661,0.0
60,-2.0944,1.386,4.756,0.627,0.0
61,-2.0769,1.415,4.752,0.589,0.0
62,-2.0595,1.435,4.755,0.557,0.0
63,-2.042,1.473,4.746,0.512,0.0
64,-2.0246,1.489,4.753,0.483,0.0
65,-2.0071,1.531,4.744,0.434,0.0
66,-1.9897,1.556,4.747,0.398,0.0
