nav_id,start_ts,end_ts,duration_s,status,start_x,start_y,end_x,end_y,end_yaw,initial_plan_length_m,replans,rec_backup,rec_spin,rec_wait,distance_traveled_m,avg_linear_speed,max_linear_speed,time_stopped_s,direction_reversals
faa5aa06,1786581718.872,1786581726.349,7.48,CANCELED,0.000,0.000,0.000,0.000,0.000,1.981,7,0,0,0,0.000,0.000,0.000,0.000,0
f4931be8,1786581729.766,1786581747.738,17.97,CANCELED,0.000,0.000,0.000,0.000,0.000,1.981,17,0,0,0,0.000,0.000,0.000,0.000,0
8a3e5686,1786582091.622,1786582099.103,7.48,SUCCEEDED,0.000,0.000,0.000,0.000,0.000,1.918,7,0,0,0,0.000,0.000,0.000,0.000,0
baf6f65e,1786582113.768,1786582124.030,10.26,SUCCEEDED,0.000,0.000,0.000,0.000,0.000,1.978,9,0,0,0,0.000,0.000,0.000,0.000,0
e7a32372,1786582136.020,1786582167.492,31.47,SUCCEEDED,0.000,0.000,0.000,0.000,0.000,7.274,30,0,0,0,0.000,0.000,0.000,0.000,0
d4bdcd6d,1786582202.701,1786582237.171,34.47,ABORTED,0.000,0.000,0.000,0.000,0.000,6.073,33,0,0,0,0.000,0.000,0.000,0.000,0
3d975b99,1786582240.674,1786582270.735,30.06,ABORTED,0.000,0.000,0.000,0.000,0.000,5.388,28,0,0,0,0.000,0.000,0.000,0.000,0
a1bd4f73,1786582274.239,1786582304.311,30.07,ABORTED,0.000,0.000,0.000,0.000,0.000,5.388,28,0,0,0,0.000,0.000,0.000,0.000,0
771dc835,1786583122.459,1786583158.871,36.41,ABORTED,0.000,0.000,0.000,0.000,0.000,7.959,34,0,0,0,0.000,0.000,0.000,0.000,0
1e225b29,1786583162.374,1786583192.434,30.06,ABORTED,0.000,0.000,0.000,0.000,0.000,7.317,28,0,0,0,0.000,0.000,0.000,0.000,0
6308f186,1786583195.937,1786583225.987,30.05,ABORTED,0.000,0.000,0.000,0.000,0.000,7.470,28,0,0,0,0.000,0.000,0.000,0.000,0
