t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
12.75,seguindo,-0.0,-0.0,-0.0,-0.0408,-0.0408,0.5,7.2074,13.3361,0.019
12.8,seguindo,-0.0,-0.0,-0.0,-0.0408,-0.0408,0.5,7.2074,13.3361,0.019
12.85,seguindo,-0.0,-0.0,-0.0,-0.0408,-0.0408,0.5,7.2074,13.3361,0.019
12.9,seguindo,-0.0,-0.0,-0.0,-0.0408,-0.0408,0.5,7.2074,13.3361,0.019
12.95,seguindo,-0.0,-0.0,-0.0,-0.0408,-0.0408,0.5,7.2074,13.3361,0.019
13.0,seguindo,-0.0,-0.0,-0.0,-0.0408,-0.0408,0.5,7.2074,13.3361,0.019
13.05,seguindo,-0.0,-0.0,-0.0,-0.0408,-0.0408,0.5,7.2074,13.3361,0.019
13.1,seguindo,-0.0,-0.0,-0.0,-0.0408,-0.0408,0.5,7.2074,13.3361,0.019
13.15,seguindo,-0.0,-0.0,-0.0,-0.0408,-0.0408,0.5,7.2074,13.3361,0.019
13.2,seguindo,-0.0,-0.0,-0.0,-0.0408,-0.0408,0.5,7.2074,13.3361,0.019
13.25,seguindo,0.0027,0.0003,-0.0037,-0.0412,-0.0375,0.5,7.2049,13.3361,0.0193
13.3,seguindo,0.0059,0.0007,-0.0088,-0.0418,-0.0329,0.5,7.202,13.3361,0.0197
13.35,seguindo,0.0135,0.0015,-0.0202,-0.042,-0.0219,0.5,7.1951,20.0045,0.0205
13.401,seguindo,0.0198,0.0022,-0.0304,-0.043,-0.0126,0.5,7.1894,20.0045,0.0212
13.45,seguindo,0.0321,0.003,-0.0462,-0.0443,0.0019,0.5,7.1785,20.0045,0.022
13.5,seguindo,0.0417,0.0033,-0.0563,-0.045,0.0113,0.5,7.1701,20.0045,0.0223
13.55,seguindo,0.0589,0.0035,-0.0723,-0.046,0.0263,0.5,7.1555,20.0045,0.0225
13.6,seguindo,0.0717,0.0033,-0.0825,-0.0454,0.0371,0.5,7.1447,40.0104,0.0223
13.65,seguindo,0.0914,0.0028,-0.0974,-0.0457,0.0516,0.5,7.1283,40.0104,0.0218
13.7,seguindo,0.1047,0.0021,-0.1064,-0.0457,0.0607,0.5,7.1173,40.0104,0.0211
13.75,seguindo,0.1242,0.0008,-0.1173,-0.0443,0.073,0.5,7.1015,inf,0.0198
13.8,seguindo,0.137,-0.0002,-0.1233,-0.0432,0.0801,0.5,7.0912,inf,0.0188
13.85,seguindo,0.1557,-0.0021,-0.1298,-0.0421,0.0876,0.5,7.0764,inf,0.0174
13.9,seguindo,0.168,-0.0034,-0.1329,-0.0404,0.0924,0.5,7.0668,inf,0.0163
13.95,seguindo,0.1859,-0.0057,-0.1344,-0.0389,0.0956,0.5,7.0528,inf,0.0145
14.0,seguindo,0.1977,-0.0073,-0.1344,-0.0377,0.0967,0.5,7.0438,inf,0.0132
14.05,seguindo,0.2151,-0.0098,-0.1321,-0.0352,0.0968,0.5,7.0305,inf,0.0111
14.1,seguindo,0.2265,-0.0115,-0.1297,-0.034,0.0958,0.5,7.0218,inf,0.0097
14.15,seguindo,0.2435,-0.0141,-0.1255,-0.032,0.0935,0.5,7.0089,inf,0.0075
14.2,seguindo,0.2548,-0.0157,-0.1224,-0.0307,0.0917,0.5,7.0003,inf,0.0062
14.25,seguindo,0.2718,-0.0182,-0.118,-0.0285,0.0895,0.5,6.9873,inf,0.0042
14.3,seguindo,0.2831,-0.0197,-0.1152,-0.0273,0.088,0.5,6.9787,inf,0.0029
14.35,seguindo,0.3002,-0.022,-0.1114,-0.0402,0.0712,0.5,6.9654,inf,0.0019
14.4,seguindo,0.3117,-0.0234,-0.109,-0.0391,0.0698,0.5,6.9566,inf,0.0009
14.45,seguindo,0.3289,-0.0256,-0.1057,-0.0377,0.068,0.5,6.9432,inf,-0.0005
14.5,seguindo,0.3404,-0.0269,-0.1037,-0.0367,0.0669,0.5,6.9342,inf,-0.0015
14.55,seguindo,0.3577,-0.0289,-0.1009,-0.0353,0.0655,0.5,6.9207,inf,-0.0028
14.6,seguindo,0.3692,-0.0302,-0.0991,-0.0346,0.0645,0.5,6.9117,inf,-0.0037
14.65,seguindo,0.3866,-0.0321,-0.0966,-0.0333,0.0633,0.5,6.8981,inf,-0.0049
14.7,seguindo,0.3982,-0.0334,-0.095,-0.0324,0.0626,0.5,6.889,inf,-0.0057
14.75,seguindo,0.4155,-0.0352,-0.0925,-0.0315,0.0611,0.5,6.8754,inf,-0.0069
14.8,seguindo,0.4271,-0.0364,-0.0909,-0.0306,0.0602,0.5,6.8663,inf,-0.0077
14.85,seguindo,0.4445,-0.0382,-0.0883,-0.098,-0.0097,0.5,6.8527,1.1572,-0.0128
14.9,seguindo,0.4561,-0.0394,-0.0866,-0.098,-0.0114,0.5,6.8437,1.1572,-0.0101
14.95,seguindo,0.4734,-0.0411,-0.084,-0.0939,-0.0099,0.5,6.8301,0.9582,-0.006
15.0,seguindo,0.485,-0.0422,-0.0822,-0.0939,-0.0117,0.5,6.821,0.9582,-0.0032
15.05,seguindo,0.5024,-0.0438,-0.0795,-0.0939,-0.0144,0.5,6.8074,0.9582,0.0009
15.1,seguindo,0.5139,-0.0448,-0.0777,-0.09,-0.0123,0.5,6.7983,0.6243,0.0037
15.15,seguindo,0.5313,-0.0464,-0.075,-0.09,-0.015,0.5,6.7847,0.6243,0.008
15.2,seguindo,0.5429,-0.0474,-0.0732,-0.0901,-0.0168,0.5,6.7756,0.6243,0.0109
15.25,seguindo,0.5602,-0.0489,-0.0705,-0.1017,-0.0312,0.5,6.7666,0.6243,0.0148
15.3,seguindo,0.5718,-0.0498,-0.0687,-0.0981,-0.0294,0.5,6.7574,0.8089,0.0178
15.35,seguindo,0.5892,-0.0512,-0.066,-0.0984,-0.0324,0.5,6.7436,0.8089,0.0224
15.4,seguindo,0.6008,-0.0521,-0.0642,-0.0987,-0.0344,0.5,6.7344,0.8089,0.0255
15.45,seguindo,0.6182,-0.0534,-0.0615,-0.0991,-0.0376,0.5,6.7206,0.8089,0.0301
15.5,seguindo,0.6298,-0.0543,-0.0597,-0.0957,-0.0359,0.5,6.7114,1.1572,0.0333
15.55,seguindo,0.6472,-0.0555,-0.057,-0.0961,-0.0391,0.5,6.6976,1.1572,0.038
15.6,seguindo,0.6588,-0.0563,-0.0552,-0.0964,-0.0412,0.5,6.6883,1.1572,0.0412
15.65,seguindo,0.6762,-0.0575,-0.0527,-0.0934,-0.0407,0.5,6.6745,2.0398,0.046
15.7,seguindo,0.6878,-0.0582,-0.051,-0.0937,-0.0427,0.5,6.6652,2.0398,0.0492
15.75,seguindo,0.7052,-0.0593,-0.0484,-0.0943,-0.0459,0.5,6.6513,2.0398,0.0541
15.8,seguindo,0.7168,-0.06,-0.0466,-0.0947,-0.0481,0.5,6.6421,2.0398,0.0574
15.85,seguindo,0.7342,-0.061,-0.0438,-0.0918,-0.048,0.5,6.6282,inf,0.0623
15.9,seguindo,0.7458,-0.0617,-0.0419,-0.0631,-0.0212,0.5,6.619,inf,0.0183
15.95,seguindo,0.7632,-0.0626,-0.0392,-0.0633,-0.0241,0.5,6.6051,inf,0.0181
16.0,seguindo,0.7748,-0.0632,-0.0374,-0.0625,-0.0251,0.5,6.5958,inf,0.018
16.05,seguindo,0.7922,-0.064,-0.0347,-0.0627,-0.028,0.5,6.5819,inf,0.018
16.1,seguindo,0.8038,-0.0646,-0.0329,-0.0629,-0.03,0.5,6.5726,inf,0.0179
16.15,seguindo,0.8212,-0.0653,-0.0302,-0.0661,-0.0359,0.5,6.5503,inf,0.0164
16.2,seguindo,0.8328,-0.0658,-0.0284,-0.0664,-0.038,0.5,6.541,inf,0.0165
16.25,seguindo,0.8503,-0.0665,-0.0258,-0.0668,-0.0411,0.5,6.527,inf,0.0167
16.3,seguindo,0.8619,-0.0669,-0.024,-0.0663,-0.0423,0.5,6.5176,inf,0.0169
16.35,seguindo,0.8793,-0.0676,-0.0214,-0.0669,-0.0455,0.5,6.5036,inf,0.0171
16.4,seguindo,0.8909,-0.0679,-0.0196,-0.0673,-0.0477,0.5,6.4942,inf,0.0173
16.45,seguindo,0.9084,-0.0685,-0.0169,-0.067,-0.0502,0.5,6.4802,inf,0.0176
16.5,seguindo,0.92,-0.0688,-0.015,-0.0675,-0.0524,0.5,6.4708,inf,0.0179
16.55,seguindo,0.9374,-0.0693,-0.0123,-0.0682,-0.0559,0.5,6.4568,inf,0.0183
16.6,seguindo,0.949,-0.0696,-0.0105,-0.0687,-0.0582,0.5,6.4474,inf,0.0186
16.65,seguindo,0.9664,-0.0699,-0.0079,-0.0686,-0.0607,0.5,6.4333,inf,0.0191
16.7,seguindo,0.9781,-0.0702,-0.0061,-0.0692,-0.0631,0.5,6.4239,inf,0.0194
16.75,seguindo,0.9955,-0.0705,-0.0034,-0.0701,-0.0667,0.5,6.4098,inf,0.02
16.8,seguindo,1.0071,-0.0706,-0.0016,-0.0697,-0.0681,0.5,6.4004,inf,0.0204
16.85,seguindo,1.0245,-0.0709,0.0011,-0.0707,-0.0718,0.5,6.3863,inf,0.0211
16.9,seguindo,1.0362,-0.071,0.0029,-0.0714,-0.0743,0.5,6.3769,inf,0.0215
16.95,seguindo,1.0536,-0.0711,0.0056,-0.0711,-0.0766,0.5,6.3628,inf,0.0161
17.0,seguindo,1.0652,-0.0712,0.0074,-0.071,-0.0783,0.5,6.3533,inf,0.0167
17.05,seguindo,1.0827,-0.0713,0.01,-0.0806,-0.0907,0.5,6.3436,inf,0.0176
