t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,0.1625,-0.0028,-0.1325,7.0739,0,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.05,0.1806,-0.005,-0.135,7.0598,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.1,0.1922,-0.0067,-0.1338,7.0509,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.15,0.2095,-0.0092,-0.1312,7.0377,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.2,0.2208,-0.0109,-0.1286,7.029,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.25,0.2322,-0.0126,-0.126,7.0204,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.3,0.2435,-0.0142,-0.1229,7.0118,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.35,0.2605,-0.0167,-0.1182,6.9988,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.4,0.2718,-0.0182,-0.1151,6.9902,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.45,0.2831,-0.0198,-0.112,6.9815,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.5,0.3,-0.022,-0.1073,6.9685,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.55,0.3114,-0.0235,-0.1042,6.9598,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.6,0.3227,-0.0249,-0.1011,6.9511,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.65,0.334,-0.0263,-0.098,6.9424,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.701,0.3496,-0.0281,-0.0945,6.9304,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.75,0.3577,-0.0289,-0.0945,6.924,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.8,0.3686,-0.0299,-0.0945,6.9155,163,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.85,0.3735,-0.0303,-0.0945,6.9117,163,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.9,0.3795,-0.0309,-0.0945,6.9069,163,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.95,0.3812,-0.0311,-0.0946,6.9056,158,-0.0994,-0.0049,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.0,0.3851,-0.0315,-0.0933,6.9027,158,-0.0994,-0.0061,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.05,0.39,-0.0324,-0.0882,6.899,158,-0.0991,-0.0109,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.1,0.3985,-0.0339,-0.0794,6.8928,158,-0.0988,-0.0194,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.15,0.4067,-0.0353,-0.0691,6.8868,158,-0.098,-0.0289,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.2,0.4198,-0.0374,-0.0542,6.877,158,-0.0931,-0.039,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.25,0.4304,-0.0385,-0.0463,6.8688,158,-0.0925,-0.0462,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.3,0.4411,-0.0396,-0.0386,6.8605,158,-0.0924,-0.0538,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.35,0.4599,-0.0407,-0.0338,6.8455,158,-0.0928,-0.059,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.4,0.479,-0.0414,-0.0324,6.8301,158,-0.0893,-0.0569,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.45,0.4919,-0.0416,-0.035,6.8195,158,-0.0905,-0.0554,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.5,0.5049,-0.0419,-0.0377,6.809,158,-0.0914,-0.0537,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.55,0.5237,-0.0422,-0.0438,6.7935,158,-0.0888,-0.045,0.5,0.0,0.5,0.0,0.5,0.0,0.0
