t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.0,-0.0,-0.0,7.2103,166,-0.0403,-0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0,-0.0,-0.0,7.2103,166,-0.0403,-0.0403,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.1,-0.0,-0.0,-0.0,7.2103,166,-0.0403,-0.0403,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.15,-0.0,-0.0,-0.0,7.2103,166,-0.0403,-0.0403,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.2,-0.0,-0.0,-0.0,7.2103,166,-0.0403,-0.0403,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.251,-0.0,-0.0,-0.0,7.2103,166,-0.0403,-0.0403,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.3,-0.0,-0.0,-0.0,7.2103,166,-0.0403,-0.0403,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.35,-0.0,-0.0,-0.0,7.2103,166,-0.0403,-0.0403,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.4,-0.0,-0.0,-0.0,7.2103,166,-0.0403,-0.0403,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.45,0.0043,0.0005,-0.0063,7.2063,166,-0.0407,-0.0344,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.5,0.0075,0.0009,-0.0114,7.2034,166,-0.0412,-0.0298,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.55,0.0167,0.0018,-0.0253,7.1951,166,-0.0415,-0.0163,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.6,0.0231,0.0025,-0.0354,7.1893,166,-0.0424,-0.007,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.65,0.0371,0.0031,-0.0512,7.1771,166,-0.0437,0.0075,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.7,0.0467,0.0034,-0.0614,7.1687,166,-0.0445,0.0169,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.75,0.059,0.0035,-0.0723,7.1582,166,-0.0454,0.0268,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.8,0.0783,0.0032,-0.0876,7.142,166,-0.045,0.0426,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.85,0.0916,0.0027,-0.0974,7.131,166,-0.0451,0.0522,0.5,0.0,0.5,0.0,0.5,0.0,0.0
