t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
12.45,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
12.5,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
12.55,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
12.6,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
12.65,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
12.7,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
12.75,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
12.8,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
12.85,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
12.9,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
12.95,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
13.0,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
13.05,seguindo,0.0028,0.0003,-0.0037,-0.0405,-0.0368,0.5,7.2049,7.8019,0.0193
13.1,seguindo,0.006,0.0007,-0.0089,-0.041,-0.0321,0.5,7.2019,7.8019,0.0197
13.15,seguindo,0.0136,0.0015,-0.0203,-0.0414,-0.0211,0.5,7.195,13.0029,0.0205
13.2,seguindo,0.02,0.0022,-0.0305,-0.0423,-0.0118,0.5,7.1892,13.0029,0.0212
13.25,seguindo,0.0323,0.003,-0.0463,-0.0436,0.0027,0.5,7.1783,13.0029,0.022
13.3,seguindo,0.042,0.0033,-0.0565,-0.0443,0.0121,0.5,7.17,13.0029,0.0223
13.35,seguindo,0.0591,0.0035,-0.0724,-0.0453,0.0271,0.5,7.1553,13.0029,0.0225
13.4,seguindo,0.0719,0.0033,-0.0827,-0.0447,0.0379,0.5,7.1445,19.5046,0.0223
13.45,seguindo,0.0916,0.0027,-0.0975,-0.0451,0.0524,0.5,7.1281,19.5046,0.0217
13.5,seguindo,0.1049,0.0021,-0.1066,-0.0457,0.0608,0.5,7.1171,40.0104,0.0211
13.55,seguindo,0.1245,0.0008,-0.1178,-0.0443,0.0735,0.5,7.1012,inf,0.0198
13.6,seguindo,0.1374,-0.0002,-0.1241,-0.0438,0.0803,0.5,7.0909,inf,0.0188
13.65,seguindo,0.1561,-0.0021,-0.1308,-0.0428,0.088,0.5,7.0761,inf,0.0174
13.7,seguindo,0.1684,-0.0034,-0.1338,-0.0411,0.0927,0.5,7.0664,inf,0.0164
13.75,seguindo,0.1861,-0.0058,-0.1342,-0.0394,0.0947,0.5,7.0527,inf,0.0144
13.8,seguindo,0.1977,-0.0075,-0.1329,-0.0382,0.0947,0.5,7.0438,inf,0.0131
13.85,seguindo,0.2149,-0.01,-0.13,-0.0357,0.0942,0.5,7.0307,inf,0.011
13.9,seguindo,0.2321,-0.0125,-0.1265,-0.0339,0.0926,0.5,7.0176,inf,0.0089
13.95,seguindo,0.2434,-0.0142,-0.1234,-0.0326,0.0908,0.5,7.009,inf,0.0075
14.0,seguindo,0.2547,-0.0158,-0.1203,-0.0313,0.089,0.5,7.0004,inf,0.0062
14.05,seguindo,0.2717,-0.0182,-0.1158,-0.0291,0.0867,0.5,6.9874,inf,0.0042
14.1,seguindo,0.283,-0.0197,-0.113,-0.0279,0.085,0.5,6.9788,inf,0.003
14.15,seguindo,0.3001,-0.0219,-0.1092,-0.0442,0.065,0.5,6.9664,inf,0.0026
14.2,seguindo,0.3116,-0.0234,-0.1069,-0.0433,0.0636,0.5,6.9575,inf,0.0016
14.25,seguindo,0.3288,-0.0255,-0.1037,-0.0419,0.0619,0.5,6.944,inf,0.0003
14.3,seguindo,0.3403,-0.0268,-0.1018,-0.041,0.0608,0.5,6.935,inf,-0.0006
14.35,seguindo,0.3577,-0.0288,-0.0992,-0.0397,0.0594,0.5,6.9214,inf,-0.0018
14.4,seguindo,0.3692,-0.03,-0.0975,-0.039,0.0585,0.5,6.9123,inf,-0.0026
14.45,seguindo,0.3866,-0.0319,-0.0951,-0.0262,0.0689,0.5,6.8987,inf,-0.0101
14.5,seguindo,0.3982,-0.0331,-0.0934,-0.0252,0.0682,0.5,6.8896,inf,-0.0108
14.55,seguindo,0.4156,-0.035,-0.0909,-0.0244,0.0665,0.5,6.8759,inf,-0.012
14.6,seguindo,0.4271,-0.0361,-0.0892,-0.0235,0.0657,0.5,6.8668,inf,-0.0128
14.65,seguindo,0.4445,-0.0379,-0.0866,-0.0222,0.0644,0.5,6.8532,inf,-0.0139
14.7,seguindo,0.4561,-0.039,-0.0849,-0.0213,0.0636,0.5,6.8441,inf,-0.0146
14.75,seguindo,0.4734,-0.0407,-0.0823,-0.0208,0.0615,0.5,6.8304,inf,-0.0156
14.8,seguindo,0.485,-0.0418,-0.0805,-0.0199,0.0606,0.5,6.8213,inf,-0.0163
14.85,seguindo,0.5024,-0.0434,-0.0779,-0.0187,0.0593,0.5,6.8076,inf,-0.0173
14.9,seguindo,0.514,-0.0444,-0.0762,-0.0187,0.0575,0.5,6.7985,inf,-0.0179
14.95,seguindo,0.5314,-0.0459,-0.0736,-0.0175,0.056,0.5,6.7848,inf,-0.0188
15.0,seguindo,0.5429,-0.0469,-0.0718,-0.0167,0.055,0.5,6.7757,inf,-0.0194
15.05,seguindo,0.5603,-0.0484,-0.069,-0.0227,0.0463,0.5,6.757,inf,-0.0183
15.1,seguindo,0.5719,-0.0493,-0.067,-0.022,0.0451,0.5,6.7479,inf,-0.0188
15.15,seguindo,0.5892,-0.0507,-0.0643,-0.021,0.0433,0.5,6.7341,inf,-0.0195
15.2,seguindo,0.6008,-0.0516,-0.0625,-0.0203,0.0422,0.5,6.7249,inf,-0.0199
15.25,seguindo,0.6182,-0.0528,-0.0598,-0.0204,0.0394,0.5,6.7111,inf,-0.0204
15.3,seguindo,0.6298,-0.0537,-0.058,-0.0198,0.0382,0.5,6.7019,inf,-0.0208
15.35,seguindo,0.6472,-0.0549,-0.0553,-0.019,0.0364,0.5,6.6881,inf,-0.0213
15.4,seguindo,0.6588,-0.0557,-0.0535,-0.0195,0.034,0.5,6.6789,inf,-0.0216
15.45,seguindo,0.6762,-0.0568,-0.0508,-0.0187,0.0321,0.5,6.6651,inf,-0.022
15.5,seguindo,0.6878,-0.0575,-0.049,-0.0646,-0.0156,0.5,6.6559,inf,0.0218
15.55,seguindo,0.7052,-0.0586,-0.0464,-0.0647,-0.0184,0.5,6.642,inf,0.0215
15.6,seguindo,0.7168,-0.0592,-0.0446,-0.0637,-0.0191,0.5,6.6328,inf,0.0213
15.65,seguindo,0.7342,-0.0602,-0.0419,-0.0639,-0.022,0.5,6.6189,inf,0.0211
15.7,seguindo,0.7458,-0.0608,-0.0401,-0.064,-0.0239,0.5,6.6097,inf,0.021
15.75,seguindo,0.7632,-0.0617,-0.0374,-0.0632,-0.0257,0.5,6.5958,inf,0.0208
15.8,seguindo,0.7748,-0.0623,-0.0357,-0.0633,-0.0277,0.5,6.5865,inf,0.0208
15.85,seguindo,0.7922,-0.0631,-0.033,-0.0636,-0.0306,0.5,6.5726,inf,0.0207
15.9,seguindo,0.8039,-0.0636,-0.0312,-0.0638,-0.0327,0.5,6.5633,inf,0.0207
15.95,seguindo,0.8213,-0.0644,-0.0285,-0.0714,-0.043,0.5,6.5421,inf,0.0198
16.0,seguindo,0.8329,-0.0648,-0.0267,-0.0718,-0.0451,0.5,6.5328,inf,0.0199
16.05,seguindo,0.8503,-0.0655,-0.024,-0.0714,-0.0474,0.5,6.5187,inf,0.0201
16.1,seguindo,0.8619,-0.0659,-0.0222,-0.0718,-0.0496,0.5,6.5094,inf,0.0203
16.15,seguindo,0.8794,-0.0665,-0.0196,-0.0725,-0.0529,0.5,6.4953,inf,0.0206
16.2,seguindo,0.891,-0.0669,-0.0179,-0.073,-0.0551,0.5,6.486,inf,0.0209
16.25,seguindo,0.9084,-0.0674,-0.0153,-0.0727,-0.0574,0.5,6.4719,inf,0.0213
16.3,seguindo,0.9201,-0.0677,-0.0135,-0.0732,-0.0597,0.5,6.4625,inf,0.0216
16.35,seguindo,0.9375,-0.0681,-0.0109,-0.0741,-0.0632,0.5,6.4484,inf,0.022
16.4,seguindo,0.9491,-0.0684,-0.0091,-0.0736,-0.0645,0.5,6.439,inf,0.0224
16.45,seguindo,0.9665,-0.0687,-0.0064,-0.0745,-0.0682,0.5,6.4249,inf,0.0229
16.5,seguindo,0.9781,-0.0689,-0.0045,-0.0752,-0.0706,0.5,6.4155,inf,0.0233
16.55,seguindo,0.9956,-0.0692,-0.0017,-0.0729,-0.0711,0.5,6.4014,inf,0.0175
16.6,seguindo,1.0072,-0.0694,0.0001,-0.0727,-0.0728,0.5,6.392,inf,0.018
16.65,seguindo,1.0246,-0.0696,0.0028,-0.0737,-0.0766,0.5,6.3779,inf,0.0187
16.7,seguindo,1.0362,-0.0697,0.0046,-0.0745,-0.0791,0.5,6.3684,inf,0.0193
16.75,seguindo,1.0537,-0.0698,0.0073,-0.0747,-0.082,0.5,6.3543,inf,0.0201
16.8,seguindo,1.0653,-0.0698,0.0091,-0.0755,-0.0846,0.5,6.3448,inf,0.0207
16.85,seguindo,1.0827,-0.0699,0.0118,-0.0627,-0.0745,0.5,6.3329,inf,0.0148
