t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.0,-0.0,-0.0,7.2103,166,-0.0408,-0.0408,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0,-0.0,-0.0,7.2103,166,-0.0408,-0.0408,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.1,-0.0,-0.0,-0.0,7.2103,166,-0.0408,-0.0408,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.15,-0.0,-0.0,-0.0,7.2103,166,-0.0408,-0.0408,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.2,-0.0,-0.0,-0.0,7.2103,166,-0.0408,-0.0408,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.25,-0.0,-0.0,-0.0,7.2103,166,-0.0408,-0.0408,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.3,-0.0,-0.0,-0.0,7.2103,166,-0.0408,-0.0408,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.35,-0.0,-0.0,-0.0,7.2103,166,-0.0408,-0.0408,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.4,-0.0,-0.0,-0.0,7.2103,166,-0.0408,-0.0408,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.45,0.0043,0.0005,-0.0063,7.2063,166,-0.0412,-0.0349,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.5,0.0075,0.0009,-0.0114,7.2034,166,-0.0418,-0.0303,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.55,0.0167,0.0018,-0.0253,7.1951,166,-0.042,-0.0168,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.601,0.0231,0.0025,-0.0354,7.1893,166,-0.043,-0.0075,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.65,0.0371,0.0031,-0.0512,7.1771,166,-0.0443,0.007,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.7,0.0467,0.0034,-0.0614,7.1687,166,-0.045,0.0164,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.75,0.0655,0.0034,-0.0774,7.1528,166,-0.046,0.0314,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.8,0.0783,0.0032,-0.0876,7.142,166,-0.0454,0.0422,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.85,0.0916,0.0028,-0.0975,7.131,166,-0.0457,0.0517,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.9,0.1116,0.0018,-0.1112,7.1145,166,-0.0457,0.0655,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.95,0.1246,0.0009,-0.1179,7.1041,166,-0.0443,0.0736,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.0,0.1439,-0.0007,-0.1275,7.0886,166,-0.0439,0.0837,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.05,0.1561,-0.002,-0.131,7.0789,164,-0.0355,0.0955,0.4981,0.2287,0.5,0.0,0.5,0.0,0.0
1.1,0.1746,-0.0041,-0.1356,7.0644,164,-0.0337,0.1019,0.4976,0.2432,0.4976,0.2432,0.4976,0.2432,0.0
1.15,0.1863,-0.0058,-0.1353,7.0554,164,-0.032,0.1033,0.4974,0.2468,0.4976,0.2432,0.4976,0.2432,0.0
