t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
13.55,seguindo,-0.0,-0.0,-0.0,-0.0339,-0.0339,0.5,7.2074,19.6686,0.019
13.6,seguindo,-0.0,-0.0,-0.0,-0.0339,-0.0339,0.5,7.2074,19.6686,0.019
13.65,seguindo,-0.0,-0.0,-0.0,-0.0339,-0.0339,0.5,7.2074,19.6686,0.019
13.7,seguindo,-0.0,-0.0,-0.0,-0.0339,-0.0339,0.5,7.2074,19.6686,0.019
13.75,seguindo,-0.0,-0.0,-0.0,-0.0339,-0.0339,0.5,7.2074,19.6686,0.019
13.8,seguindo,-0.0,-0.0,-0.0,-0.0339,-0.0339,0.5,7.2074,19.6686,0.019
13.85,seguindo,-0.0,-0.0,-0.0,-0.0339,-0.0339,0.5,7.2074,19.6686,0.019
13.9,seguindo,-0.0,-0.0,-0.0,-0.0339,-0.0339,0.5,7.2074,19.6686,0.019
13.95,seguindo,-0.0,-0.0,-0.0,-0.0339,-0.0339,0.5,7.2074,19.6686,0.019
14.0,seguindo,-0.0,-0.0,-0.0,-0.0339,-0.0339,0.5,7.2074,19.6686,0.019
14.05,seguindo,0.0027,0.0003,-0.0037,-0.0343,-0.0306,0.5,7.2049,19.6686,0.0193
14.1,seguindo,0.0059,0.0007,-0.0088,-0.0348,-0.0259,0.5,7.202,19.6686,0.0197
14.15,seguindo,0.0077,0.001,-0.0122,-0.0351,-0.0229,0.5,7.2003,19.6686,0.02
14.2,seguindo,0.0076,0.001,-0.0122,-0.0351,-0.0229,0.5,7.2004,19.6686,0.02
14.25,seguindo,0.0104,0.0012,-0.0159,-0.0355,-0.0195,0.5,7.1979,19.6686,0.0202
14.3,seguindo,0.0136,0.0016,-0.0211,-0.035,-0.014,0.5,7.195,29.5031,0.0206
14.35,seguindo,0.0211,0.0023,-0.0325,-0.036,-0.0035,0.5,7.1882,29.5031,0.0213
14.4,seguindo,0.0275,0.0029,-0.0426,-0.0368,0.0058,0.5,7.1825,29.5031,0.0219
14.45,seguindo,0.0399,0.0035,-0.0584,-0.0379,0.0205,0.5,7.1716,29.5031,0.0225
14.5,seguindo,0.0495,0.0037,-0.0683,-0.0385,0.0298,0.5,7.1633,29.5031,0.0227
