t,x_map,y_map,rumo,v_medido,wz_medido,v_seguidor,v_apos_reflexo,v_desencalhe,v_entra_compensador,v_sai_compensador,freio_agindo
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0
0.1,-0.0001,0.0,0.0,0.0,0.0,0.0,,,,,0
0.201,-0.0001,0.0,0.0001,0.0,0.0,0.0,,,,,0
0.301,-0.0002,0.0,0.0001,0.0,0.0,0.0,,,,,0
0.401,-0.0002,0.0,0.0001,0.0,0.0,0.0,,,,,0
0.5,-0.0003,0.0001,0.0002,0.0,0.0,0.0,,,,,0
0.602,-0.0004,0.0001,0.0002,0.0,0.0,0.0,,,,,0
0.702,-0.0004,0.0001,0.0002,0.0,0.0,0.0,,,,,0
0.802,-0.0005,0.0001,0.0003,0.0,0.0,0.0,,,,,0
0.903,-0.0006,0.0001,0.0003,0.0,0.0,0.0,,,,,0
1.003,-0.0006,0.0001,0.0003,0.0,0.0,0.0,,,,,0
1.105,-0.0007,0.0001,0.0003,0.0,0.0,0.0,,,,,0
1.205,-0.0007,0.0001,0.0004,0.0,0.0,0.0,,,,,0
1.305,-0.0008,0.0002,0.0004,0.0,0.0,0.0,,,,,0
1.406,-0.0009,0.0002,0.0004,0.0,0.0,0.0,,,,,0
1.507,-0.0009,0.0002,0.0005,0.0,0.0,0.0,,,,,0
1.607,-0.001,0.0002,0.0005,0.0,0.0,0.0,,,,,0
1.707,-0.001,0.0002,0.0005,0.0,0.0,0.0,,,,,0
1.808,-0.0011,0.0002,0.0006,0.0,0.0,0.0,,,,,0
1.908,-0.0012,0.0002,0.0006,0.0,0.0,0.0,,,,,0
2.009,-0.0012,0.0002,0.0006,0.0,0.0,0.0,,,,,0
2.123,-0.0013,0.0003,0.0007,0.0,0.0,0.0,,,,,0
2.223,-0.0014,0.0003,0.0007,0.0,0.0,0.0,,,,,0
2.323,-0.0014,0.0003,0.0007,0.0,0.0,0.0,,,,,0
2.423,-0.0015,0.0003,0.0008,0.0,0.0,0.0,,,,,0
2.523,-0.0015,0.0003,0.0008,0.0,0.0,0.0,,,,,0
2.624,-0.0016,0.0003,0.0008,0.0,0.0,0.0,,,,,0
2.723,-0.0017,0.0003,0.0009,0.0,0.0,0.0,,,,,0
2.823,-0.0017,0.0003,0.0009,0.0,0.0,0.0,,,,,0
2.923,-0.0018,0.0004,0.0009,0.0,0.0,0.0,,,,,0
3.024,-0.0018,0.0004,0.001,0.0,0.0,0.0,,,,,0
3.124,-0.0019,0.0004,0.001,0.0,0.0,0.0,,,,,0
3.224,-0.002,0.0004,0.001,0.0,0.0,0.0,,,,,0
3.324,-0.002,0.0004,0.001,0.0,0.0,0.0,,,,,0
3.424,-0.0021,0.0004,0.0011,0.0,0.0,0.0,,,,,0
3.528,-0.0022,0.0004,0.0011,0.0,0.0,0.0,,,,,0
3.63,-0.0022,0.0004,0.0011,0.0,0.0,0.0,,,,,0
3.73,-0.0023,0.0005,0.0012,0.0,0.0,0.0,,,,,0
3.839,-0.0023,0.0005,0.0012,0.0,0.0,0.0,,,,,0
3.94,-0.0024,0.0005,0.0012,0.0,0.0,0.0,,,,,0
4.043,-0.0025,0.0005,0.0013,0.0,0.0,0.0,,,,,0
4.142,-0.0025,0.0005,0.0013,0.0,0.0,0.0,,,,,0
4.243,-0.0026,0.0005,0.0013,0.0,0.0,0.0,,,,,0
4.343,-0.0027,0.0005,0.0014,0.0,0.0,0.0,,,,,0
4.443,-0.0027,0.0005,0.0014,0.0,0.0,0.0,,,,,0
4.544,-0.0028,0.0006,0.0014,0.0,0.0,0.0,,,,,0
4.645,-0.0028,0.0006,0.0015,0.0,0.0,0.0,,,,,0
4.746,-0.0029,0.0006,0.0015,0.0,0.0,0.0,,,,,0
4.846,-0.003,0.0006,0.0015,0.0,0.0,0.0,,,,,0
4.947,-0.003,0.0006,0.0016,0.0,0.0,0.0,,,,,0
5.047,-0.0031,0.0006,0.0016,0.0,0.0,0.0,,,,,0
5.147,-0.0031,0.0006,0.0016,0.0,0.0,0.0,,,,,0
5.247,-0.0032,0.0006,0.0017,0.0,0.0,0.0,,,,,0
5.349,-0.0033,0.0007,0.0017,0.0,0.0,0.0,,,,,0
5.449,-0.0033,0.0007,0.0017,0.0,0.0,0.0,,,,,0
5.549,-0.0034,0.0007,0.0017,0.0,0.0,0.0,,,,,0
5.648,-0.0035,0.0007,0.0018,0.0,0.0,0.0,,,,,0
5.749,-0.0035,0.0007,0.0018,0.0,0.0,0.0,,,,,0
5.849,-0.0036,0.0007,0.0018,0.0,0.0,0.0,,,,,0
5.949,-0.0036,0.0007,0.0019,0.0,0.0,0.0,,,,,0
6.048,-0.0037,0.0007,0.0019,0.0,0.0,0.0,,,,,0
6.149,-0.0038,0.0008,0.0019,0.0,0.0,0.0,,,,,0
6.25,-0.0038,0.0008,0.002,0.0,0.0,0.0,,,,,0
6.352,-0.0039,0.0008,0.002,0.0,0.0,0.0,,,,,0
6.452,-0.0039,0.0008,0.002,0.0,0.0,0.0,,,,,0
6.551,-0.004,0.0008,0.0021,0.0,0.0,0.0,,,,,0
6.651,-0.0041,0.0008,0.0021,0.0,0.0,0.0,,,,,0
6.751,-0.0041,0.0008,0.0021,0.0,0.0,0.0,,,,,0
6.854,-0.0042,0.0008,0.0022,0.0,0.0,0.0,,,,,0
6.956,-0.0043,0.0009,0.0022,0.0,0.0,0.0,,,,,0
7.056,-0.0043,0.0009,0.0022,0.0,0.0,0.0,,,,,0
7.158,-0.0044,0.0009,0.0023,0.0,0.0,0.0,,,,,0
7.258,-0.0044,0.0009,0.0023,0.0,0.0,0.0,,,,,0
7.358,-0.0045,0.0009,0.0023,0.0,0.0,0.0,,,,,0
7.459,-0.0046,0.0009,0.0023,0.0,0.0,0.0,,,,,0
