t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,0.0011,0.0001,-0.0011,7.2092,167,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.05,0.0028,0.0003,-0.0037,7.2078,167,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.1,0.0028,0.0003,-0.0037,7.2078,167,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.15,0.0028,0.0003,-0.0037,7.2078,167,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.2,0.0028,0.0003,-0.0037,7.2078,167,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.25,0.0028,0.0003,-0.0037,7.2078,167,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.3,0.0028,0.0003,-0.0037,7.2078,167,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.351,0.0028,0.0003,-0.0037,7.2078,167,,,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.4,0.0851,0.003,-0.0929,7.1363,167,-0.0424,0.0505,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.45,0.0984,0.0025,-0.1022,7.1253,167,-0.0426,0.0596,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.5,0.1182,0.0013,-0.1147,7.1092,167,-0.0426,0.0721,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.878,0.131,0.0003,-0.1206,7.0989,164,-0.0411,0.0795,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.9,0.2381,-0.0133,-0.126,7.0158,164,-0.0339,0.0921,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.95,0.2494,-0.0149,-0.1229,7.0072,164,-0.032,0.091,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.0,0.2663,-0.0174,-0.1184,6.9943,164,-0.0307,0.0878,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.05,0.2777,-0.0189,-0.1157,6.9856,164,-0.0405,0.0752,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.1,0.2948,-0.0212,-0.1117,6.9725,164,-0.0394,0.0723,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.15,0.3062,-0.0227,-0.1093,6.9637,164,-0.0378,0.0715,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.2,0.3234,-0.0248,-0.1058,6.9505,164,-0.0368,0.0691,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.25,0.3349,-0.0262,-0.1038,6.9416,164,-0.0353,0.0686,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.3,0.3522,-0.0282,-0.1009,6.9283,164,-0.0343,0.0666,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.35,0.3637,-0.0295,-0.0992,6.9193,164,-0.0329,0.0663,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.4,0.3796,-0.0312,-0.0972,6.907,164,-0.0321,0.0651,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.45,0.3879,-0.032,-0.0973,6.9006,164,-0.0311,0.0662,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.5,0.3963,-0.0328,-0.0973,6.894,164,-0.0305,0.0668,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.55,0.4132,-0.0347,-0.0952,6.881,164,-0.0293,0.0659,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.601,0.4248,-0.0359,-0.0935,6.872,157,-0.0177,0.0759,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.65,0.4421,-0.0377,-0.0909,6.8586,157,-0.0161,0.0747,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.7,0.4537,-0.0389,-0.0891,6.8497,157,-0.0146,0.0745,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.75,0.4652,-0.0401,-0.0873,6.8408,157,-0.0144,0.0729,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.801,0.4826,-0.0418,-0.0847,6.8273,157,-0.0135,0.0712,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.85,0.4943,-0.0429,-0.0838,6.8182,157,-0.0121,0.0717,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.9,0.5119,-0.0444,-0.0824,6.8046,157,-0.0111,0.0712,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.95,0.5237,-0.0454,-0.0821,6.7954,157,-0.0278,0.0544,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.0,0.5414,-0.0469,-0.0817,6.7815,157,-0.0271,0.0546,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.05,0.5502,-0.0476,-0.0817,6.7747,157,-0.0263,0.0554,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.1,0.563,-0.0487,-0.0818,6.7647,157,-0.0268,0.055,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.15,0.5742,-0.0497,-0.0804,6.7561,157,-0.0258,0.0546,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.2,0.5916,-0.0513,-0.0777,6.7427,157,-0.025,0.0527,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.25,0.6031,-0.0524,-0.0759,6.7338,157,-0.0238,0.052,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.3,0.6205,-0.0539,-0.0731,6.7204,157,-0.0242,0.049,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.35,0.6321,-0.0549,-0.0712,6.7115,157,-0.0231,0.0481,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.4,0.6494,-0.0563,-0.0683,6.6981,157,-0.0224,0.046,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.45,0.6611,-0.0572,-0.0672,6.689,157,-0.0226,0.0446,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.5,0.6786,-0.0585,-0.0655,6.6754,157,-0.022,0.0436,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.55,0.6905,-0.0593,-0.0653,6.6661,157,-0.0211,0.0442,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.6,0.7082,-0.0605,-0.065,6.6523,157,-0.0206,0.0444,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.65,0.7199,-0.0614,-0.0636,6.6433,153,-0.0662,-0.0026,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.7,0.7374,-0.0626,-0.0616,6.6298,153,-0.0662,-0.0046,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.75,0.749,-0.0635,-0.0598,6.6208,153,-0.0661,-0.0063,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.8,0.7664,-0.0647,-0.0571,6.6074,153,-0.0661,-0.0089,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.85,0.778,-0.0655,-0.0552,6.5984,153,-0.0851,-0.0298,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.9,0.7953,-0.0667,-0.0525,6.585,153,-0.0853,-0.0328,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.95,0.8069,-0.0674,-0.0506,6.576,153,-0.0853,-0.0347,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.0,0.8185,-0.0682,-0.0487,6.5671,153,-0.0856,-0.037,0.5,0.0,0.5,0.0,0.5,0.0,0.0
