t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.0,-0.0,-0.0,7.2103,166,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0,-0.0,-0.0,7.2103,166,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.101,-0.0,-0.0,-0.0,7.2103,166,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.15,-0.0,-0.0,-0.0,7.2103,166,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.2,-0.0,-0.0,-0.0,7.2103,166,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.25,-0.0,-0.0,-0.0,7.2103,166,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.3,-0.0,-0.0,-0.0,7.2103,166,,,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0.35,-0.0,-0.0,-0.0,7.2103,166,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.4,-0.0,-0.0,-0.0,7.2103,166,-0.0408,-0.0408,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.45,0.0027,0.0003,-0.0037,7.2078,166,-0.0408,-0.0371,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.501,0.0075,0.0009,-0.0114,7.2034,166,-0.0412,-0.0298,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.55,0.0135,0.0015,-0.0201,7.198,166,-0.0418,-0.0216,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.601,0.0232,0.0025,-0.0354,7.1892,166,-0.042,-0.0066,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.65,0.0323,0.003,-0.0461,7.1812,166,-0.043,0.0032,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.7,0.0468,0.0034,-0.0614,7.1686,166,-0.0443,0.0171,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.75,0.0592,0.0035,-0.0723,7.1581,166,-0.045,0.0272,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.8,0.072,0.0033,-0.0825,7.1473,166,-0.046,0.0365,0.5,0.0,0.5,0.0,0.5,0.0,0.0
