t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
13.6,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
13.65,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
13.7,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
13.75,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
13.8,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
13.85,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
13.9,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
13.95,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
14.0,seguindo,-0.0,-0.0,-0.0,-0.0401,-0.0401,0.5,7.2074,7.8019,0.019
14.05,seguindo,0.0027,0.0003,-0.0037,-0.0405,-0.0368,0.5,7.2049,7.8019,0.0193
14.1,seguindo,0.0059,0.0007,-0.0088,-0.041,-0.0322,0.5,7.202,7.8019,0.0197
14.15,seguindo,0.0134,0.0015,-0.02,-0.0413,-0.0213,0.5,7.1952,13.0029,0.0205
14.2,seguindo,0.0198,0.0022,-0.0302,-0.0423,-0.012,0.5,7.1894,13.0029,0.0212
14.25,seguindo,0.0322,0.003,-0.046,-0.0436,0.0025,0.5,7.1785,13.0029,0.022
14.3,seguindo,0.0418,0.0033,-0.0562,-0.0443,0.0119,0.5,7.1701,13.0029,0.0223
14.35,seguindo,0.0589,0.0035,-0.0721,-0.0453,0.0269,0.5,7.1555,13.0029,0.0225
14.4,seguindo,0.0718,0.0033,-0.0824,-0.0447,0.0377,0.5,7.1446,19.5046,0.0223
14.45,seguindo,0.0915,0.0028,-0.0973,-0.0451,0.0523,0.5,7.1282,19.5046,0.0218
14.5,seguindo,0.1048,0.0021,-0.1065,-0.045,0.0615,0.5,7.1172,19.5046,0.0211
14.55,seguindo,0.1244,0.0009,-0.1178,-0.0437,0.0741,0.5,7.1013,39.0106,0.0199
14.6,seguindo,0.1373,-0.0002,-0.1242,-0.0432,0.081,0.5,7.091,39.0106,0.0188
14.65,seguindo,0.1558,-0.0021,-0.1296,-0.0427,0.0868,0.5,7.0763,inf,0.0174
14.7,seguindo,0.1679,-0.0036,-0.1313,-0.0409,0.0904,0.5,7.0669,inf,0.0162
14.75,seguindo,0.1857,-0.0059,-0.1318,-0.0394,0.0925,0.5,7.0531,inf,0.0144
14.8,seguindo,0.1974,-0.0075,-0.1314,-0.0382,0.0932,0.5,7.0441,inf,0.0131
14.85,seguindo,0.2147,-0.0099,-0.1289,-0.0358,0.0931,0.5,7.0308,inf,0.011
14.9,seguindo,0.2261,-0.0116,-0.1265,-0.0346,0.092,0.5,7.0221,inf,0.0097
14.95,seguindo,0.2432,-0.0141,-0.1223,-0.0327,0.0896,0.5,7.0092,inf,0.0076
15.0,seguindo,0.2545,-0.0157,-0.1192,-0.0314,0.0878,0.5,7.0005,inf,0.0063
15.05,seguindo,0.2715,-0.0181,-0.1148,-0.0394,0.0753,0.5,6.9881,inf,0.0048
15.1,seguindo,0.2828,-0.0196,-0.1119,-0.0383,0.0736,0.5,6.9794,inf,0.0036
15.15,seguindo,0.3,-0.0218,-0.1083,-0.0368,0.0715,0.5,6.9661,inf,0.0021
15.2,seguindo,0.3114,-0.0232,-0.1062,-0.0358,0.0704,0.5,6.9572,inf,0.001
15.25,seguindo,0.3287,-0.0252,-0.1032,-0.0343,0.0689,0.5,6.9437,inf,-0.0004
15.3,seguindo,0.3402,-0.0266,-0.1013,-0.0334,0.0679,0.5,6.9348,inf,-0.0014
