t,x,y,yaw,erro_trajeto,rumo_plano,folga,raw_v,raw_wz,saida_v,saida_wz,desencalhe,planos,objetivo_ativo,dist_alvo
0.001,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.034,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.065,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.096,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.126,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.0,0.0,0.0,1,1,7.159
0.157,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.189,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.22,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.25,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.283,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.314,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.345,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.378,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.409,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.44,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.472,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.503,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.533,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.566,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.597,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.627,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.66,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.691,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.722,-0.0,-0.0,-0.0,0.0107,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.159
0.754,0.006,-0.0003,0.0044,0.0077,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.154
0.785,0.006,-0.0003,0.0044,0.0077,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.154
0.816,0.006,-0.0003,0.0044,0.0077,0.4636,0.7,0.453,0.513,0.453,0.513,0.0,1,1,7.154
0.847,0.0168,-0.0007,0.0095,0.0026,0.4636,0.75,0.453,0.513,0.453,0.513,0.0,1,1,7.145
0.878,0.0168,-0.0007,0.0095,0.0026,0.4636,0.75,0.453,0.512,0.453,0.513,0.0,1,1,7.145
0.908,0.0168,-0.0007,0.0095,0.0026,0.4636,0.75,0.453,0.512,0.453,0.512,0.0,1,1,7.145
0.94,0.0323,-0.0009,0.0146,0.0045,0.4636,0.75,0.453,0.512,0.453,0.512,0.0,1,1,7.132
0.971,0.0323,-0.0009,0.0146,0.0045,0.4636,0.75,0.453,0.512,0.453,0.512,0.0,1,1,7.132
