t,x,y,yaw,erro_trajeto,rumo_plano,folga,raw_v,raw_wz,saida_v,saida_wz,desencalhe,planos,objetivo_ativo,dist_alvo
0.016,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.047,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.078,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.109,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.0,0.0,0.0,1,1,7.159
0.139,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.171,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.201,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.232,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.263,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.294,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.324,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.356,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.386,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.417,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.449,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.479,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.51,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.541,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.572,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.603,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.634,0.0011,0.0001,-0.0011,0.0238,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.158
0.664,0.0011,0.0001,-0.0011,0.0238,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.158
0.695,0.0011,0.0001,-0.0011,0.0238,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.158
0.726,0.0103,0.0011,-0.0151,0.0289,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.15
0.757,0.0103,0.0011,-0.0151,0.0289,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.15
0.787,0.0103,0.0011,-0.0151,0.0289,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.15
0.819,0.0232,0.0025,-0.0357,0.0359,-0.4636,0.75,0.492,-0.326,0.492,-0.326,0.0,1,1,7.138
0.85,0.0232,0.0025,-0.0357,0.0359,-0.4636,0.75,0.493,-0.322,0.492,-0.326,0.0,1,1,7.138
0.882,0.0232,0.0025,-0.0357,0.0359,-0.4636,0.75,0.493,-0.322,0.493,-0.322,0.0,1,1,7.138
0.913,0.0468,0.0043,-0.0732,0.048,-0.4636,0.75,0.493,-0.322,0.493,-0.322,0.0,1,1,7.117
0.944,0.0468,0.0043,-0.0732,0.048,-0.4636,0.75,0.493,-0.319,0.493,-0.322,0.0,1,1,7.117
0.975,0.0468,0.0043,-0.0732,0.048,-0.4636,0.75,0.493,-0.319,0.493,-0.319,0.0,1,1,7.117
1.006,0.0779,0.0048,-0.1166,0.0624,-0.4636,0.8,0.493,-0.319,0.493,-0.319,0.0,1,1,7.089
1.037,0.0779,0.0048,-0.1166,0.0624,-0.4636,0.8,0.494,-0.311,0.493,-0.319,0.0,1,1,7.089
1.068,0.0779,0.0048,-0.1166,0.0624,-0.4636,0.8,0.494,-0.311,0.494,-0.311,0.0,1,1,7.089
1.099,0.1096,0.0038,-0.1576,0.0728,0.0,0.8,0.494,-0.311,0.494,-0.311,0.0,1,1,7.062
1.138,0.1096,0.0038,-0.1576,0.0349,-0.0244,0.8,0.494,-0.311,0.494,-0.311,0.0,2,1,7.062
1.168,0.1096,0.0038,-0.1576,0.0349,-0.0244,0.8,0.479,-0.292,0.494,-0.311,0.0,2,1,7.062
1.199,0.1096,0.0038,-0.1576,0.0349,-0.0244,0.8,0.479,-0.292,0.482,-0.259,0.0,2,1,7.062
1.23,0.1481,0.0006,-0.2032,0.0199,-0.0244,0.85,0.479,-0.292,0.482,-0.259,0.0,2,1,7.03
1.26,0.1481,0.0006,-0.2032,0.0199,-0.0244,0.85,0.483,-0.235,0.482,-0.259,0.0,2,1,7.03
1.291,0.1481,0.0006,-0.2032,0.0199,-0.0244,0.85,0.483,-0.235,0.484,-0.226,0.0,2,1,7.03
1.322,0.1805,-0.0039,-0.2359,0.0161,-0.0244,0.9,0.483,-0.235,0.484,-0.226,0.0,2,1,7.005
1.352,0.1805,-0.0039,-0.2359,0.0161,-0.0244,0.9,0.486,-0.2,0.484,-0.226,0.0,2,1,7.005
1.383,0.1805,-0.0039,-0.2359,0.0161,-0.0244,0.9,0.486,-0.2,0.489,-0.144,0.0,2,1,7.005
1.414,0.2068,-0.0087,-0.2587,0.0121,-0.0244,0.9,0.486,-0.2,0.489,-0.144,0.0,2,1,6.984
1.444,0.2068,-0.0087,-0.2587,0.0121,-0.0244,0.9,0.5,0.0,0.489,-0.144,0.0,2,1,6.984
1.475,0.2068,-0.0087,-0.2587,0.0121,-0.0244,0.9,0.5,0.0,0.5,0.0,0.0,2,1,6.984
1.506,0.2396,-0.0155,-0.2839,0.006,-0.0244,0.95,0.5,0.0,0.5,0.0,0.0,2,1,6.959
1.537,0.2396,-0.0155,-0.2839,0.006,-0.0244,0.95,0.496,0.145,0.5,0.0,0.0,2,1,6.959
1.567,0.2396,-0.0155,-0.2839,0.006,-0.0244,0.95,0.496,0.145,0.496,0.145,0.0,2,1,6.959
1.599,0.2638,-0.0219,-0.2926,0.0002,-0.0244,1.0,0.496,0.145,0.496,0.145,0.0,2,1,6.942
1.629,0.2638,-0.0219,-0.2926,0.0002,-0.0244,1.0,0.492,0.325,0.496,0.145,0.0,2,1,6.942
1.659,0.2638,-0.0219,-0.2926,0.0002,-0.0244,1.0,0.492,0.325,0.492,0.325,0.0,2,1,6.942
1.69,0.2928,-0.0304,-0.2958,0.0076,-0.0244,1.0,0.492,0.325,0.492,0.325,0.0,2,1,6.921
