t,x,y,yaw,erro_trajeto,rumo_plano,folga,raw_v,raw_wz,saida_v,saida_wz,desencalhe,planos,objetivo_ativo,dist_alvo
0.001,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.032,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.063,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.094,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.124,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.0,0.0,0.0,1,1,7.159
0.155,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.186,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.216,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.247,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.278,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.308,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.339,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.37,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.401,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.431,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.463,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.494,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.524,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.556,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.586,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.617,-0.0,-0.0,-0.0,0.0168,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.159
0.648,0.0028,0.0002,-0.0031,0.0167,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.157
0.678,0.0028,0.0002,-0.0031,0.0167,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.157
0.709,0.0028,0.0002,-0.0031,0.0167,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.157
0.74,0.0104,0.0009,-0.0116,0.0162,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.15
0.77,0.0104,0.0009,-0.0116,0.0162,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.15
0.801,0.0104,0.0009,-0.0116,0.0162,0.1419,0.7,0.498,0.243,0.498,0.243,0.0,1,1,7.15
0.831,0.0277,0.0014,-0.0222,0.0143,0.1419,0.75,0.498,0.243,0.498,0.243,0.0,1,1,7.135
0.861,0.0277,0.0014,-0.0222,0.0143,0.1419,0.75,0.497,0.246,0.498,0.243,0.0,1,1,7.135
0.892,0.0277,0.0014,-0.0222,0.0143,0.1419,0.75,0.497,0.246,0.497,0.246,0.0,1,1,7.135
0.922,0.0529,0.0016,-0.033,0.0109,0.1419,0.75,0.497,0.246,0.497,0.246,0.0,1,1,7.113
0.953,0.0529,0.0016,-0.033,0.0109,0.1419,0.75,0.497,0.251,0.497,0.246,0.0,1,1,7.113
0.983,0.0529,0.0016,-0.033,0.0109,0.1419,0.75,0.497,0.251,0.497,0.251,0.0,1,1,7.113
1.014,0.0781,0.0014,-0.0415,0.0071,0.1419,0.8,0.497,0.251,0.497,0.251,0.0,1,1,7.091
1.045,0.0781,0.0014,-0.0415,0.0071,0.1419,0.8,0.497,0.259,0.497,0.251,0.0,1,1,7.091
1.076,0.0781,0.0014,-0.0415,0.0071,0.1419,0.8,0.497,0.259,0.497,0.259,0.0,1,1,7.091
1.107,0.1093,0.0007,-0.0508,0.002,0.1419,0.8,0.497,0.259,0.497,0.259,0.0,1,1,7.064
1.143,0.1093,0.0007,-0.0508,0.0332,0.3218,0.8,0.497,0.259,0.497,0.259,0.0,2,1,7.064
1.173,0.1093,0.0007,-0.0508,0.0332,0.3218,0.8,0.496,0.279,0.497,0.259,0.0,2,1,7.064
1.204,0.1093,0.0007,-0.0508,0.0332,0.3218,0.8,0.496,0.279,0.495,0.286,0.0,2,1,7.064
1.235,0.1455,-0.0009,-0.0546,0.0141,0.3218,0.85,0.496,0.279,0.495,0.286,0.0,2,1,7.033
1.265,0.1455,-0.0009,-0.0546,0.0141,0.3218,0.85,0.495,0.295,0.495,0.286,0.0,2,1,7.033
1.296,0.1455,-0.0009,-0.0546,0.0141,0.3218,0.85,0.495,0.295,0.494,0.308,0.0,2,1,7.033
1.327,0.1753,-0.0025,-0.0549,0.0032,0.3218,0.9,0.495,0.295,0.494,0.308,0.0,2,1,7.008
1.357,0.1753,-0.0025,-0.0549,0.0032,0.3218,0.9,0.493,0.317,0.494,0.308,0.0,2,1,7.008
1.388,0.1753,-0.0025,-0.0549,0.0032,0.3218,0.9,0.493,0.317,0.492,0.327,0.0,2,1,7.008
1.42,0.1986,-0.004,-0.0522,0.0056,0.3218,0.9,0.493,0.317,0.492,0.327,0.0,2,1,6.989
1.45,0.1986,-0.004,-0.0522,0.0056,0.3218,0.9,0.491,0.334,0.492,0.327,0.0,2,1,6.989
1.481,0.1986,-0.004,-0.0522,0.0056,0.3218,0.9,0.491,0.334,0.491,0.334,0.0,2,1,6.989
1.512,0.2273,-0.006,-0.0455,0.0165,0.3218,0.95,0.491,0.334,0.491,0.334,0.0,2,1,6.965
1.543,0.2273,-0.006,-0.0455,0.0165,0.3218,0.95,0.49,0.349,0.491,0.334,0.0,2,1,6.965
1.573,0.2273,-0.006,-0.0455,0.0165,0.3218,0.95,0.49,0.349,0.49,0.349,0.0,2,1,6.965
1.604,0.25,-0.0074,-0.0392,0.0251,0.3218,0.95,0.49,0.349,0.49,0.349,0.0,2,1,6.946
1.635,0.25,-0.0074,-0.0392,0.0251,0.3218,0.95,0.485,0.386,0.49,0.349,0.0,2,1,6.946
1.666,0.25,-0.0074,-0.0392,0.0251,0.3218,0.95,0.485,0.386,0.485,0.386,0.0,2,1,6.946
1.697,0.2785,-0.0091,-0.0309,0.0357,0.3218,1.0,0.485,0.386,0.485,0.386,0.0,2,1,6.923
1.728,0.2785,-0.0091,-0.0309,0.0357,0.3218,1.0,0.482,0.396,0.485,0.386,0.0,2,1,6.923
1.759,0.2785,-0.0091,-0.0309,0.0357,0.3218,1.0,0.482,0.396,0.482,0.396,0.0,2,1,6.923
1.791,0.3066,-0.0107,-0.0209,0.046,0.3218,1.0,0.482,0.396,0.482,0.396,0.0,2,1,6.899
1.821,0.3066,-0.0107,-0.0209,0.046,0.3218,1.0,0.48,0.403,0.482,0.396,0.0,2,1,6.899
1.852,0.3066,-0.0107,-0.0209,0.046,0.3218,1.0,0.48,0.403,0.482,0.386,0.0,2,1,6.899
1.883,0.3291,-0.0117,-0.0124,0.0542,0.3218,1.05,0.48,0.403,0.482,0.386,0.0,2,1,6.881
1.913,0.3291,-0.0117,-0.0124,0.0542,0.3218,1.05,0.48,0.392,0.482,0.386,0.0,2,1,6.881
1.944,0.3291,-0.0117,-0.0124,0.0542,0.3218,1.05,0.48,0.392,0.48,0.392,0.0,2,1,6.881
1.976,0.3572,-0.0128,-0.002,0.064,0.3218,1.05,0.48,0.392,0.48,0.392,0.0,2,1,6.857
2.006,0.3572,-0.0128,-0.002,0.064,0.3218,1.05,0.478,0.398,0.48,0.392,0.0,2,1,6.857
2.037,0.3572,-0.0128,-0.002,0.064,0.3218,1.05,0.478,0.398,0.478,0.398,0.0,2,1,6.857
2.068,0.3853,-0.0135,0.0084,0.0737,0.3218,1.1,0.478,0.398,0.478,0.398,0.0,2,1,6.833
2.099,0.3853,-0.0135,0.0084,0.0737,0.3218,1.1,0.476,0.406,0.478,0.398,0.0,2,1,6.833
2.13,0.3853,-0.0135,0.0084,0.0737,0.3218,1.1,0.476,0.406,0.475,0.407,0.0,2,1,6.833
2.161,0.4078,-0.014,0.017,0.0812,0.3218,1.1,0.476,0.406,0.475,0.407,0.0,2,1,6.814
2.195,0.4078,-0.014,0.017,0.0287,0.4636,1.1,0.476,0.406,0.475,0.407,0.0,3,1,6.814
2.225,0.4078,-0.014,0.017,0.0287,0.4636,1.1,0.475,0.408,0.475,0.407,0.0,3,1,6.814
2.256,0.4078,-0.014,0.017,0.0287,0.4636,1.1,0.475,0.408,0.474,0.409,0.0,3,1,6.814
2.286,0.4414,-0.0143,0.0303,0.0018,0.4636,1.15,0.475,0.408,0.474,0.409,0.0,3,1,6.786
2.317,0.4414,-0.0143,0.0303,0.0018,0.4636,1.15,0.473,0.416,0.474,0.409,0.0,3,1,6.786
2.348,0.4414,-0.0143,0.0303,0.0018,0.4636,1.15,0.473,0.416,0.472,0.418,0.0,3,1,6.786
2.379,0.4694,-0.0142,0.0417,0.0106,0.4636,1.15,0.473,0.416,0.472,0.418,0.0,3,1,6.762
2.41,0.4694,-0.0142,0.0417,0.0106,0.4636,1.15,0.472,0.415,0.472,0.418,0.0,3,1,6.762
2.443,0.4694,-0.0142,0.0417,0.0106,0.4636,1.15,0.472,0.415,0.471,0.42,0.0,3,1,6.762
2.475,0.4973,-0.0138,0.0536,0.0228,0.4636,1.15,0.472,0.415,0.471,0.42,0.0,3,1,6.738
2.505,0.4973,-0.0138,0.0536,0.0228,0.4636,1.15,0.47,0.423,0.471,0.42,0.0,3,1,6.738
