t,x,y,yaw,erro_trajeto,rumo_plano,folga,raw_v,raw_wz,saida_v,saida_wz,desencalhe,planos,objetivo_ativo,dist_alvo
0.012,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.043,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.074,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.106,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.136,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.0,0.0,0.0,1,1,7.159
0.167,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.198,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.229,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.26,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.291,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.322,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.352,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.384,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.414,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.445,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.476,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.507,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.537,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.569,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.599,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
0.63,-0.0,-0.0,-0.0,0.0164,0.1651,0.7,0.496,0.271,0.496,0.271,0.0,1,1,7.159
