t,x,y,yaw,erro_trajeto,rumo_plano,folga,raw_v,raw_wz,saida_v,saida_wz,desencalhe,planos,objetivo_ativo,dist_alvo
0.016,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.046,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.077,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.108,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.0,0.0,0.0,0.0,0.0,1,1,7.159
0.139,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.0,0.0,0.0,1,1,7.159
0.17,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.201,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.231,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.261,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.292,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.322,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.353,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.384,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.414,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.445,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.476,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.506,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.537,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.568,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.599,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.629,-0.0,-0.0,-0.0,0.0233,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.159
0.66,0.0011,0.0001,-0.0011,0.0238,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.158
0.69,0.0011,0.0001,-0.0011,0.0238,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.158
0.721,0.0011,0.0001,-0.0011,0.0238,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.158
0.752,0.0103,0.0011,-0.0151,0.0289,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.15
0.782,0.0103,0.0011,-0.0151,0.0289,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.15
0.813,0.0103,0.0011,-0.0151,0.0289,-0.4636,0.7,0.492,-0.326,0.492,-0.326,0.0,1,1,7.15
0.844,0.0274,0.0028,-0.0422,0.0381,-0.4636,0.75,0.492,-0.326,0.492,-0.326,0.0,1,1,7.134
0.874,0.0274,0.0028,-0.0422,0.0381,-0.4636,0.75,0.493,-0.322,0.492,-0.326,0.0,1,1,7.134
0.905,0.0274,0.0028,-0.0422,0.0381,-0.4636,0.75,0.493,-0.322,0.493,-0.322,0.0,1,1,7.134
0.936,0.0466,0.0043,-0.073,0.0479,-0.4636,0.75,0.493,-0.322,0.493,-0.322,0.0,1,1,7.117
0.967,0.0466,0.0043,-0.073,0.0479,-0.4636,0.75,0.493,-0.319,0.493,-0.322,0.0,1,1,7.117
0.997,0.0466,0.0043,-0.073,0.0479,-0.4636,0.75,0.493,-0.319,0.493,-0.319,0.0,1,1,7.117
1.028,0.0777,0.0048,-0.116,0.0623,-0.4636,0.8,0.493,-0.319,0.493,-0.319,0.0,1,1,7.089
1.059,0.0777,0.0048,-0.116,0.0623,-0.4636,0.8,0.494,-0.311,0.493,-0.319,0.0,1,1,7.089
1.089,0.0777,0.0048,-0.116,0.0623,-0.4636,0.8,0.494,-0.311,0.494,-0.311,0.0,1,1,7.089
1.121,0.1031,0.0041,-0.1486,0.073,-0.4636,0.8,0.494,-0.311,0.494,-0.311,0.0,1,1,7.068
1.157,0.1031,0.0041,-0.1486,0.0402,-0.025,0.8,0.494,-0.311,0.494,-0.311,0.0,2,1,7.068
1.188,0.1031,0.0041,-0.1486,0.0402,-0.025,0.8,0.479,-0.292,0.494,-0.311,0.0,2,1,7.068
1.218,0.1031,0.0041,-0.1486,0.0402,-0.025,0.8,0.479,-0.292,0.482,-0.259,0.0,2,1,7.068
1.25,0.1478,0.0006,-0.2019,0.0199,-0.025,0.85,0.479,-0.292,0.482,-0.259,0.0,2,1,7.031
1.281,0.1478,0.0006,-0.2019,0.0199,-0.025,0.85,0.483,-0.235,0.482,-0.259,0.0,2,1,7.031
1.311,0.1478,0.0006,-0.2019,0.0199,-0.025,0.85,0.483,-0.235,0.484,-0.226,0.0,2,1,7.031
1.343,0.1737,-0.0028,-0.2287,0.0171,-0.025,0.9,0.483,-0.235,0.484,-0.226,0.0,2,1,7.01
1.373,0.1737,-0.0028,-0.2287,0.0171,-0.025,0.9,0.486,-0.201,0.484,-0.226,0.0,2,1,7.01
1.404,0.1737,-0.0028,-0.2287,0.0171,-0.025,0.9,0.486,-0.201,0.486,-0.201,0.0,2,1,7.01
1.435,0.2065,-0.0086,-0.2576,0.0122,-0.025,0.9,0.486,-0.201,0.486,-0.201,0.0,2,1,6.985
