t,x,y,yaw,erro_trajeto,rumo_plano,folga,raw_v,raw_wz,saida_v,saida_wz,desencalhe,planos,objetivo_ativo,dist_alvo
0.001,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,2.032
0.031,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,2.032
0.061,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,2.032
0.092,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1,1,2.032
0.123,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.0,0.0,0.0,1,1,2.032
0.153,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.184,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.215,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.246,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.276,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.307,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.337,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.368,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.399,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.429,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.46,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.491,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.521,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.552,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.583,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.614,-0.0,-0.0,-0.0,0.019,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.032
0.645,0.0011,0.0001,-0.0011,0.0191,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.031
0.676,0.0011,0.0001,-0.0011,0.0191,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.031
0.706,0.0011,0.0001,-0.0011,0.0191,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.031
0.738,0.0103,0.0011,-0.0151,0.0201,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.022
0.769,0.0103,0.0011,-0.0151,0.0201,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.022
0.799,0.0103,0.0011,-0.0151,0.0201,0.0,0.7,0.499,-0.2,0.499,-0.2,0.0,1,1,2.022
0.83,0.0231,0.0025,-0.0357,0.0215,0.0,0.75,0.499,-0.2,0.499,-0.2,0.0,1,1,2.009
0.861,0.0231,0.0025,-0.0357,0.0215,0.0,0.75,0.499,-0.194,0.499,-0.2,0.0,1,1,2.009
0.891,0.0231,0.0025,-0.0357,0.0215,0.0,0.75,0.499,-0.194,0.499,-0.194,0.0,1,1,2.009
0.922,0.0467,0.0041,-0.0701,0.0231,0.0,0.75,0.499,-0.194,0.499,-0.194,0.0,1,1,1.986
0.953,0.0467,0.0041,-0.0701,0.0231,0.0,0.75,0.499,-0.188,0.499,-0.194,0.0,1,1,1.986
0.984,0.0467,0.0041,-0.0701,0.0231,0.0,0.75,0.499,-0.188,0.499,-0.188,0.0,1,1,1.986
1.015,0.0782,0.0042,-0.1066,0.0232,0.0,0.8,0.499,-0.188,0.499,-0.188,0.0,1,1,1.954
1.045,0.0782,0.0042,-0.1066,0.0232,0.0,0.8,0.499,-0.172,0.499,-0.188,0.0,1,1,1.954
1.076,0.0782,0.0042,-0.1066,0.0232,0.0,0.8,0.499,-0.172,0.499,-0.172,0.0,1,1,1.954
1.107,0.1042,0.0033,-0.134,0.0223,0.0,0.8,0.499,-0.172,0.499,-0.172,0.0,1,1,1.928
1.138,0.1042,0.0033,-0.134,0.0388,-0.027,0.8,0.499,-0.172,0.499,-0.172,0.0,2,1,1.928
1.169,0.1042,0.0033,-0.134,0.0388,-0.027,0.8,0.493,-0.113,0.499,-0.172,0.0,2,1,1.928
1.199,0.1042,0.0033,-0.134,0.0388,-0.027,0.8,0.493,-0.113,0.493,-0.113,0.0,2,1,1.928
1.23,0.1436,0.0003,-0.1716,0.0195,-0.027,0.85,0.493,-0.113,0.493,-0.113,0.0,2,1,1.889
1.261,0.1436,0.0003,-0.1716,0.0195,-0.027,0.85,0.5,0.0,0.493,-0.113,0.0,2,1,1.889
1.291,0.1436,0.0003,-0.1716,0.0195,-0.027,0.85,0.5,0.0,0.5,0.0,0.0,2,1,1.889
1.322,0.1769,-0.0038,-0.1966,0.0163,-0.027,0.9,0.5,0.0,0.5,0.0,0.0,2,1,1.855
1.353,0.1769,-0.0038,-0.1966,0.0163,-0.027,0.9,0.497,0.158,0.5,0.0,0.0,2,1,1.855
1.383,0.1769,-0.0038,-0.1966,0.0163,-0.027,0.9,0.497,0.158,0.497,0.158,0.0,2,1,1.855
1.415,0.2019,-0.008,-0.2083,0.0128,-0.027,0.9,0.497,0.158,0.497,0.158,0.0,2,1,1.83
1.445,0.2019,-0.008,-0.2083,0.0128,-0.027,0.9,0.499,0.206,0.497,0.158,0.0,2,1,1.83
1.476,0.2019,-0.008,-0.2083,0.0128,-0.027,0.9,0.499,0.206,0.499,0.206,0.0,2,1,1.83
1.507,0.2317,-0.014,-0.2124,0.0076,-0.027,0.95,0.499,0.206,0.499,0.206,0.0,2,1,1.8
1.538,0.2317,-0.014,-0.2124,0.0076,-0.027,0.95,0.497,0.251,0.499,0.206,0.0,2,1,1.8
1.569,0.2317,-0.014,-0.2124,0.0076,-0.027,0.95,0.497,0.251,0.497,0.251,0.0,2,1,1.8
1.601,0.2606,-0.0203,-0.2113,0.002,-0.027,0.95,0.497,0.251,0.497,0.251,0.0,2,1,1.771
1.631,0.2606,-0.0203,-0.2113,0.002,-0.027,0.95,0.497,0.264,0.497,0.251,0.0,2,1,1.771
1.662,0.2606,-0.0203,-0.2113,0.002,-0.027,0.95,0.497,0.264,0.495,0.284,0.0,2,1,1.771
1.693,0.2834,-0.0255,-0.208,0.0025,-0.027,1.0,0.497,0.264,0.495,0.284,0.0,2,1,1.748
1.724,0.2834,-0.0255,-0.208,0.0025,-0.027,1.0,0.495,0.294,0.495,0.284,0.0,2,1,1.748
1.754,0.2834,-0.0255,-0.208,0.0025,-0.027,1.0,0.495,0.294,0.494,0.301,0.0,2,1,1.748
1.785,0.3115,-0.0318,-0.2023,0.008,-0.027,1.05,0.495,0.294,0.494,0.301,0.0,2,1,1.719
1.815,0.3115,-0.0318,-0.2023,0.008,-0.027,1.05,0.493,0.312,0.494,0.301,0.0,2,1,1.719
1.846,0.3115,-0.0318,-0.2023,0.008,-0.027,1.05,0.493,0.312,0.493,0.316,0.0,2,1,1.719
1.877,0.334,-0.0368,-0.1974,0.0124,-0.027,1.05,0.493,0.312,0.493,0.316,0.0,2,1,1.697
1.907,0.334,-0.0368,-0.1974,0.0124,-0.027,1.05,0.493,0.322,0.493,0.316,0.0,2,1,1.697
1.937,0.334,-0.0368,-0.1974,0.0124,-0.027,1.05,0.493,0.322,0.493,0.322,0.0,2,1,1.697
