t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.0,-0.0,-0.0,2.032,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.051,-0.0,-0.0,-0.0,2.032,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.0,-0.0,-0.0,2.032,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-0.0,-0.0,-0.0,2.032,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.201,-0.0,-0.0,-0.0,2.032,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.0,-0.0,-0.0,2.032,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-0.0,-0.0,-0.0,2.032,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.351,-0.0,-0.0,-0.0,2.032,42,,,0.0,0.0,0.4986,-0.2121,0.4986,-0.2121,0.0
0.4,-0.0,-0.0,-0.0,2.032,42,,,0.4986,-0.2121,0.4986,-0.2121,0.4986,-0.2121,0.0
0.45,0.0011,0.0001,-0.0011,2.0309,42,,,0.4986,-0.2121,0.4986,-0.2121,0.4986,-0.2121,0.0
0.5,0.0043,0.0005,-0.0063,2.0277,42,,,0.4987,-0.2068,0.4987,-0.2068,0.4987,-0.2068,0.0
0.55,0.0103,0.0011,-0.0151,2.0218,42,,,0.4989,-0.2012,0.4989,-0.2012,0.4989,-0.2012,0.0
0.6,0.0167,0.0019,-0.0254,2.0154,42,,,0.4992,-0.1861,0.4992,-0.1861,0.4992,-0.1861,0.0
0.65,0.0231,0.0025,-0.0357,2.009,42,-0.0778,-0.0421,0.4915,-0.1634,0.4915,-0.1634,0.4915,-0.1634,0.0
0.7,0.0371,0.0035,-0.0563,1.9951,42,-0.0827,-0.0264,0.4922,-0.1311,0.4922,-0.1311,0.4922,-0.1311,0.0
0.75,0.0468,0.0041,-0.0706,1.9854,42,-0.0863,-0.0157,0.5,0.0,0.5,0.0,0.4922,-0.1311,0.0
0.8,0.0591,0.0043,-0.0859,1.9731,42,-0.0915,-0.0056,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.85,0.072,0.0043,-0.1004,1.9603,42,-0.0915,0.0089,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.901,0.0849,0.0041,-0.1146,1.9473,42,-0.0863,0.0283,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.95,0.0979,0.0036,-0.1285,1.9343,42,-0.0895,0.039,0.4966,0.1454,0.4966,0.1454,0.4966,0.1454,0.0
1.0,0.1109,0.003,-0.1423,1.9213,40,-0.0911,0.0512,0.4977,0.1781,0.4966,0.1454,0.4966,0.1454,0.0
1.051,0.1306,0.0016,-0.1615,1.9016,40,-0.0798,0.0816,0.4984,0.1962,0.4977,0.1781,0.4977,0.1781,0.0
1.1,0.1437,0.0004,-0.1738,1.8885,40,-0.0797,0.0941,0.4981,0.2295,0.4981,0.2295,0.4981,0.2295,0.0
1.151,0.157,-0.0011,-0.1846,1.8751,40,-0.0782,0.1063,0.4973,0.2508,0.4981,0.2295,0.4981,0.2295,0.0
1.2,0.1704,-0.0029,-0.1944,1.8617,40,-0.0782,0.1162,0.4973,0.2508,0.4973,0.2508,0.4973,0.2508,0.0
1.25,0.1833,-0.0048,-0.2026,1.8486,40,-0.0703,0.1322,0.4963,0.2696,0.4973,0.2508,0.4973,0.2508,0.0
1.3,0.1958,-0.0069,-0.2084,1.8361,40,-0.0663,0.1421,0.4954,0.2848,0.4954,0.2848,0.4954,0.2848,0.0
1.35,0.2142,-0.0104,-0.2144,1.8175,40,-0.0628,0.1516,0.4948,0.2948,0.4948,0.2948,0.4948,0.2948,0.0
1.4,0.226,-0.0129,-0.2152,1.8057,40,-0.0525,0.1627,0.4942,0.302,0.4942,0.302,0.4942,0.302,0.0
1.45,0.2435,-0.0167,-0.2157,1.788,40,-0.0478,0.1679,0.4934,0.3128,0.4934,0.3128,0.4934,0.3128,0.0
1.501,0.255,-0.0192,-0.2152,1.7764,40,-0.0401,0.1751,0.493,0.3172,0.493,0.3172,0.493,0.3172,0.0
1.55,0.2666,-0.0218,-0.2147,1.7647,40,-0.0345,0.1802,0.4924,0.3239,0.493,0.3172,0.493,0.3172,0.0
1.6,0.2779,-0.0244,-0.213,1.7533,40,-0.0254,0.1876,0.4921,0.3273,0.4924,0.3239,0.4924,0.3239,0.0
