t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
12.455,seguindo,-0.0,-0.0,-0.0,-0.0467,-0.0467,0.5,7.2103,8.6714,-0.0
12.5,seguindo,-0.0,-0.0,-0.0,-0.0467,-0.0467,0.5,7.2103,8.6714,-0.0
12.551,seguindo,-0.0,-0.0,-0.0,-0.0467,-0.0467,0.5,7.2103,8.6714,-0.0
12.6,seguindo,-0.0,-0.0,-0.0,-0.0467,-0.0467,0.5,7.2103,8.6714,-0.0
12.651,seguindo,-0.0,-0.0,-0.0,-0.0467,-0.0467,0.5,7.2103,8.6714,-0.0
12.7,seguindo,-0.0,-0.0,-0.0,-0.0467,-0.0467,0.5,7.2103,8.6714,-0.0
12.75,seguindo,-0.0,-0.0,-0.0,-0.0467,-0.0467,0.5,7.2103,8.6714,-0.0
12.8,seguindo,-0.0,-0.0,-0.0,-0.0467,-0.0467,0.5,7.2103,8.6714,-0.0
12.85,seguindo,-0.0,-0.0,-0.0,-0.0467,-0.0467,0.5,7.2103,8.6714,-0.0
12.9,seguindo,-0.0,-0.0,-0.0,-0.0467,-0.0467,0.5,7.2103,8.6714,-0.0
12.95,seguindo,0.0028,0.0003,-0.0037,-0.0471,-0.0434,0.5,7.2078,8.6714,0.0005
13.0,seguindo,0.006,0.0007,-0.0089,-0.0476,-0.0387,0.5,7.2048,8.6714,0.0012
13.05,seguindo,0.0136,0.0015,-0.0203,-0.0487,-0.0284,0.5,7.1979,8.6714,0.0027
13.1,seguindo,0.02,0.0022,-0.0305,-0.0497,-0.0192,0.5,7.1921,8.6714,0.0039
13.15,seguindo,0.0323,0.003,-0.0463,-0.051,-0.0048,0.5,7.1812,8.6714,0.0058
13.2,seguindo,0.042,0.0033,-0.0564,-0.0519,0.0046,0.5,7.1728,8.6714,0.007
13.25,seguindo,0.0592,0.0035,-0.0724,-0.0487,0.0236,0.5,7.1581,8.5122,0.0087
13.301,seguindo,0.0785,0.0032,-0.0877,-0.0493,0.0384,0.5,7.1419,8.5122,0.0101
13.35,seguindo,0.0917,0.0027,-0.0975,-0.1357,-0.0382,0.5,7.1309,8.6191,0.0029
13.4,seguindo,0.1051,0.0021,-0.1066,-0.1368,-0.0303,0.5,7.1199,8.6191,0.0046
13.45,seguindo,0.1247,0.0008,-0.1178,-0.1341,-0.0163,0.5,7.104,8.4955,0.0067
