t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.0,-0.0,-0.0,7.2103,112,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.049,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.099,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.152,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.2,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.252,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.301,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.349,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.4,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.452,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.5,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.552,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.602,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.65,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.699,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.752,-0.0,-0.0,-0.0,7.2103,112,-0.0006,-0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.799,0.0011,0.0001,-0.0011,7.2092,112,-0.0006,0.0006,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.849,0.0027,0.0003,-0.0037,7.2078,112,-0.0008,0.0028,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.901,0.0059,0.0007,-0.0088,7.2048,112,-0.0008,0.008,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.95,0.0075,0.0009,-0.0114,7.2034,112,-0.0012,0.0102,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.0,0.0135,0.0015,-0.0201,7.198,112,-0.0012,0.0189,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.051,0.0168,0.0018,-0.0252,7.195,112,-0.002,0.0232,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.1,0.0233,0.0025,-0.0354,7.1892,111,-0.0009,0.0345,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.151,0.0324,0.003,-0.0461,7.1811,111,-0.0009,0.0452,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.203,0.0373,0.0031,-0.0512,7.1769,111,-0.0014,0.0498,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.25,0.0421,0.0033,-0.0562,7.1727,111,-0.0014,0.0549,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.3,0.0529,0.0035,-0.0668,7.1634,111,-0.0017,0.0651,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.351,0.0658,0.0034,-0.0773,7.1525,111,-0.002,0.0753,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.4,0.0723,0.0033,-0.0824,7.1471,111,-0.002,0.0804,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.451,0.0853,0.003,-0.0927,7.1362,111,-0.0019,0.0908,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.499,0.092,0.0027,-0.0974,7.1306,111,-0.0014,0.096,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.549,0.1054,0.0021,-0.1066,7.1196,111,-0.0014,0.1052,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.6,0.112,0.0018,-0.1112,7.1142,111,-0.0008,0.1104,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.649,0.1249,0.0008,-0.1175,7.1038,111,-0.0008,0.1167,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.7,0.1377,-0.0002,-0.1234,7.0935,111,0.0004,0.1239,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.749,0.1441,-0.0008,-0.1264,7.0884,111,0.0009,0.1274,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.799,0.1563,-0.0021,-0.1294,7.0788,111,0.0027,0.1322,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.85,0.1685,-0.0035,-0.1321,7.0692,111,0.0027,0.1348,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.902,0.1746,-0.0042,-0.1334,7.0644,111,0.0048,0.1381,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.949,0.1864,-0.0058,-0.133,7.0554,111,0.0048,0.1378,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.999,0.1981,-0.0074,-0.1326,7.0463,111,0.0064,0.139,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.052,0.204,-0.0082,-0.1324,7.0418,111,0.008,0.1404,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.099,0.2154,-0.0099,-0.1301,7.0331,111,0.0106,0.1407,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.149,0.2268,-0.0116,-0.1277,7.0244,113,0.0106,0.1383,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.201,0.2381,-0.0133,-0.1249,7.0158,113,-0.1043,0.0206,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.249,0.2494,-0.0149,-0.1217,7.0072,113,-0.1035,0.0182,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.299,0.2607,-0.0166,-0.1186,6.9985,113,-0.0899,0.0287,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.35,0.2721,-0.0181,-0.1158,6.9899,113,-0.0984,0.0174,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.399,0.2892,-0.0204,-0.1118,6.9768,113,-0.0978,0.0139,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.45,0.3006,-0.0219,-0.1094,6.968,113,-0.0978,0.0116,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.5,0.312,-0.0233,-0.1071,6.9592,113,-0.0975,0.0096,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.549,0.3235,-0.0247,-0.1049,6.9503,113,-0.0972,0.0077,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.599,0.3408,-0.0267,-0.1019,6.937,113,-0.0968,0.0051,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.65,0.3523,-0.0281,-0.1,6.9281,113,-0.0842,0.0158,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.701,0.3581,-0.0287,-0.0992,6.9236,113,-0.0842,0.015,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.751,0.3697,-0.03,-0.0975,6.9147,113,-0.0837,0.0137,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.8,0.3812,-0.0312,-0.0957,6.9057,113,-0.0834,0.0123,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.85,0.3986,-0.0331,-0.0932,6.8923,113,-0.083,0.0102,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.899,0.4102,-0.0343,-0.0915,6.8833,113,-0.0828,0.0088,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.949,0.4218,-0.0355,-0.0898,6.8743,113,-0.0824,0.0074,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.999,0.4391,-0.0373,-0.0872,6.8609,113,-0.0706,0.0167,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.049,0.4507,-0.0384,-0.0854,6.8519,113,-0.0701,0.0153,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.099,0.4622,-0.0395,-0.0836,6.843,113,-0.0697,0.0138,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.149,0.4796,-0.0412,-0.0809,6.8295,113,-0.0693,0.0116,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.2,0.4912,-0.0423,-0.0791,6.8205,107,-0.092,-0.0128,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.25,0.5028,-0.0433,-0.0774,6.8115,107,-0.092,-0.0146,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.299,0.5143,-0.0443,-0.0757,6.8025,107,-0.092,-0.0163,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.35,0.5317,-0.0459,-0.0729,6.789,107,-0.092,-0.0191,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.4,0.5433,-0.0468,-0.0711,6.78,107,-0.1101,-0.039,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.451,0.5548,-0.0478,-0.0692,6.771,107,-0.1103,-0.0411,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.501,0.5606,-0.0483,-0.0683,6.7665,107,-0.1103,-0.042,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.55,0.5722,-0.0492,-0.0664,6.7575,107,-0.1108,-0.0443,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.601,0.578,-0.0497,-0.0655,6.753,107,-0.1113,-0.0458,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.653,0.5896,-0.0506,-0.0637,6.7439,107,-0.1117,-0.048,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.699,0.6012,-0.0514,-0.0619,6.7349,107,-0.1117,-0.0498,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.752,0.607,-0.0519,-0.0611,6.7304,107,-0.1076,-0.0466,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.799,0.6186,-0.0527,-0.0593,6.7213,107,-0.1076,-0.0484,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.849,0.6302,-0.0535,-0.0575,6.7123,107,-0.1082,-0.0507,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.9,0.6417,-0.0544,-0.0556,6.7032,107,-0.1086,-0.0529,0.5,0.0,0.5,0.0,0.5,0.0,0.0
3.95,0.6533,-0.0551,-0.0538,6.6942,107,-0.1093,-0.0555,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.0,0.6649,-0.0559,-0.052,6.6851,107,-0.1098,-0.0578,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.049,0.6765,-0.0566,-0.0502,6.676,107,-0.1042,-0.0541,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.099,0.6939,-0.0577,-0.0475,6.6624,107,-0.1047,-0.0572,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.149,0.7055,-0.0584,-0.0457,6.6533,107,-0.1054,-0.0598,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.2,0.7229,-0.0594,-0.0429,6.6397,107,-0.106,-0.0631,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.249,0.7345,-0.06,-0.0411,6.6306,104,-0.106,-0.0649,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.299,0.7461,-0.0606,-0.0393,6.6215,104,-0.0321,0.0072,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.349,0.7519,-0.0609,-0.0384,6.617,104,-0.0319,0.0065,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.399,0.7693,-0.0618,-0.0357,6.6033,104,-0.0312,0.0046,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.45,0.781,-0.0624,-0.034,6.5942,104,-0.031,0.003,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.499,0.7926,-0.0629,-0.0322,6.585,104,-0.0185,0.0137,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.549,0.81,-0.0636,-0.0295,6.5714,104,-0.0182,0.0113,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.599,0.8216,-0.0641,-0.0277,6.5622,104,-0.0178,0.0099,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.649,0.839,-0.0648,-0.025,6.5485,104,-0.0176,0.0074,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.699,0.8507,-0.0652,-0.0234,6.5393,104,-0.0173,0.0061,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.749,0.8681,-0.0658,-0.0208,6.5256,104,-0.0173,0.0036,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.799,0.8797,-0.0662,-0.0191,6.5164,104,-0.0168,0.0022,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.849,0.8971,-0.0667,-0.0164,6.5027,104,-0.0167,-0.0003,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.9,0.9088,-0.067,-0.0145,6.4935,104,-0.0167,-0.0021,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.949,0.9204,-0.0674,-0.0127,6.4843,104,-0.0165,-0.0038,0.5,0.0,0.5,0.0,0.5,0.0,0.0
4.999,0.932,-0.0676,-0.0109,6.4752,104,-0.0163,-0.0055,0.5,0.0,0.5,0.0,0.5,0.0,0.0
5.05,0.9436,-0.0679,-0.0091,6.466,104,-0.0164,-0.0073,0.5,0.0,0.5,0.0,0.5,0.0,0.0
5.101,0.9552,-0.0681,-0.0073,6.4568,104,-0.0164,-0.0091,0.5,0.0,0.5,0.0,0.5,0.0,0.0
5.15,0.9668,-0.0684,-0.0054,6.4476,104,-0.0163,-0.0109,0.5,0.0,0.5,0.0,0.5,0.0,0.0
