t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
11.704,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,7.2103,251.5463,-0.0
11.75,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,7.2103,251.5463,-0.0
11.8,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,7.2103,251.5463,-0.0
11.851,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,7.2103,251.5463,-0.0
11.9,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,7.2103,251.5463,-0.0
11.95,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,7.2103,251.5463,-0.0
12.0,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,7.2103,251.5463,-0.0
12.05,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,7.2103,251.5463,-0.0
12.1,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,7.2103,251.5463,-0.0
12.15,seguindo,0.0028,0.0003,-0.0037,-0.0009,0.0029,0.5,7.2078,251.5463,0.0003
12.2,seguindo,0.006,0.0007,-0.0089,-0.0012,0.0077,0.5,7.2048,251.5463,0.0007
12.25,seguindo,0.0118,0.0014,-0.0182,-0.0019,0.0163,0.5,7.1995,251.5463,0.0014
12.3,seguindo,0.016,0.0018,-0.025,-0.0024,0.0227,0.5,7.1957,251.5463,0.0018
12.35,seguindo,0.0224,0.0025,-0.0352,-0.003,0.0322,0.5,7.1899,251.5463,0.0025
12.4,seguindo,0.0266,0.0029,-0.042,-0.0034,0.0386,0.5,7.1861,251.5463,0.0029
12.45,seguindo,0.033,0.0034,-0.0522,-0.004,0.0482,0.5,7.1804,251.5463,0.0034
12.5,seguindo,0.0373,0.0037,-0.059,-0.0043,0.0547,0.5,7.1766,251.5463,0.0037
12.55,seguindo,0.0492,0.0037,-0.0706,-0.0045,0.0661,0.5,7.1665,135.6886,0.0037
12.6,seguindo,0.0625,0.0034,-0.0798,-0.0043,0.0755,0.5,7.1553,135.6886,0.0034
12.65,seguindo,0.0822,0.0027,-0.0913,-0.0036,0.0877,0.5,7.139,135.6886,0.0027
12.7,seguindo,0.1016,0.0016,-0.1013,-0.165,-0.0637,0.5,7.1231,3.4244,0.0018
12.75,seguindo,0.1144,0.0008,-0.1071,-0.1663,-0.0592,0.5,7.1127,3.4244,0.0024
12.8,seguindo,0.1271,-0.0002,-0.1126,-0.1696,-0.057,0.5,7.1024,4.5488,0.003
12.85,seguindo,0.1462,-0.0017,-0.1208,-0.1712,-0.0504,0.5,7.0871,4.5488,0.0038
12.9,seguindo,0.1589,-0.0029,-0.1262,-0.1722,-0.046,0.5,7.0769,4.5488,0.0042
12.95,seguindo,0.1777,-0.0048,-0.1327,-0.1735,-0.0408,0.5,7.0622,4.5488,0.0046
13.0,seguindo,0.19,-0.0062,-0.136,-0.1743,-0.0383,0.5,7.0525,4.5488,0.0048
13.05,seguindo,0.2078,-0.0086,-0.1369,-0.1777,-0.0408,0.5,7.0387,4.7077,0.0046
13.1,seguindo,0.2195,-0.0102,-0.1359,-0.1781,-0.0422,0.5,7.0298,4.7077,0.0044
13.15,seguindo,0.2366,-0.0128,-0.1325,-0.1785,-0.046,0.5,7.0168,4.7077,0.0039
13.2,seguindo,0.2479,-0.0146,-0.1295,-0.1788,-0.0493,0.5,7.0082,4.7077,0.0036
13.25,seguindo,0.2649,-0.0171,-0.1252,-0.1793,-0.0542,0.5,6.9953,4.7077,0.0032
13.3,seguindo,0.2762,-0.0187,-0.1223,-0.1911,-0.0687,0.5,6.9881,4.7077,0.0037
13.35,seguindo,0.2933,-0.0211,-0.1182,-0.1951,-0.0768,0.5,6.975,3.4244,0.0036
13.4,seguindo,0.3047,-0.0227,-0.1156,-0.1957,-0.0801,0.5,6.9662,3.4244,0.0036
13.45,seguindo,0.3218,-0.0249,-0.1119,-0.1968,-0.0849,0.5,6.953,3.4244,0.0037
13.5,seguindo,0.3332,-0.0264,-0.1095,-0.1976,-0.0881,0.5,6.9441,3.4244,0.0038
13.55,seguindo,0.3504,-0.0285,-0.1062,-0.085,0.0213,0.5,6.9308,24.27,0.001
13.6,seguindo,0.3619,-0.0299,-0.1042,-0.0846,0.0196,0.5,6.9219,24.27,0.0006
13.65,seguindo,0.3793,-0.0319,-0.1016,-0.0841,0.0175,0.5,6.9084,24.27,-0.0001
13.7,seguindo,0.3908,-0.0332,-0.0999,-0.0842,0.0157,0.5,6.8994,22.2377,-0.0004
13.75,seguindo,0.4082,-0.0352,-0.0975,-0.0837,0.0137,0.5,6.8858,22.2377,-0.001
13.8,seguindo,0.4198,-0.0364,-0.0959,-0.0835,0.0124,0.5,6.8768,22.2377,-0.0013
13.851,seguindo,0.4372,-0.0383,-0.0934,-0.0831,0.0103,0.5,6.8633,22.2377,-0.0018
13.9,seguindo,0.4545,-0.0401,-0.0909,-0.0827,0.0082,0.5,6.8497,22.2377,-0.0023
13.95,seguindo,0.4661,-0.0413,-0.0891,-0.0826,0.0065,0.5,6.8407,20.019,-0.0026
14.0,seguindo,0.4777,-0.0424,-0.0874,-0.0824,0.005,0.5,6.8317,20.019,-0.0028
14.05,seguindo,0.495,-0.0441,-0.0847,-0.0821,0.0026,0.5,6.8182,20.019,-0.0032
14.1,seguindo,0.5066,-0.0453,-0.083,-0.082,0.001,0.5,6.8091,20.019,-0.0034
14.15,seguindo,0.524,-0.0469,-0.0803,-0.0832,-0.0029,0.5,6.7852,20.019,-0.0029
14.2,seguindo,0.5355,-0.048,-0.0785,-0.0826,-0.0041,0.5,6.7762,24.27,-0.003
14.25,seguindo,0.5529,-0.0495,-0.0758,-0.0824,-0.0067,0.5,6.7626,24.27,-0.0032
14.3,seguindo,0.5645,-0.0505,-0.074,-0.0824,-0.0084,0.5,6.7536,24.27,-0.0033
14.35,seguindo,0.5818,-0.052,-0.0712,-0.0823,-0.0111,0.5,6.74,24.27,-0.0034
14.4,seguindo,0.5934,-0.053,-0.0694,-0.0823,-0.0129,0.5,6.7309,24.27,-0.0035
14.45,seguindo,0.6108,-0.0544,-0.0667,-0.0809,-0.0141,0.5,6.7173,22.2377,-0.0035
14.5,seguindo,0.6224,-0.0553,-0.0649,-0.0886,-0.0237,0.5,6.7083,12.5082,0.0014
14.55,seguindo,0.6397,-0.0566,-0.0623,-0.084,-0.0218,0.5,6.6946,8.289,0.0018
14.6,seguindo,0.6571,-0.0579,-0.0596,-0.0842,-0.0247,0.5,6.681,8.289,0.0023
14.65,seguindo,0.6687,-0.0587,-0.0578,-0.0844,-0.0266,0.5,6.6719,8.289,0.0026
14.7,seguindo,0.6803,-0.0596,-0.056,-0.0845,-0.0285,0.5,6.6628,8.289,0.0029
14.75,seguindo,0.6977,-0.0607,-0.0533,-0.0848,-0.0315,0.5,6.6491,8.289,0.0034
14.8,seguindo,0.7093,-0.0615,-0.0515,-0.0851,-0.0335,0.5,6.64,8.289,0.0038
14.85,seguindo,0.7267,-0.0626,-0.0488,-0.0797,-0.0308,0.5,6.6263,5.9836,0.0044
14.9,seguindo,0.7383,-0.0633,-0.0471,-0.0799,-0.0328,0.5,6.6172,5.9836,0.0049
14.95,seguindo,0.7557,-0.0643,-0.0444,-0.0802,-0.0359,0.5,6.6035,5.9836,0.0056
15.0,seguindo,0.7673,-0.0649,-0.0426,-0.0805,-0.0379,0.5,6.5943,5.9836,0.0061
15.05,seguindo,0.7847,-0.0659,-0.0399,-0.081,-0.0411,0.5,6.5806,5.9836,0.0068
15.1,seguindo,0.7964,-0.0665,-0.0381,-0.0755,-0.0374,0.5,6.5715,4.9067,0.0074
15.15,seguindo,0.8138,-0.0673,-0.0354,-0.1021,-0.0667,0.5,6.5534,4.9067,0.0149
15.2,seguindo,0.8254,-0.0679,-0.0336,-0.1028,-0.0691,0.5,6.5441,4.9067,0.0157
15.25,seguindo,0.8428,-0.0687,-0.0309,-0.1037,-0.0728,0.5,6.5301,4.9067,0.017
15.3,seguindo,0.8544,-0.0692,-0.0292,-0.1044,-0.0753,0.5,6.5208,4.9067,0.0179
15.35,seguindo,0.8718,-0.0699,-0.0265,-0.1055,-0.0791,0.5,6.5068,4.9067,0.0192
15.402,seguindo,0.8892,-0.0705,-0.0238,-0.0512,-0.0274,0.5,6.4928,11.4012,0.0079
15.45,seguindo,0.9009,-0.0709,-0.022,-0.0514,-0.0294,0.5,6.4834,11.4012,0.0078
15.5,seguindo,0.9125,-0.0713,-0.0202,-0.0516,-0.0314,0.5,6.4741,11.4012,0.0078
15.55,seguindo,0.9299,-0.0719,-0.0175,-0.0568,-0.0393,0.5,6.4601,7.4182,0.0078
15.6,seguindo,0.9473,-0.0724,-0.0148,-0.0573,-0.0424,0.5,6.446,7.4182,0.0079
15.65,seguindo,0.959,-0.0727,-0.0131,-0.0576,-0.0446,0.5,6.4366,7.4182,0.0079
15.7,seguindo,0.9706,-0.073,-0.0113,-0.058,-0.0467,0.5,6.4273,7.4182,0.008
15.75,seguindo,0.988,-0.0734,-0.0086,-0.0586,-0.05,0.5,6.4132,7.4182,0.0082
15.8,seguindo,0.9996,-0.0736,-0.0068,-0.0652,-0.0584,0.5,6.4038,5.1977,0.0083
15.85,seguindo,1.017,-0.0739,-0.004,-0.066,-0.0619,0.5,6.3897,5.1977,0.0085
15.9,seguindo,1.0287,-0.0741,-0.0022,-0.0665,-0.0643,0.5,6.3803,5.1977,0.0087
15.95,seguindo,1.0461,-0.0743,0.0005,-0.0674,-0.0679,0.5,6.3662,5.1977,0.009
16.0,seguindo,1.0577,-0.0745,0.0023,-0.068,-0.0703,0.5,6.3568,5.1977,0.0093
16.05,seguindo,1.0751,-0.0746,0.005,-0.0761,-0.081,0.5,6.3525,5.1977,0.0063
16.1,seguindo,1.0868,-0.0747,0.0068,-0.0769,-0.0836,0.5,6.343,5.1977,0.0067
16.15,seguindo,1.1042,-0.0748,0.0095,-0.0852,-0.0946,0.5,6.3287,4.0378,0.0074
16.2,seguindo,1.1158,-0.0748,0.0112,-0.0861,-0.0973,0.5,6.3192,4.0378,0.0078
16.25,seguindo,1.1333,-0.0748,0.0139,-0.0875,-0.1015,0.5,6.3049,4.0378,0.0086
16.3,seguindo,1.1507,-0.0748,0.0166,-0.0891,-0.1057,0.5,6.2906,4.0378,0.0094
16.35,seguindo,1.1623,-0.0747,0.0184,-0.0902,-0.1085,0.5,6.2811,4.0378,0.0099
16.4,seguindo,1.1739,-0.0746,0.0202,-0.1197,-0.1398,0.5,6.2716,8.186,-0.0045
16.45,seguindo,1.1914,-0.0745,0.0229,-0.1218,-0.1447,0.5,6.2572,8.186,-0.0012
16.5,seguindo,1.203,-0.0743,0.0246,-0.1234,-0.148,0.5,6.2477,8.186,-0.0006
16.55,seguindo,1.2204,-0.0741,0.0273,-0.1255,-0.1529,0.5,6.2334,223.2406,0.0004
16.6,seguindo,1.2321,-0.0739,0.0291,-0.1271,-0.1562,0.5,6.2238,223.2406,0.0011
16.65,seguindo,1.2495,-0.0736,0.0318,-0.1295,-0.1613,0.5,6.2094,223.2406,0.0021
16.7,seguindo,1.2611,-0.0734,0.0336,-0.1311,-0.1647,0.5,6.1999,223.2406,0.0031
