t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.0,-0.0,-0.0,7.2103,103,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.049,-0.0,-0.0,-0.0,7.2103,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.1,-0.0,-0.0,-0.0,7.2103,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.149,-0.0,-0.0,-0.0,7.2103,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.199,-0.0,-0.0,-0.0,7.2103,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.249,-0.0,-0.0,-0.0,7.2103,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.299,-0.0,-0.0,-0.0,7.2103,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.349,-0.0,-0.0,-0.0,7.2103,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.399,-0.0,-0.0,-0.0,7.2103,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.45,0.0011,0.0001,-0.0011,7.2093,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.499,0.0058,0.0007,-0.0087,7.2049,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.549,0.0101,0.0011,-0.0148,7.2011,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.599,0.0165,0.0018,-0.025,7.1952,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.649,0.023,0.0025,-0.0352,7.1894,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.699,0.0321,0.003,-0.0459,7.1814,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.749,0.0418,0.0033,-0.056,7.173,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.799,0.0526,0.0035,-0.0666,7.1637,103,,,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.849,0.0718,0.0033,-0.0823,7.1475,103,-0.0637,0.0185,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.899,0.0848,0.003,-0.0925,7.1366,103,-0.0644,0.0281,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.949,0.1048,0.0021,-0.1064,7.1201,103,-0.0651,0.0413,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.001,0.1179,0.0013,-0.1144,7.1094,103,-0.0653,0.0491,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.05,0.1307,0.0003,-0.1204,7.0991,104,-0.0653,0.0551,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.099,0.1436,-0.0008,-0.1264,7.0888,104,-0.1328,-0.0063,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.149,0.1617,-0.0029,-0.1294,7.0746,104,-0.1313,-0.0019,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.199,0.1738,-0.0043,-0.1311,7.0652,104,-0.1314,-0.0003,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.249,0.1856,-0.0059,-0.131,7.056,104,-0.1315,-0.0005,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.299,0.2033,-0.0082,-0.1308,7.0424,104,-0.1315,-0.0007,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.349,0.2147,-0.0099,-0.1285,7.0337,104,-0.1313,-0.0028,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.399,0.2318,-0.0123,-0.125,7.0206,104,-0.1312,-0.0062,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.449,0.2431,-0.014,-0.1219,7.012,104,-0.131,-0.0091,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.499,0.2601,-0.0164,-0.1173,6.999,104,-0.1308,-0.0136,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.549,0.2714,-0.018,-0.1145,6.9903,104,-0.1328,-0.0183,0.5,0.0,0.5,0.0,0.5,0.0,0.0
