t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
12.3,seguindo,-0.0,-0.0,-0.0,-0.0582,-0.0582,0.5,7.2103,13.3152,-0.0
12.35,seguindo,-0.0,-0.0,-0.0,-0.0582,-0.0582,0.5,7.2103,13.3152,-0.0
12.4,seguindo,-0.0,-0.0,-0.0,-0.0582,-0.0582,0.5,7.2103,13.3152,-0.0
12.45,seguindo,-0.0,-0.0,-0.0,-0.0582,-0.0582,0.5,7.2103,13.3152,-0.0
12.5,seguindo,-0.0,-0.0,-0.0,-0.0582,-0.0582,0.5,7.2103,13.3152,-0.0
12.55,seguindo,-0.0,-0.0,-0.0,-0.0582,-0.0582,0.5,7.2103,13.3152,-0.0
12.6,seguindo,-0.0,-0.0,-0.0,-0.0582,-0.0582,0.5,7.2103,13.3152,-0.0
12.65,seguindo,-0.0,-0.0,-0.0,-0.0582,-0.0582,0.5,7.2103,13.3152,-0.0
12.7,seguindo,-0.0,-0.0,-0.0,-0.0582,-0.0582,0.5,7.2103,13.3152,-0.0
12.75,seguindo,0.0027,0.0003,-0.0037,-0.0587,-0.055,0.5,7.2078,13.3152,0.0005
12.8,seguindo,0.0059,0.0007,-0.0088,-0.0593,-0.0504,0.5,7.2048,13.3152,0.0011
12.85,seguindo,0.0135,0.0015,-0.0202,-0.0605,-0.0404,0.5,7.198,13.3152,0.0025
12.9,seguindo,0.0199,0.0022,-0.0303,-0.0616,-0.0313,0.5,7.1922,13.3152,0.0036
13.175,seguindo,0.0231,0.0025,-0.0354,-0.0621,-0.0267,0.5,7.1893,13.3152,0.0042
13.227,seguindo,0.0231,0.0025,-0.0354,-0.0621,-0.0267,0.5,7.1893,13.3152,0.0042
13.25,seguindo,0.0716,0.0031,-0.0793,-0.131,-0.0517,0.5,7.1477,95.6751,0.0002
13.3,seguindo,0.0716,0.0031,-0.0793,-0.131,-0.0517,0.5,7.1478,95.6751,0.0002
13.35,seguindo,0.0716,0.0031,-0.0793,-0.131,-0.0517,0.5,7.1477,95.6751,0.0002
13.4,seguindo,0.0716,0.0031,-0.0793,-0.131,-0.0517,0.5,7.1477,95.6751,0.0002
13.45,seguindo,0.0716,0.0031,-0.0793,-0.131,-0.0517,0.5,7.1477,95.6751,0.0002
13.5,seguindo,0.0716,0.0031,-0.0793,-0.131,-0.0517,0.5,7.1477,95.6751,0.0002
13.55,seguindo,0.0716,0.0031,-0.0793,-0.131,-0.0517,0.5,7.1477,95.6751,0.0002
13.6,seguindo,0.0716,0.0031,-0.0793,-0.131,-0.0517,0.5,7.1477,95.6751,0.0002
13.65,seguindo,0.0744,0.0028,-0.0786,-0.1311,-0.0524,0.5,7.1455,95.6751,0.0002
13.7,seguindo,0.0776,0.0025,-0.0777,-0.1312,-0.0534,0.5,7.143,95.6751,0.0003
13.75,seguindo,0.0852,0.0021,-0.0804,-0.1318,-0.0514,0.5,7.1368,95.6751,0.0009
13.8,seguindo,0.0916,0.0019,-0.0846,-0.1324,-0.0478,0.5,7.1314,95.6751,0.0016
13.85,seguindo,0.104,0.0016,-0.0952,-0.1338,-0.0386,0.5,7.1211,95.6751,0.0029
13.9,seguindo,0.1137,0.0014,-0.1047,-0.135,-0.0303,0.5,7.113,95.6751,0.004
13.95,seguindo,0.1308,0.0007,-0.12,-0.1343,-0.0142,0.5,7.0988,34.8162,0.0055
14.0,seguindo,0.1437,-0.0001,-0.1302,-0.1352,-0.005,0.5,7.0884,34.8162,0.0064
14.05,seguindo,0.1633,-0.0016,-0.145,-0.1363,0.0087,0.5,7.0726,34.8162,0.0074
14.1,seguindo,0.1766,-0.0029,-0.1542,-0.1369,0.0173,0.5,7.062,34.8162,0.0079
