t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.0,-0.0,-0.0,7.2103,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0,-0.0,-0.0,7.2103,104,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.101,-0.0,-0.0,-0.0,7.2103,104,-0.0474,-0.0474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.151,-0.0,-0.0,-0.0,7.2103,104,-0.0474,-0.0474,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.201,-0.0,-0.0,-0.0,7.2103,104,-0.0474,-0.0474,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.25,-0.0,-0.0,-0.0,7.2103,104,-0.0474,-0.0474,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.302,-0.0,-0.0,-0.0,7.2103,104,-0.0474,-0.0474,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.35,-0.0,-0.0,-0.0,7.2103,104,-0.0474,-0.0474,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.4,-0.0,-0.0,-0.0,7.2103,104,-0.0474,-0.0474,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.45,-0.0,-0.0,-0.0,7.2103,104,-0.0474,-0.0474,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.5,-0.0,-0.0,-0.0,7.2103,104,-0.0474,-0.0474,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.55,-0.0,-0.0,-0.0,7.2103,104,-0.0474,-0.0474,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.6,-0.0,-0.0,-0.0,7.2103,104,-0.0474,-0.0474,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.65,-0.0,-0.0,-0.0,7.2103,104,-0.0474,-0.0474,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.7,0.0011,0.0001,-0.0011,7.2092,104,-0.0474,-0.0463,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.751,0.0027,0.0003,-0.0037,7.2078,104,-0.0478,-0.0441,0.5,0.0,0.5,0.0,0.5,0.0,0.0
0.8,0.0075,0.0009,-0.0114,7.2034,104,-0.0484,-0.037,0.5,0.0,0.5,0.0,0.5,0.0,0.0
