t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
12.551,seguindo,-0.0,-0.0,-0.0,-0.0474,-0.0474,0.5,7.2103,7.7805,-0.0
12.6,seguindo,-0.0,-0.0,-0.0,-0.0474,-0.0474,0.5,7.2103,7.7805,-0.0
12.65,seguindo,-0.0,-0.0,-0.0,-0.0474,-0.0474,0.5,7.2103,7.7805,-0.0
12.7,seguindo,-0.0,-0.0,-0.0,-0.0474,-0.0474,0.5,7.2103,7.7805,-0.0
12.75,seguindo,-0.0,-0.0,-0.0,-0.0474,-0.0474,0.5,7.2103,7.7805,-0.0
12.8,seguindo,-0.0,-0.0,-0.0,-0.0474,-0.0474,0.5,7.2103,7.7805,-0.0
12.85,seguindo,-0.0,-0.0,-0.0,-0.0474,-0.0474,0.5,7.2103,7.7805,-0.0
12.9,seguindo,-0.0,-0.0,-0.0,-0.0474,-0.0474,0.5,7.2103,7.7805,-0.0
12.95,seguindo,-0.0,-0.0,-0.0,-0.0474,-0.0474,0.5,7.2103,7.7805,-0.0
13.0,seguindo,-0.0,-0.0,-0.0,-0.0474,-0.0474,0.5,7.2103,7.7805,-0.0
13.05,seguindo,0.0027,0.0003,-0.0037,-0.0478,-0.0442,0.5,7.2078,7.7805,0.0005
13.1,seguindo,0.0059,0.0007,-0.0088,-0.0484,-0.0396,0.5,7.2049,7.7805,0.0012
13.15,seguindo,0.0134,0.0015,-0.0201,-0.0495,-0.0294,0.5,7.1981,7.7805,0.0027
13.2,seguindo,0.0198,0.0022,-0.0302,-0.0504,-0.0202,0.5,7.1923,7.7805,0.004
13.25,seguindo,0.0321,0.003,-0.046,-0.0518,-0.0058,0.5,7.1814,7.7805,0.0059
13.3,seguindo,0.0417,0.0033,-0.0562,-0.0526,0.0036,0.5,7.1731,7.7805,0.0071
13.35,seguindo,0.0588,0.0035,-0.0722,-0.0496,0.0225,0.5,7.1585,7.119,0.0088
13.4,seguindo,0.0716,0.0033,-0.0824,-0.0501,0.0323,0.5,7.1476,7.119,0.0099
13.45,seguindo,0.0913,0.0028,-0.0972,-0.0505,0.0468,0.5,7.1312,7.119,0.0111
13.507,seguindo,0.1113,0.0018,-0.1108,-0.0505,0.0603,0.5,7.1148,7.119,0.012
13.555,seguindo,0.1242,0.0009,-0.1176,-0.1022,0.0154,0.5,7.1043,15.999,0.001
13.6,seguindo,0.1371,-0.0002,-0.124,-0.1025,0.0215,0.5,7.094,15.999,0.0015
13.65,seguindo,0.1534,-0.0018,-0.1293,-0.0981,0.0311,0.5,7.0811,12.8166,0.0018
13.7,seguindo,0.1629,-0.0029,-0.1307,-0.098,0.0327,0.5,7.0736,12.8166,0.0018
13.75,seguindo,0.1793,-0.0051,-0.1312,-0.0975,0.0337,0.5,7.0609,12.8166,0.0016
13.8,seguindo,0.191,-0.0067,-0.1306,-0.0971,0.0336,0.5,7.0519,12.8166,0.0015
13.85,seguindo,0.2083,-0.0092,-0.1277,-0.0963,0.0314,0.5,7.0387,12.8166,0.001
13.901,seguindo,0.2254,-0.0117,-0.1235,-0.0955,0.028,0.5,7.0256,12.8166,0.0005
13.95,seguindo,0.2366,-0.0133,-0.1199,-0.0949,0.025,0.5,7.0171,12.8166,0.0002
14.0,seguindo,0.2478,-0.015,-0.1162,-0.0943,0.0219,0.5,7.0085,12.8166,-0.0001
14.05,seguindo,0.2649,-0.0173,-0.1118,-0.1032,0.0086,0.5,6.9952,10.8487,0.0006
14.101,seguindo,0.282,-0.0195,-0.1082,-0.1028,0.0054,0.5,6.9818,10.8487,0.0007
14.15,seguindo,0.2937,-0.0208,-0.1071,-0.1027,0.0044,0.5,6.9727,10.8487,0.0009
14.2,seguindo,0.3054,-0.0222,-0.106,-0.1025,0.0035,0.5,6.9635,10.8487,0.0011
14.25,seguindo,0.3228,-0.0242,-0.1039,-0.1023,0.0016,0.5,6.9499,10.8487,0.0013
14.3,seguindo,0.3343,-0.0255,-0.1023,-0.1022,0.0001,0.5,6.9408,10.8487,0.0015
14.35,seguindo,0.3517,-0.0275,-0.0997,-0.0966,0.0031,0.5,6.9273,9.5029,0.0018
14.4,seguindo,0.3633,-0.0288,-0.098,-0.0965,0.0016,0.5,6.9182,9.5029,0.0021
14.45,seguindo,0.3806,-0.0306,-0.0956,-0.0963,-0.0007,0.5,6.9046,9.5029,0.0025
14.5,seguindo,0.3922,-0.0319,-0.0939,-0.0961,-0.0022,0.5,6.8955,9.5029,0.0028
14.55,seguindo,0.4096,-0.0337,-0.0914,-0.096,-0.0046,0.5,6.8819,9.5029,0.0032
14.6,seguindo,0.4211,-0.0349,-0.0896,-0.0328,0.0569,0.5,6.8729,6.0488,0.0007
14.651,seguindo,0.4385,-0.0366,-0.0869,-0.0316,0.0553,0.5,6.8593,6.0488,-0.0015
14.7,seguindo,0.45,-0.0378,-0.0851,-0.0308,0.0542,0.5,6.8502,6.0488,-0.0029
14.75,seguindo,0.4674,-0.0395,-0.0823,-0.0353,0.0471,0.5,6.8366,6.4112,-0.005
14.8,seguindo,0.479,-0.0406,-0.0805,-0.0346,0.0459,0.5,6.8275,6.4112,-0.0064
14.85,seguindo,0.4963,-0.0422,-0.0778,-0.0337,0.0441,0.5,6.8139,6.4112,-0.0084
14.9,seguindo,0.5079,-0.0432,-0.076,-0.0331,0.0429,0.5,6.8048,6.4112,-0.0097
14.95,seguindo,0.5253,-0.0447,-0.0734,-0.0287,0.0447,0.5,6.7847,6.4112,-0.012
15.0,seguindo,0.5368,-0.0457,-0.0716,-0.028,0.0436,0.5,6.7756,6.4112,-0.0133
15.05,seguindo,0.5542,-0.0472,-0.0689,-0.0328,0.0361,0.5,6.762,5.8445,-0.0152
15.1,seguindo,0.5658,-0.0481,-0.0671,-0.0323,0.0349,0.5,6.7529,5.8445,-0.0164
15.15,seguindo,0.5832,-0.0495,-0.0644,-0.0315,0.0329,0.5,6.7393,5.8445,-0.0182
