t,x,y,yaw,dist,plano_n,rumo_alvo,erro_rumo,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
0.0,-0.0,-0.0,-0.0,7.2103,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.049,-0.0,-0.0,-0.0,7.2103,167,-0.0403,-0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.099,-0.0,-0.0,-0.0,7.2103,167,-0.0395,-0.0395,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.149,-0.0,-0.0,-0.0,7.2103,167,-0.0395,-0.0395,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.199,-0.0,-0.0,-0.0,7.2103,167,-0.0395,-0.0395,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.249,-0.0,-0.0,-0.0,7.2103,167,-0.0395,-0.0395,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.299,-0.0,-0.0,-0.0,7.2103,167,-0.0395,-0.0395,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.349,-0.0,-0.0,-0.0,7.2103,167,-0.0395,-0.0395,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.399,-0.0,-0.0,-0.0,7.2103,167,-0.0395,-0.0395,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.449,-0.0,-0.0,-0.0,7.2103,167,-0.0395,-0.0395,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.499,-0.0,-0.0,-0.0,7.2103,167,-0.0395,-0.0395,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.548,0.0059,0.0007,-0.0088,7.2049,167,-0.0399,-0.0311,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.599,0.0102,0.0011,-0.0151,7.2009,167,-0.0404,-0.0254,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.649,0.0166,0.0018,-0.0252,7.1951,167,-0.0407,-0.0155,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.699,0.023,0.0025,-0.0354,7.1894,167,-0.0416,-0.0062,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.749,0.0321,0.003,-0.0461,7.1814,167,-0.0428,0.0033,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.799,0.0417,0.0033,-0.0563,7.173,167,-0.0428,0.0135,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.849,0.0524,0.0035,-0.0669,7.1638,167,-0.0435,0.0233,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0.899,0.0652,0.0034,-0.0774,7.153,167,-0.0444,0.033,0.5,0.0,0.0,0.0,0.5,0.0,0.0
0.949,0.0781,0.0032,-0.0876,7.1422,167,-0.0439,0.0437,0.5,0.0,0.0,0.0,0.5,0.0,0.0
0.999,0.098,0.0025,-0.1019,7.1257,167,-0.0442,0.0577,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.049,0.1113,0.0018,-0.111,7.1147,167,-0.0441,0.0668,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.099,0.1306,0.0003,-0.1203,7.0992,163,-0.0443,0.076,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.149,0.1434,-0.0008,-0.1263,7.089,163,-0.0438,0.0825,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.199,0.1618,-0.0027,-0.1313,7.0744,163,-0.0428,0.0886,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.249,0.1741,-0.0041,-0.1344,7.0648,163,-0.0411,0.0933,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.299,0.1918,-0.0065,-0.1344,7.0511,163,-0.0395,0.0949,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.349,0.2036,-0.0081,-0.1343,7.0421,163,-0.0384,0.096,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.399,0.2149,-0.0099,-0.1313,7.0335,163,-0.0358,0.0955,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.449,0.2318,-0.0125,-0.1267,7.0206,163,-0.0345,0.0922,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.499,0.2431,-0.0141,-0.1236,7.012,163,-0.0326,0.091,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.548,0.2601,-0.0166,-0.1189,6.9991,163,-0.0313,0.0876,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.599,0.2714,-0.0182,-0.1161,6.9904,163,-0.0313,0.0848,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.649,0.2828,-0.0197,-0.1132,6.9817,163,-0.0386,0.0746,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1.699,0.2999,-0.0219,-0.1094,6.9686,163,-0.0375,0.0719,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.749,0.3114,-0.0234,-0.1071,6.9598,163,-0.0359,0.0712,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.799,0.3228,-0.0248,-0.105,6.9509,163,-0.0349,0.0701,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.849,0.3401,-0.0268,-0.102,6.9376,163,-0.0333,0.0686,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.899,0.3516,-0.0281,-0.1001,6.9287,163,-0.0323,0.0677,0.5,0.0,0.5,0.0,0.5,0.0,0.0
1.949,0.369,-0.0301,-0.0975,6.9153,163,-0.0309,0.0665,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.001,0.3806,-0.0313,-0.0958,6.9063,163,-0.0297,0.0661,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.049,0.3921,-0.0325,-0.0942,6.8973,163,-0.0288,0.0655,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.1,0.4095,-0.0344,-0.0918,6.8839,163,-0.0279,0.064,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.149,0.4153,-0.035,-0.091,6.8794,158,-0.0925,-0.0014,0.5,0.0,0.5,0.0,0.5,0.0,0.0
2.199,0.4327,-0.0367,-0.0885,6.8659,158,-0.0924,-0.0038,0.5,0.0,0.5,0.0,0.5,0.0,0.0
