t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
11.8,seguindo,-0.0,-0.0,-0.0,-0.0403,-0.0403,0.5,7.2074,13.6694,0.019
11.85,seguindo,-0.0,-0.0,-0.0,-0.0395,-0.0395,0.5,7.2074,23.3444,0.0191
11.9,seguindo,-0.0,-0.0,-0.0,-0.0395,-0.0395,0.5,7.2074,23.3444,0.0191
11.95,seguindo,-0.0,-0.0,-0.0,-0.0395,-0.0395,0.5,7.2074,23.3444,0.0191
12.0,seguindo,-0.0,-0.0,-0.0,-0.0395,-0.0395,0.5,7.2074,23.3444,0.0191
12.051,seguindo,-0.0,-0.0,-0.0,-0.0395,-0.0395,0.5,7.2074,23.3444,0.0191
12.1,seguindo,-0.0,-0.0,-0.0,-0.0395,-0.0395,0.5,7.2074,23.3444,0.0191
12.15,seguindo,-0.0,-0.0,-0.0,-0.0395,-0.0395,0.5,7.2074,23.3444,0.0191
12.2,seguindo,-0.0,-0.0,-0.0,-0.0395,-0.0395,0.5,7.2074,23.3444,0.0191
12.25,seguindo,0.0027,0.0003,-0.0037,-0.0399,-0.0362,0.5,7.2049,23.3444,0.0194
12.3,seguindo,0.0059,0.0007,-0.0088,-0.0404,-0.0316,0.5,7.202,23.3444,0.0198
12.35,seguindo,0.0134,0.0015,-0.0201,-0.0407,-0.0206,0.5,7.1952,28.2405,0.0207
12.4,seguindo,0.0198,0.0022,-0.0303,-0.0416,-0.0113,0.5,7.1894,28.2405,0.0214
12.45,seguindo,0.0321,0.003,-0.0461,-0.0428,0.0033,0.5,7.1785,28.2405,0.0223
12.5,seguindo,0.0417,0.0033,-0.0563,-0.0435,0.0128,0.5,7.1702,28.2405,0.0227
12.55,seguindo,0.0588,0.0035,-0.0722,-0.0444,0.0278,0.5,7.1555,28.2405,0.023
12.6,seguindo,0.0717,0.0033,-0.0825,-0.0439,0.0386,0.5,7.1447,37.6201,0.023
12.65,seguindo,0.0913,0.0028,-0.0973,-0.0442,0.0532,0.5,7.1283,37.6201,0.0226
12.7,seguindo,0.1047,0.0021,-0.1064,-0.0441,0.0623,0.5,7.1173,37.6201,0.0221
12.756,seguindo,0.1242,0.0008,-0.1173,-0.0443,0.073,0.5,7.1015,inf,0.0231
12.8,seguindo,0.137,-0.0002,-0.1233,-0.0438,0.0795,0.5,7.0912,inf,0.0188
12.85,seguindo,0.1557,-0.0021,-0.1298,-0.0428,0.087,0.5,7.0764,inf,0.0174
12.9,seguindo,0.168,-0.0034,-0.1329,-0.0411,0.0918,0.5,7.0668,inf,0.0164
12.95,seguindo,0.1859,-0.0057,-0.1344,-0.0395,0.0949,0.5,7.0528,inf,0.0145
