t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
11.5,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
11.55,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
11.6,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
11.65,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
11.7,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
11.75,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
11.8,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
11.85,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
11.9,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
11.95,seguindo,0.0027,0.0003,-0.0037,-0.0334,-0.0297,0.5,5.7067,33.5903,0.0194
12.0,seguindo,0.0059,0.0007,-0.0088,-0.0339,-0.0251,0.5,5.7035,33.5903,0.0198
12.05,seguindo,0.0135,0.0015,-0.0202,-0.0341,-0.0139,0.5,5.696,40.6348,0.0206
12.1,seguindo,0.0198,0.0022,-0.0304,-0.035,-0.0046,0.5,5.6896,40.6348,0.0213
12.15,seguindo,0.0322,0.003,-0.0462,-0.0361,0.01,0.5,5.6774,40.6348,0.0222
12.2,seguindo,0.0418,0.0033,-0.0563,-0.0368,0.0196,0.5,5.6679,40.6348,0.0226
12.25,seguindo,0.0589,0.0035,-0.0723,-0.0375,0.0347,0.5,5.6511,40.6348,0.0228
12.3,seguindo,0.0718,0.0033,-0.0825,-0.0369,0.0456,0.5,5.6386,54.1303,0.0228
