t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
13.8,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
13.85,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
13.9,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
13.95,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
14.0,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
14.05,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
14.1,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
14.15,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
14.2,seguindo,-0.0,-0.0,-0.0,-0.0331,-0.0331,0.5,5.7095,33.5903,0.0191
14.25,seguindo,0.0027,0.0003,-0.0037,-0.0334,-0.0297,0.5,5.7067,33.5903,0.0194
14.3,seguindo,0.0059,0.0007,-0.0088,-0.0339,-0.0251,0.5,5.7035,33.5903,0.0198
14.35,seguindo,0.0135,0.0015,-0.0202,-0.0341,-0.014,0.5,5.696,40.6348,0.0206
14.4,seguindo,0.0199,0.0022,-0.0303,-0.035,-0.0046,0.5,5.6896,40.6348,0.0213
14.45,seguindo,0.0322,0.003,-0.0462,-0.0361,0.01,0.5,5.6773,40.6348,0.0222
14.5,seguindo,0.0419,0.0033,-0.0563,-0.0368,0.0196,0.5,5.6678,40.6348,0.0226
14.55,seguindo,0.059,0.0035,-0.0723,-0.0375,0.0347,0.5,5.651,40.6348,0.0228
14.6,seguindo,0.0718,0.0033,-0.0825,-0.0369,0.0456,0.5,5.6385,54.1303,0.0228
14.65,seguindo,0.0914,0.0027,-0.0967,-0.037,0.0597,0.5,5.6195,54.1303,0.0223
14.7,seguindo,0.1047,0.0021,-0.1052,-0.0368,0.0683,0.5,5.6067,54.1303,0.0217
14.75,seguindo,0.1241,0.0008,-0.1156,-0.0354,0.0803,0.5,5.5879,78.6638,0.0206
14.8,seguindo,0.1369,-0.0003,-0.1216,-0.0348,0.0868,0.5,5.5756,78.6638,0.0197
14.85,seguindo,0.1556,-0.0021,-0.1281,-0.0434,0.0847,0.5,5.5578,inf,0.0174
14.9,seguindo,0.1741,-0.0041,-0.1326,-0.0413,0.0914,0.5,5.5402,inf,0.0158
14.95,seguindo,0.1859,-0.0057,-0.1327,-0.0402,0.0925,0.5,5.529,inf,0.0146
15.0,seguindo,0.1977,-0.0073,-0.1326,-0.0391,0.0935,0.5,5.5178,inf,0.0133
15.05,seguindo,0.215,-0.0098,-0.1303,-0.0367,0.0936,0.5,5.5014,inf,0.0113
15.1,seguindo,0.2264,-0.0114,-0.128,-0.0354,0.0926,0.5,5.4907,inf,0.0099
15.15,seguindo,0.2434,-0.0139,-0.1238,-0.0335,0.0903,0.5,5.4746,inf,0.0078
15.2,seguindo,0.2547,-0.0156,-0.1207,-0.0322,0.0885,0.5,5.4639,inf,0.0065
15.25,seguindo,0.2717,-0.018,-0.1164,-0.0434,0.073,0.5,5.4472,inf,0.0061
15.3,seguindo,0.2831,-0.0195,-0.1136,-0.0423,0.0713,0.5,5.4364,inf,0.005
15.35,seguindo,0.3002,-0.0217,-0.1098,-0.0408,0.069,0.5,5.4202,inf,0.0034
15.4,seguindo,0.3116,-0.0232,-0.1074,-0.0397,0.0677,0.5,5.4093,inf,0.0024
15.45,seguindo,0.3289,-0.0253,-0.1041,-0.0383,0.0658,0.5,5.3929,inf,0.0009
