t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
32.5,seguindo,-0.0,-0.0,-0.0,-0.0344,-0.0344,0.5,7.564,30.7441,0.0191
32.55,seguindo,-0.0,-0.0,-0.0,-0.0344,-0.0344,0.5,7.564,30.7441,0.0191
32.6,seguindo,-0.0,-0.0,-0.0,-0.0344,-0.0344,0.5,7.564,30.7441,0.0191
32.65,seguindo,-0.0,-0.0,-0.0,-0.0344,-0.0344,0.5,7.564,30.7441,0.0191
32.7,seguindo,-0.0,-0.0,-0.0,-0.0344,-0.0344,0.5,7.564,30.7441,0.0191
32.75,seguindo,-0.0,-0.0,-0.0,-0.0344,-0.0344,0.5,7.564,30.7441,0.0191
32.8,seguindo,-0.0,-0.0,-0.0,-0.0344,-0.0344,0.5,7.564,30.7441,0.0191
32.85,seguindo,-0.0,-0.0,-0.0,-0.0344,-0.0344,0.5,7.564,30.7441,0.0191
32.9,seguindo,-0.0,-0.0,-0.0,-0.0344,-0.0344,0.5,7.564,30.7441,0.0191
32.95,seguindo,0.0027,0.0003,-0.0037,-0.0348,-0.0311,0.5,7.5616,30.7441,0.0194
33.0,seguindo,0.0059,0.0007,-0.0088,-0.0353,-0.0264,0.5,7.5587,30.7441,0.0198
33.05,seguindo,0.0135,0.0015,-0.0202,-0.0355,-0.0153,0.5,7.5521,37.1918,0.0207
33.1,seguindo,0.0198,0.0022,-0.0304,-0.0363,-0.006,0.5,7.5464,37.1918,0.0214
33.151,seguindo,0.0322,0.003,-0.0462,-0.0375,0.0086,0.5,7.5359,37.1918,0.0222
33.2,seguindo,0.0418,0.0033,-0.0563,-0.0382,0.0181,0.5,7.5277,37.1918,0.0226
33.25,seguindo,0.0589,0.0035,-0.0723,-0.039,0.0333,0.5,7.5135,37.1918,0.0229
33.3,seguindo,0.0718,0.0033,-0.0825,-0.0384,0.0442,0.5,7.5031,49.5439,0.0228
33.35,seguindo,0.0915,0.0028,-0.0974,-0.0385,0.0589,0.5,7.4872,49.5439,0.0224
33.4,seguindo,0.1048,0.0021,-0.1066,-0.0384,0.0682,0.5,7.4766,49.5439,0.0219
33.45,seguindo,0.1243,0.0008,-0.1176,-0.037,0.0806,0.5,7.4614,71.999,0.0207
33.502,seguindo,0.1435,-0.0008,-0.1265,-0.0435,0.083,0.5,7.4466,inf,0.0184
33.55,seguindo,0.1558,-0.0021,-0.1296,-0.0427,0.0869,0.5,7.4373,inf,0.0174
33.6,seguindo,0.168,-0.0035,-0.1323,-0.041,0.0913,0.5,7.4281,inf,0.0163
33.65,seguindo,0.1857,-0.0059,-0.1323,-0.0394,0.0929,0.5,7.4151,inf,0.0144
33.7,seguindo,0.1973,-0.0075,-0.1308,-0.0382,0.0926,0.5,7.4066,inf,0.013
33.75,seguindo,0.2145,-0.01,-0.1277,-0.0357,0.092,0.5,7.394,inf,0.011
33.8,seguindo,0.2259,-0.0116,-0.1254,-0.0345,0.0909,0.5,7.3857,inf,0.0096
33.85,seguindo,0.2429,-0.0141,-0.1211,-0.0326,0.0885,0.5,7.3733,inf,0.0076
33.9,seguindo,0.2542,-0.0157,-0.118,-0.0313,0.0867,0.5,7.365,inf,0.0062
33.95,seguindo,0.2712,-0.0181,-0.1137,-0.0319,0.0818,0.5,7.3528,inf,0.0039
34.0,seguindo,0.2826,-0.0196,-0.1109,-0.0308,0.0802,0.5,7.3444,inf,0.0027
34.05,seguindo,0.2997,-0.0217,-0.1072,-0.0291,0.0781,0.5,7.3318,inf,0.001
34.1,seguindo,0.3112,-0.0231,-0.1049,-0.028,0.077,0.5,7.3233,inf,-0.0
34.15,seguindo,0.3284,-0.0252,-0.1019,-0.0264,0.0755,0.5,7.3105,inf,-0.0016
34.2,seguindo,0.34,-0.0265,-0.1001,-0.0254,0.0746,0.5,7.3019,inf,-0.0026
34.25,seguindo,0.3573,-0.0284,-0.0974,-0.0239,0.0735,0.5,7.2891,inf,-0.004
34.3,seguindo,0.3689,-0.0297,-0.0957,-0.0231,0.0726,0.5,7.2805,inf,-0.005
34.35,seguindo,0.3862,-0.0316,-0.0932,-0.0217,0.0715,0.5,7.2675,inf,-0.0063
34.4,seguindo,0.3978,-0.0328,-0.0916,-0.0207,0.0709,0.5,7.2589,inf,-0.0072
34.45,seguindo,0.4152,-0.0345,-0.0891,-0.0197,0.0694,0.5,7.246,inf,-0.0085
34.5,seguindo,0.4268,-0.0357,-0.0874,-0.0188,0.0687,0.5,7.2373,inf,-0.0093
34.55,seguindo,0.4442,-0.0374,-0.0849,-0.0852,-0.0004,0.5,7.2244,1.512,-0.015
34.6,seguindo,0.4557,-0.0385,-0.0831,-0.0851,-0.002,0.5,7.2157,1.512,-0.0125
34.65,seguindo,0.4731,-0.0402,-0.0805,-0.0809,-0.0004,0.5,7.2028,1.3977,-0.0088
34.7,seguindo,0.4847,-0.0412,-0.0787,-0.0808,-0.0021,0.5,7.1942,1.3977,-0.0064
34.75,seguindo,0.502,-0.0428,-0.076,-0.0806,-0.0046,0.5,7.1812,1.3977,-0.0027
34.8,seguindo,0.5136,-0.0438,-0.0742,-0.0768,-0.0026,0.5,7.1725,1.2817,-0.0002
34.85,seguindo,0.531,-0.0453,-0.0715,-0.0874,-0.0159,0.5,7.1522,1.2817,0.0079
34.9,seguindo,0.5426,-0.0463,-0.0697,-0.0875,-0.0178,0.5,7.1435,1.2817,0.0104
34.95,seguindo,0.5599,-0.0477,-0.067,-0.0839,-0.0169,0.5,7.1304,1.3181,0.0141
35.0,seguindo,0.5715,-0.0486,-0.0652,-0.0839,-0.0187,0.5,7.1217,1.3181,0.0166
35.05,seguindo,0.5889,-0.0499,-0.0625,-0.084,-0.0216,0.5,7.1086,1.3181,0.0203
35.1,seguindo,0.6005,-0.0508,-0.0607,-0.0842,-0.0235,0.5,7.0998,1.3181,0.0226
35.15,seguindo,0.6179,-0.052,-0.058,-0.0808,-0.0228,0.5,7.0867,1.512,0.0262
35.2,seguindo,0.6295,-0.0529,-0.0562,-0.0809,-0.0247,0.5,7.0779,1.512,0.0285
