t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
19.55,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
19.6,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
19.65,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
19.7,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
19.751,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
19.8,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
19.85,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
19.9,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
19.95,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
20.0,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
20.051,seguindo,0.0027,0.0003,-0.0037,-0.0025,0.0012,0.5,5.7244,67.12,0.0003
20.1,seguindo,0.0059,0.0007,-0.0088,-0.0029,0.0059,0.5,5.7212,67.12,0.0007
20.15,seguindo,0.0135,0.0015,-0.0201,-0.0037,0.0164,0.5,5.7136,67.12,0.0015
20.2,seguindo,0.0232,0.0025,-0.0354,-0.0047,0.0307,0.5,5.7039,67.12,0.0025
20.25,seguindo,0.0323,0.003,-0.0461,-0.0052,0.0409,0.5,5.6949,67.12,0.003
20.3,seguindo,0.0419,0.0033,-0.0563,-0.0064,0.0499,0.5,5.6854,43.3873,0.0033
20.35,seguindo,0.0591,0.0035,-0.0724,-0.0066,0.0658,0.5,5.6686,43.3873,0.0035
20.4,seguindo,0.0719,0.0034,-0.0831,-0.0066,0.0765,0.5,5.6561,43.3873,0.0034
20.45,seguindo,0.0915,0.0028,-0.0986,-0.0062,0.0924,0.5,5.6371,43.3873,0.0028
20.5,seguindo,0.1047,0.0023,-0.1091,-0.0058,0.1033,0.5,5.6243,43.3873,0.0023
20.55,seguindo,0.124,0.0011,-0.1219,-0.0061,0.1158,0.5,5.6057,28.7951,0.0011
20.6,seguindo,0.1368,0.0001,-0.1289,-0.0052,0.1237,0.5,5.5934,28.7951,0.0001
20.65,seguindo,0.1554,-0.0018,-0.1358,-0.097,0.0388,0.5,5.5756,25.6611,0.0001
20.7,seguindo,0.1677,-0.0033,-0.1388,-0.0949,0.0439,0.5,5.5639,18.1749,-0.0001
20.75,seguindo,0.1857,-0.0057,-0.1403,-0.0943,0.046,0.5,5.547,18.1749,-0.0007
20.8,seguindo,0.1974,-0.0073,-0.1402,-0.0937,0.0464,0.5,5.5358,18.1749,-0.0012
20.85,seguindo,0.2147,-0.01,-0.1379,-0.0928,0.0451,0.5,5.5195,18.1749,-0.0022
20.9,seguindo,0.2261,-0.0117,-0.1356,-0.0921,0.0435,0.5,5.5088,18.1749,-0.0028
20.95,seguindo,0.2431,-0.0143,-0.1314,-0.091,0.0404,0.5,5.4928,18.1749,-0.0037
21.0,seguindo,0.2544,-0.0161,-0.1284,-0.0882,0.0402,0.5,5.4821,14.1748,-0.0043
21.05,seguindo,0.2714,-0.0186,-0.1241,-0.1005,0.0236,0.5,5.4657,14.1748,-0.004
21.1,seguindo,0.2828,-0.0202,-0.1213,-0.1001,0.0212,0.5,5.4549,14.1748,-0.0044
21.15,seguindo,0.2999,-0.0226,-0.1175,-0.0994,0.018,0.5,5.4387,14.1748,-0.0048
21.2,seguindo,0.3113,-0.0241,-0.1151,-0.099,0.016,0.5,5.4279,14.1748,-0.0051
21.25,seguindo,0.3285,-0.0263,-0.1118,-0.0958,0.0161,0.5,5.4115,11.4689,-0.0054
21.3,seguindo,0.34,-0.0278,-0.1099,-0.0955,0.0144,0.5,5.4006,11.4689,-0.0056
21.35,seguindo,0.3573,-0.0299,-0.1071,-0.095,0.0121,0.5,5.3842,11.4689,-0.0057
21.4,seguindo,0.3689,-0.0313,-0.1054,-0.0948,0.0106,0.5,5.3732,11.4689,-0.0058
21.45,seguindo,0.3862,-0.0333,-0.1028,-0.0944,0.0084,0.5,5.3567,11.4689,-0.0059
21.5,seguindo,0.3978,-0.0346,-0.1012,-0.0942,0.007,0.5,5.3457,11.4689,-0.0059
21.55,seguindo,0.4151,-0.0365,-0.0987,-0.0904,0.0084,0.5,5.3292,9.3682,-0.0059
21.6,seguindo,0.4267,-0.0378,-0.0971,-0.0901,0.0069,0.5,5.3182,9.3682,-0.0059
21.65,seguindo,0.4441,-0.0397,-0.0945,-0.0899,0.0047,0.5,5.3017,9.3682,-0.0058
21.7,seguindo,0.4556,-0.0409,-0.0928,-0.0897,0.0031,0.5,5.2907,9.3682,-0.0057
21.75,seguindo,0.473,-0.0427,-0.0902,-0.089,0.0012,0.5,5.2742,12.243,0.0032
21.8,seguindo,0.4846,-0.0439,-0.0884,-0.0888,-0.0004,0.5,5.2632,12.243,0.0032
21.85,seguindo,0.5019,-0.0456,-0.0857,-0.0844,0.0013,0.5,5.2466,9.2617,0.0032
21.9,seguindo,0.5135,-0.0468,-0.084,-0.0843,-0.0003,0.5,5.2356,9.2617,0.0032
21.95,seguindo,0.5308,-0.0484,-0.0813,-0.0953,-0.0141,0.5,5.2147,9.2617,0.0065
22.0,seguindo,0.5424,-0.0495,-0.0794,-0.0953,-0.0159,0.5,5.2037,9.2617,0.0067
22.05,seguindo,0.5597,-0.0511,-0.0767,-0.0954,-0.0187,0.5,5.1871,9.2617,0.007
22.1,seguindo,0.5713,-0.0521,-0.0749,-0.0902,-0.0153,0.5,5.176,7.3571,0.0072
22.15,seguindo,0.5887,-0.0536,-0.0722,-0.0903,-0.0181,0.5,5.1594,7.3571,0.0075
22.2,seguindo,0.6003,-0.0546,-0.0704,-0.0904,-0.0199,0.5,5.1484,7.3571,0.0078
22.25,seguindo,0.6177,-0.056,-0.0678,-0.0905,-0.0227,0.5,5.1317,7.3571,0.0082
22.3,seguindo,0.6293,-0.0569,-0.0661,-0.0907,-0.0246,0.5,5.1206,7.3571,0.0086
22.35,seguindo,0.6466,-0.0583,-0.0634,-0.0849,-0.0215,0.5,5.104,6.1838,0.0091
22.4,seguindo,0.6582,-0.0591,-0.0616,-0.085,-0.0234,0.5,5.0929,6.1838,0.0095
22.45,seguindo,0.6756,-0.0604,-0.0589,-0.0852,-0.0263,0.5,5.0762,6.1838,0.01
22.5,seguindo,0.6872,-0.0612,-0.0571,-0.0853,-0.0282,0.5,5.0651,6.1838,0.0105
22.55,seguindo,0.7046,-0.0624,-0.0545,-0.0856,-0.0311,0.5,5.0485,6.1838,0.0111
22.602,seguindo,0.722,-0.0636,-0.0519,-0.086,-0.0341,0.5,5.0318,6.1838,0.0118
22.65,seguindo,0.7336,-0.0643,-0.0501,-0.0796,-0.0294,0.5,5.0207,5.5467,0.0123
22.7,seguindo,0.7452,-0.065,-0.0483,-0.0798,-0.0314,0.5,5.0095,5.5467,0.0128
22.75,seguindo,0.7626,-0.0661,-0.0456,-0.0801,-0.0345,0.5,4.9928,5.5467,0.0137
22.8,seguindo,0.7742,-0.0667,-0.0438,-0.0804,-0.0366,0.5,4.9817,5.5467,0.0142
22.85,seguindo,0.7916,-0.0677,-0.041,-0.0341,0.007,0.5,4.968,189.3882,0.0051
22.9,seguindo,0.8032,-0.0683,-0.0393,-0.0339,0.0053,0.5,4.9568,118.2406,0.0048
22.95,seguindo,0.8206,-0.0692,-0.0366,-0.0336,0.0029,0.5,4.9401,118.2406,0.0045
23.0,seguindo,0.8322,-0.0697,-0.0348,-0.0335,0.0013,0.5,4.9289,118.2406,0.0042
23.05,seguindo,0.8497,-0.0705,-0.0321,-0.0333,-0.0012,0.5,4.9121,118.2406,0.0039
23.1,seguindo,0.8613,-0.071,-0.0303,-0.0331,-0.0029,0.5,4.9009,118.2406,0.0037
23.15,seguindo,0.8787,-0.0718,-0.0276,-0.033,-0.0054,0.5,4.8841,118.2406,0.0035
23.2,seguindo,0.8903,-0.0722,-0.0258,-0.0333,-0.0075,0.5,4.8729,75.494,0.0034
23.25,seguindo,0.9077,-0.0729,-0.0231,-0.0332,-0.0101,0.5,4.8561,75.494,0.0032
23.3,seguindo,0.9193,-0.0733,-0.0212,-0.0332,-0.012,0.5,4.8449,75.494,0.0031
23.35,seguindo,0.9368,-0.0739,-0.0185,-0.0332,-0.0147,0.5,4.8281,75.494,0.0031
23.4,seguindo,0.9484,-0.0742,-0.0167,-0.0332,-0.0165,0.5,4.8169,75.494,0.003
23.45,seguindo,0.9658,-0.0747,-0.014,-0.034,-0.0199,0.5,4.8001,49.4638,0.003
23.5,seguindo,0.9774,-0.075,-0.0123,-0.0341,-0.0218,0.5,4.7889,49.4638,0.0031
23.55,seguindo,0.9948,-0.0754,-0.0095,-0.0342,-0.0247,0.5,4.772,49.4638,0.0032
23.6,seguindo,1.0064,-0.0757,-0.0077,-0.0344,-0.0267,0.5,4.7608,49.4638,0.0032
23.65,seguindo,1.0239,-0.076,-0.005,-0.0346,-0.0297,0.5,4.7439,49.4638,0.0034
23.7,seguindo,1.0355,-0.0762,-0.0032,-0.0349,-0.0317,0.5,4.7327,49.4638,0.0035
23.75,seguindo,1.0529,-0.0764,-0.0005,-0.0565,-0.056,0.5,4.7158,33.4035,0.0116
23.8,seguindo,1.0646,-0.0766,0.0013,-0.057,-0.0583,0.5,4.7045,33.4035,0.0119
23.85,seguindo,1.082,-0.0767,0.004,-0.0578,-0.0617,0.5,4.6875,33.4035,0.0125
23.9,seguindo,1.0936,-0.0768,0.0058,-0.0583,-0.0641,0.5,4.6762,33.4035,0.0129
23.95,seguindo,1.111,-0.0769,0.0084,-0.0483,-0.0567,0.5,4.6593,67.9115,0.0093
24.0,seguindo,1.1227,-0.077,0.0102,-0.047,-0.0572,0.5,4.648,43.0192,0.0098
24.05,seguindo,1.1401,-0.077,0.0129,-0.0478,-0.0607,0.5,4.631,43.0192,0.0105
24.1,seguindo,1.1517,-0.077,0.0147,-0.0483,-0.063,0.5,4.6197,43.0192,0.011
24.15,seguindo,1.1692,-0.0769,0.0174,-0.0492,-0.0666,0.5,4.6027,43.0192,0.0118
24.2,seguindo,1.1808,-0.0768,0.0192,-0.0498,-0.069,0.5,4.5914,43.0192,0.0123
24.25,seguindo,1.1982,-0.0767,0.0218,-0.0508,-0.0727,0.5,4.5744,43.0192,0.0132
24.3,seguindo,1.2098,-0.0766,0.0236,-0.0489,-0.0725,0.5,4.563,27.8524,0.0138
