t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
12.3,seguindo,-0.0,-0.0,-0.0,-0.0332,-0.0332,0.5,5.7095,11.6013,0.019
12.35,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
12.4,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
12.45,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
12.5,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
12.55,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
12.6,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
12.65,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
12.7,seguindo,-0.0,-0.0,-0.0,-0.0325,-0.0325,0.5,5.7095,27.4644,0.019
12.75,seguindo,0.0027,0.0003,-0.0037,-0.0328,-0.0292,0.5,5.7068,27.4644,0.0193
12.8,seguindo,0.0059,0.0007,-0.0088,-0.0333,-0.0246,0.5,5.7036,27.4644,0.0197
12.85,seguindo,0.0134,0.0015,-0.0201,-0.0336,-0.0135,0.5,5.6961,30.8747,0.0206
12.9,seguindo,0.0198,0.0022,-0.0302,-0.0344,-0.0042,0.5,5.6897,30.8747,0.0213
12.95,seguindo,0.0321,0.003,-0.046,-0.0356,0.0105,0.5,5.6775,30.8747,0.0221
13.0,seguindo,0.0417,0.0033,-0.0562,-0.0362,0.02,0.5,5.668,30.8747,0.0225
13.05,seguindo,0.0588,0.0035,-0.0722,-0.037,0.0352,0.5,5.6512,30.8747,0.0227
13.1,seguindo,0.0716,0.0033,-0.0824,-0.0363,0.0461,0.5,5.6387,38.0832,0.0226
13.15,seguindo,0.0913,0.0028,-0.0972,-0.0365,0.0608,0.5,5.6196,38.0832,0.0221
13.2,seguindo,0.1046,0.0021,-0.1063,-0.0364,0.07,0.5,5.6067,38.0832,0.0216
