t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
5.35,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
5.4,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
5.45,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
5.5,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
5.55,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
5.6,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
5.65,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
5.7,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
5.75,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
5.8,seguindo,-0.0,-0.0,-0.0,-0.0022,-0.0022,0.5,5.7271,67.12,-0.0
5.85,seguindo,0.0027,0.0003,-0.0036,-0.0025,0.0012,0.5,5.7244,67.12,0.0003
5.9,seguindo,0.0059,0.0007,-0.0087,-0.0029,0.0059,0.5,5.7212,67.12,0.0007
5.95,seguindo,0.0134,0.0015,-0.02,-0.0037,0.0163,0.5,5.7137,67.12,0.0015
6.0,seguindo,0.0198,0.0022,-0.0302,-0.0044,0.0258,0.5,5.7073,67.12,0.0022
6.05,seguindo,0.0321,0.003,-0.046,-0.0052,0.0408,0.5,5.6951,67.12,0.003
6.1,seguindo,0.0418,0.0033,-0.0562,-0.0064,0.0499,0.5,5.6856,43.3873,0.0033
6.15,seguindo,0.0589,0.0035,-0.0724,-0.0066,0.0658,0.5,5.6688,43.3873,0.0035
6.2,seguindo,0.0717,0.0034,-0.083,-0.0066,0.0764,0.5,5.6564,43.3873,0.0034
6.25,seguindo,0.0912,0.0029,-0.0986,-0.0062,0.0923,0.5,5.6374,43.3873,0.0029
6.3,seguindo,0.1044,0.0023,-0.109,-0.0058,0.1032,0.5,5.6246,43.3873,0.0023
