t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
17.45,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
17.5,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
17.55,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
17.6,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
17.65,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
17.7,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
17.75,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
17.8,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
17.85,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
17.9,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
17.95,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
18.0,seguindo,-0.0,-0.0,-0.0,-0.0006,-0.0006,0.5,5.7271,251.5463,-0.0
18.05,seguindo,0.0027,0.0003,-0.0037,-0.0008,0.0028,0.5,5.7244,251.5463,0.0003
18.1,seguindo,0.0059,0.0007,-0.0088,-0.0012,0.0076,0.5,5.7212,251.5463,0.0007
18.15,seguindo,0.0135,0.0015,-0.0202,-0.002,0.0181,0.5,5.7136,251.5463,0.0015
18.2,seguindo,0.0199,0.0022,-0.0303,-0.0027,0.0276,0.5,5.7072,251.5463,0.0022
18.25,seguindo,0.0322,0.003,-0.0462,-0.0035,0.0426,0.5,5.695,251.5463,0.003
18.301,seguindo,0.0467,0.0034,-0.0614,-0.0042,0.0572,0.5,5.6808,135.6886,0.0034
18.35,seguindo,0.059,0.0035,-0.0723,-0.0043,0.068,0.5,5.6687,135.6886,0.0035
18.4,seguindo,0.0718,0.0033,-0.0825,-0.0042,0.0783,0.5,5.6562,135.6886,0.0033
18.45,seguindo,0.0915,0.0028,-0.0974,-0.0037,0.0936,0.5,5.6371,135.6886,0.0028
18.5,seguindo,0.1049,0.0021,-0.1064,-0.0878,0.0186,0.5,5.6242,17467.3856,0.0005
18.55,seguindo,0.1244,0.0009,-0.1177,-0.0882,0.0294,0.5,5.6053,17467.3856,0.001
18.6,seguindo,0.1373,-0.0002,-0.124,-0.0882,0.0358,0.5,5.593,8859.7825,0.0011
18.65,seguindo,0.156,-0.002,-0.1307,-0.0881,0.0427,0.5,5.5751,8859.7825,0.0008
18.7,seguindo,0.1683,-0.0034,-0.1338,-0.0878,0.046,0.5,5.5634,8859.7825,0.0005
18.75,seguindo,0.1863,-0.0057,-0.1353,-0.0871,0.0483,0.5,5.5464,8859.7825,-0.0002
18.8,seguindo,0.198,-0.0073,-0.1352,-0.0865,0.0488,0.5,5.5352,8859.7825,-0.0008
18.85,seguindo,0.2154,-0.0099,-0.1329,-0.0856,0.0474,0.5,5.5189,4526.4669,-0.0018
18.9,seguindo,0.2268,-0.0116,-0.1306,-0.0849,0.0457,0.5,5.5081,4526.4669,-0.0025
18.95,seguindo,0.2438,-0.0141,-0.1263,-0.0839,0.0425,0.5,5.4921,4526.4669,-0.0036
19.0,seguindo,0.2607,-0.0166,-0.1216,-0.0828,0.0388,0.5,5.4762,4526.4669,-0.0046
19.05,seguindo,0.2721,-0.0182,-0.1188,-0.0822,0.0367,0.5,5.4654,4526.4669,-0.0052
19.101,seguindo,0.2891,-0.0206,-0.1147,-0.0812,0.0334,0.5,5.4494,4526.4669,-0.006
19.15,seguindo,0.3005,-0.0221,-0.1122,-0.0943,0.0179,0.5,5.4383,2331.5916,-0.0057
19.2,seguindo,0.3177,-0.0243,-0.1086,-0.0938,0.0148,0.5,5.422,2331.5916,-0.0062
19.25,seguindo,0.3292,-0.0257,-0.1065,-0.0935,0.013,0.5,5.4111,2331.5916,-0.0064
19.3,seguindo,0.3406,-0.0271,-0.1044,-0.0932,0.0113,0.5,5.4002,2331.5916,-0.0067
19.35,seguindo,0.358,-0.0291,-0.1017,-0.0928,0.0089,0.5,5.3837,2331.5916,-0.0069
19.4,seguindo,0.3695,-0.0304,-0.1,-0.0925,0.0075,0.5,5.3727,2331.5916,-0.0071
19.45,seguindo,0.3869,-0.0323,-0.0976,-0.0927,0.0048,0.5,5.3562,1212.2913,-0.0073
19.5,seguindo,0.4043,-0.0342,-0.0951,-0.0813,0.0138,0.5,5.3396,1.6594,0.0027
19.55,seguindo,0.4158,-0.0354,-0.0935,-0.0811,0.0124,0.5,5.3286,1.6594,0.0034
19.6,seguindo,0.4274,-0.0366,-0.0918,-0.0808,0.011,0.5,5.3176,1.6594,0.0042
19.65,seguindo,0.4448,-0.0384,-0.0893,-0.07,0.0192,0.5,5.301,1.7304,0.0054
19.7,seguindo,0.4564,-0.0396,-0.0876,-0.0697,0.0179,0.5,5.29,1.7304,0.0061
19.75,seguindo,0.4737,-0.0413,-0.085,-0.0692,0.0157,0.5,5.2734,1.7304,0.0074
19.8,seguindo,0.4853,-0.0424,-0.0832,-0.0689,0.0143,0.5,5.2624,1.7304,0.0086
19.85,seguindo,0.5027,-0.0441,-0.0805,-0.0685,0.0121,0.5,5.2459,1.7304,0.0103
19.9,seguindo,0.5142,-0.0451,-0.0787,-0.0593,0.0194,0.5,5.2348,2.1456,0.0115
19.95,seguindo,0.5316,-0.0467,-0.076,-0.0588,0.0171,0.5,5.2183,2.1456,0.0133
20.0,seguindo,0.5432,-0.0477,-0.0741,-0.0585,0.0156,0.5,5.2072,2.1456,0.0146
20.05,seguindo,0.5605,-0.0492,-0.0713,-0.0695,0.0018,0.5,5.1844,2.1456,0.0213
20.1,seguindo,0.5721,-0.0502,-0.0694,-0.0694,0.0001,0.5,5.1733,2.1456,0.0227
20.15,seguindo,0.5894,-0.0516,-0.0667,-0.0618,0.0049,0.5,5.1567,1.6594,0.0248
20.2,seguindo,0.601,-0.0525,-0.0649,-0.0616,0.0033,0.5,5.1456,1.6594,0.0263
20.25,seguindo,0.6184,-0.0538,-0.0622,-0.0614,0.0008,0.5,5.1289,1.6594,0.0285
20.3,seguindo,0.63,-0.0547,-0.0604,-0.0613,-0.0008,0.5,5.1178,1.6594,0.03
20.35,seguindo,0.6474,-0.0559,-0.0577,-0.0611,-0.0034,0.5,5.1011,1.6594,0.0322
20.4,seguindo,0.659,-0.0568,-0.0559,-0.061,-0.005,0.5,5.09,1.6594,0.0338
20.45,seguindo,0.6764,-0.0579,-0.0532,-0.0558,-0.0026,0.5,5.0734,1.7304,0.0361
20.5,seguindo,0.688,-0.0587,-0.0514,-0.0557,-0.0043,0.5,5.0622,1.7304,0.0377
20.55,seguindo,0.7054,-0.0598,-0.0487,-0.0351,0.0136,0.5,5.0455,12.8936,0.0044
20.6,seguindo,0.717,-0.0605,-0.0469,-0.0348,0.0121,0.5,5.0344,12.8936,0.0039
20.65,seguindo,0.7344,-0.0615,-0.0442,-0.0398,0.0045,0.5,5.0177,7.9024,0.0033
20.7,seguindo,0.746,-0.0621,-0.0424,-0.0396,0.0028,0.5,5.0066,7.9024,0.0028
20.75,seguindo,0.7634,-0.0631,-0.0398,-0.0394,0.0004,0.5,4.9898,7.9024,0.0023
20.8,seguindo,0.775,-0.0637,-0.038,-0.0392,-0.0013,0.5,4.9787,7.9024,0.0019
20.85,seguindo,0.7924,-0.0645,-0.0353,-0.0391,-0.0038,0.5,4.9619,7.9024,0.0014
20.9,seguindo,0.804,-0.0651,-0.0335,-0.039,-0.0055,0.5,4.9508,7.9024,0.0011
20.95,seguindo,0.8214,-0.0658,-0.0308,-0.0508,-0.02,0.5,4.9347,5.1053,0.0026
21.001,seguindo,0.8389,-0.0666,-0.0281,-0.051,-0.0228,0.5,4.9179,5.1053,0.0022
21.05,seguindo,0.8505,-0.067,-0.0263,-0.0511,-0.0248,0.5,4.9067,5.1053,0.002
21.1,seguindo,0.8679,-0.0677,-0.0237,-0.0513,-0.0277,0.5,4.89,5.1053,0.0018
21.15,seguindo,0.8795,-0.0681,-0.0219,-0.0515,-0.0297,0.5,4.8788,5.1053,0.0016
21.2,seguindo,0.8911,-0.0685,-0.0201,-0.0614,-0.0413,0.5,4.8676,3.5515,0.0015
21.25,seguindo,0.9086,-0.069,-0.0174,-0.0619,-0.0445,0.5,4.8508,3.5515,0.0013
21.3,seguindo,0.9202,-0.0694,-0.0156,-0.0622,-0.0466,0.5,4.8395,3.5515,0.0012
21.35,seguindo,0.9376,-0.0699,-0.0129,-0.0628,-0.0499,0.5,4.8227,3.5515,0.0012
21.4,seguindo,0.9492,-0.0701,-0.0111,-0.0633,-0.0521,0.5,4.8115,3.5515,0.0011
21.45,seguindo,0.9667,-0.0705,-0.0084,-0.064,-0.0555,0.5,4.7947,3.5515,0.0012
21.5,seguindo,0.9783,-0.0708,-0.0067,-0.0749,-0.0682,0.5,4.7835,2.7512,0.0012
21.55,seguindo,0.9957,-0.0711,-0.0039,-0.0758,-0.0719,0.5,4.7666,2.7512,0.0013
21.6,seguindo,1.0073,-0.0713,-0.002,-0.0308,-0.0288,0.5,4.7554,22.0642,0.0024
21.65,seguindo,1.0247,-0.0715,0.0008,-0.0311,-0.0319,0.5,4.7386,22.0642,0.0025
21.7,seguindo,1.0363,-0.0716,0.0026,-0.0313,-0.0339,0.5,4.7273,22.0642,0.0027
21.75,seguindo,1.0538,-0.0718,0.0052,-0.0352,-0.0405,0.5,4.7105,13.0198,0.0029
