t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,desvio_lateral
25.55,alinhando_inversao,5.4,1.2,0.0,-2.9229,-2.9229,0.0,5.5317,inf,0.0
25.6,alinhando_inversao,5.4,1.2,0.0,-2.9229,-2.9229,0.0,5.5317,inf,0.0
25.65,alinhando_inversao,5.4,1.2,0.0,-2.9229,-2.9229,0.0,5.5317,inf,0.0
25.7,alinhando_inversao,5.4,1.2,0.0,-2.9229,-2.9229,0.0,5.5317,inf,0.0
25.75,alinhando_inversao,5.4,1.2,0.0,-2.9229,-2.9229,0.0,5.5317,inf,0.0
25.8,alinhando_inversao,5.4,1.2,0.0,-2.9229,-2.9229,0.0,5.5317,inf,0.0
25.85,alinhando_inversao,5.4,1.2,0.0,-2.9229,-2.9229,0.0,5.5317,inf,0.0
25.9,alinhando_inversao,5.4,1.2,0.0,-2.9229,-2.9229,0.0,5.5317,inf,0.0
25.95,alinhando_inversao,5.4,1.2,0.0,-2.9229,-2.9229,0.0,5.5317,inf,0.0
26.0,alinhando_inversao,5.4,1.2,0.0,-2.9229,-2.9229,0.0,5.5317,inf,0.0
26.05,alinhando_inversao,5.4015,1.2004,-0.0044,-2.9229,-2.9185,0.0,5.5332,inf,0.0
26.1,alinhando_inversao,5.4031,1.2008,-0.0095,-2.9229,-2.9134,0.0,5.5349,inf,0.0
26.15,alinhando_inversao,5.4055,1.2018,-0.0222,-2.9229,-2.9007,0.0,5.5375,inf,0.0
26.202,alinhando_inversao,5.4079,1.2029,-0.0376,-2.9229,-2.8853,0.0,5.5401,inf,0.0
26.25,alinhando_inversao,5.4096,1.2041,-0.0529,-2.9229,-2.8701,0.0,5.542,inf,0.0
26.3,alinhando_inversao,5.4113,1.2053,-0.0683,-2.9229,-2.8546,0.0,5.5439,inf,0.0
26.35,alinhando_inversao,5.4138,1.2074,-0.0964,-2.9229,-2.8265,0.0,5.5468,inf,0.0
26.4,alinhando_inversao,5.4156,1.2089,-0.117,-2.9229,-2.806,0.0,5.5489,inf,0.0
26.45,alinhando_inversao,5.4184,1.2114,-0.1529,-2.9229,-2.7701,0.0,5.5522,inf,0.0
26.5,alinhando_inversao,5.4213,1.2141,-0.1915,-2.9229,-2.7314,0.0,5.5556,inf,0.0
26.55,alinhando_inversao,5.4234,1.2162,-0.2222,-2.9229,-2.7008,0.0,5.5581,inf,0.0
26.6,alinhando_inversao,5.4266,1.2193,-0.2684,-2.9229,-2.6546,0.0,5.5619,inf,0.0
26.65,alinhando_inversao,5.429,1.2216,-0.3042,-2.9229,-2.6187,0.0,5.5586,inf,0.0
26.7,alinhando_inversao,5.4314,1.2239,-0.3402,-2.9229,-2.5827,0.0,5.5615,inf,0.0
26.75,alinhando_inversao,5.4354,1.2275,-0.3993,-2.9229,-2.5237,0.0,5.5662,inf,0.0
26.8,alinhando_inversao,5.4397,1.2311,-0.4611,-2.9229,-2.4619,0.0,5.5712,inf,0.0
26.85,alinhando_inversao,5.4428,1.2337,-0.5073,-2.9229,-2.4157,0.0,5.5749,inf,0.0
26.9,alinhando_inversao,5.4461,1.2362,-0.5536,-2.9229,-2.3693,0.0,5.5787,inf,0.0
26.95,alinhando_inversao,5.4515,1.2399,-0.6281,-2.9229,-2.2948,0.0,5.5847,inf,0.0
27.0,alinhando_inversao,5.4553,1.2422,-0.6796,-2.9229,-2.2433,0.0,5.589,inf,0.0
27.05,alinhando_inversao,5.4615,1.2457,-0.7618,-2.9229,-2.1611,0.0,5.5958,inf,0.0
27.1,alinhando_inversao,5.4659,1.2478,-0.8185,-2.9229,-2.1045,0.0,5.6006,inf,0.0
27.15,alinhando_inversao,5.4731,1.2507,-0.9084,-2.9229,-2.0145,0.0,5.6082,inf,0.0
27.2,alinhando_inversao,5.4781,1.2524,-0.9702,-2.9229,-1.9527,0.0,5.6135,inf,0.0
27.25,alinhando_inversao,5.4861,1.2545,-1.0678,-2.9229,-1.8551,0.0,5.5844,inf,0.0
27.3,alinhando_inversao,5.4917,1.2556,-1.1347,-2.9229,-1.7882,0.0,5.5901,inf,0.0
27.35,alinhando_inversao,5.5005,1.2565,-1.2401,-2.9229,-1.6829,0.0,5.5989,inf,0.0
27.4,alinhando_inversao,5.5066,1.2567,-1.3121,-2.9229,-1.6109,0.0,5.6048,inf,0.0
